date,FL764090005.Q,FL763025000.Q,FL763013005.Q,FL762050005.Q,FL764022005.Q,FL763069175.Q,FL763061100.Q,FL763061705.Q,FL763061803.Q,FL763061303.Q,FL763061603.Q,FL763061403.Q,FL763061795.Q,FL763062000.Q,FL763063005.Q,FL763063673.Q,FL763063653.Q,FL763063663.Q,FL763063693.Q,FL763063095.Q,FL764023005.Q,FL763068005.Q,FL763069703.Q,FL763065005.Q,FL763066000.Q,LM763064105.Q,LM763064203.Q,FL763040005.Q,FL763092000.Q,FL763090005.Q,FL764190005.Q,FL764110005.Q,FL713022003.Q,FL713068705.Q,FL764112005.Q,FL764116005.Q,FL763127005.Q,FL763123005.Q,FL763129205.Q,FL763122605.Q,FL763131005.Q,FL763135005.Q,FL762150005.Q,FL764122005.Q,FL763169175.Q,FL763163005.Q,FL763169305.Q,FL763178003.Q,FL763190005.Q,FL763194735.Q,FL763193005.Q,FL763066303.Q
1945:Q4,167033.00,1869.00,15915.00,2.00,112424.00,210.00,103721.00,886.00,8.00,0.00,0.00,0.00,878.00,4063.00,3544.00,0.00,0.00,0.00,0.00,3544.00,31423.00,14463.00,123.00,14336.00,2501.00,166.00,0.00,0.00,23.00,5211.00,156870.00,1031.00,578.00,202.00,-119.00,370.00,101444.00,24510.00,75545.00,1389.00,49904.00,3170.00,13.00,125.00,125.00,0.00,205.00,338.00,640.00,0.00,640.00,0.00
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,160357.00,2046.00,16139.00,5.00,98066.00,304.00,88563.00,1046.00,11.00,0.00,0.00,0.00,1035.00,4458.00,3695.00,0.00,0.00,0.00,0.00,3695.00,40962.00,17833.00,182.00,18683.00,4264.00,180.00,0.00,0.00,26.00,2933.00,149209.00,122.00,580.00,16.00,-599.00,125.00,87683.00,2989.00,83278.00,1416.00,56188.00,3342.00,22.00,183.00,183.00,0.00,301.00,354.00,1014.00,0.00,1014.00,0.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,167105.00,2216.00,17899.00,86.00,93721.00,366.00,82927.00,1067.00,12.00,0.00,0.00,0.00,1055.00,5344.00,4017.00,0.00,0.00,0.00,0.00,4017.00,50425.00,21301.00,209.00,22926.00,5989.00,146.00,0.00,0.00,29.00,2583.00,155219.00,179.00,535.00,34.00,-484.00,94.00,89926.00,1343.00,87359.00,1224.00,59522.00,3542.00,23.00,211.00,211.00,0.00,432.00,244.00,1140.00,0.00,1140.00,0.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,170074.00,1978.00,20479.00,91.00,87771.00,298.00,75561.00,2049.00,66.00,0.00,0.00,0.00,1983.00,5732.00,4131.00,0.00,0.00,0.00,0.00,4131.00,57266.00,23124.00,207.00,26694.00,7241.00,157.00,0.00,0.00,32.00,2300.00,157592.00,57.00,541.00,33.00,-630.00,113.00,89377.00,2338.00,85537.00,1502.00,61641.00,3880.00,17.00,210.00,210.00,0.00,509.00,292.00,1609.00,0.00,1609.00,0.00
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,174738.00,2015.00,16563.00,74.00,93377.00,261.00,79894.00,2095.00,34.00,0.00,0.00,0.00,2061.00,6634.00,4493.00,0.00,0.00,0.00,0.00,4493.00,60058.00,21775.00,218.00,29598.00,8467.00,157.00,0.00,0.00,36.00,2458.00,161575.00,221.00,534.00,8.00,-564.00,243.00,90165.00,3071.00,85970.00,1124.00,64160.00,4221.00,9.00,220.00,220.00,0.00,427.00,336.00,1816.00,0.00,1816.00,0.00
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,185953.00,2174.00,17681.00,68.00,89475.00,368.00,74381.00,1887.00,18.00,0.00,0.00,0.00,1869.00,8205.00,4634.00,0.00,0.00,0.00,0.00,4634.00,73573.00,27471.00,315.00,35147.00,10640.00,181.00,0.00,0.00,42.00,2759.00,171846.00,1318.00,1368.00,67.00,-436.00,319.00,95691.00,2806.00,91571.00,1314.00,66472.00,4483.00,17.00,318.00,318.00,0.00,810.00,453.00,2284.00,0.00,2284.00,0.00
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,198241.00,2697.00,20056.00,8.00,89139.00,427.00,72967.00,1825.00,18.00,0.00,0.00,0.00,1807.00,9333.00,4587.00,0.00,0.00,0.00,0.00,4587.00,83487.00,32422.00,392.00,39702.00,10971.00,227.00,0.00,0.00,50.00,2577.00,183305.00,889.00,1184.00,19.00,-976.00,662.00,102435.00,3359.00,98009.00,1067.00,71228.00,4438.00,11.00,396.00,396.00,0.00,911.00,615.00,2382.00,0.00,2382.00,0.00
