date,FL754090005.Q,FL753025003.Q,FL753013003.Q,FL752050005.Q,FL754022005.Q,FL753069603.Q,FL753061103.Q,FL753061703.Q,FL753062003.Q,FL753063005.Q,FL754023005.Q,FL753068005.Q,FL753069703.Q,FL753065005.Q,FL753064103.Q,FL753093005.Q,FL754190005.Q,FL754110005.Q,FL754116005.Q,FL754112005.Q,FL753127005.Q,FL753131005.Q,FL753135005.Q,FL752150005.Q,FL753169603.Q,FL753192003.Q,FL753190005.Q,FL753194503.Q,FL753193005.Q
1945:Q4,391.00,0.00,0.00,1.00,269.00,13.00,236.00,0.00,8.00,12.00,120.00,89.00,31.00,0.00,1.00,0.00,546.00,58.00,52.00,6.00,215.00,6.00,55.00,5.00,31.00,176.00,0.00,0.00,0.00
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,465.00,0.00,0.00,2.00,252.00,25.00,192.00,0.00,14.00,21.00,210.00,165.00,45.00,0.00,1.00,0.00,556.00,102.00,116.00,-14.00,152.00,8.00,69.00,1.00,46.00,178.00,0.00,0.00,0.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,524.00,0.00,0.00,2.00,251.00,32.00,168.00,0.00,20.00,31.00,270.00,218.00,52.00,0.00,1.00,0.00,656.00,225.00,240.00,-15.00,138.00,6.00,51.00,2.00,53.00,181.00,0.00,0.00,0.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,630.00,0.00,0.00,2.00,299.00,42.00,191.00,0.00,26.00,40.00,328.00,276.00,52.00,0.00,1.00,0.00,770.00,372.00,400.00,-28.00,111.00,5.00,45.00,2.00,52.00,183.00,0.00,0.00,0.00
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,892.00,0.00,0.00,3.00,415.00,56.00,265.00,0.00,37.00,57.00,473.00,419.00,54.00,0.00,1.00,0.00,1042.00,562.00,605.00,-43.00,164.00,7.00,66.00,4.00,55.00,184.00,0.00,0.00,0.00
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,1125.00,0.00,0.00,3.00,507.00,66.00,327.00,0.00,45.00,69.00,614.00,535.00,79.00,0.00,1.00,0.00,1299.00,702.00,754.00,-52.00,233.00,9.00,84.00,5.00,80.00,186.00,0.00,0.00,0.00
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,1452.00,0.00,0.00,4.00,638.00,84.00,402.00,0.00,60.00,92.00,809.00,711.00,98.00,0.00,1.00,0.00,1652.00,944.00,1014.00,-70.00,308.00,11.00,97.00,5.00,99.00,188.00,0.00,0.00,0.00
1952:Q1,1629.00,0.00,0.00,5.00,693.00,98.00,433.00,0.00,64.00,98.00,897.00,805.00,92.00,0.00,2.00,32.00,1596.00,1074.00,1156.00,-82.00,348.00,12.00,106.00,5.00,93.00,188.00,-230.00,0.00,-230.00
1952:Q2,1781.00,0.00,0.00,6.00,754.00,103.00,471.00,0.00,71.00,109.00,971.00,888.00,83.00,0.00,2.00,48.00,1750.00,1176.00,1270.00,-94.00,382.00,13.00,119.00,5.00,84.00,191.00,-220.00,0.00,-220.00
1952:Q3,1617.00,0.00,0.00,5.00,672.00,77.00,425.00,0.00,67.00,103.00,899.00,808.00,91.00,0.00,2.00,39.00,1586.00,1025.00,1113.00,-88.00,344.00,15.00,131.00,4.00,92.00,194.00,-219.00,0.00,-219.00
1952:Q4,1703.00,0.00,0.00,6.00,722.00,97.00,445.00,0.00,71.00,109.00,945.00,847.00,98.00,0.00,2.00,28.00,1674.00,1081.00,1173.00,-92.00,360.00,16.00,144.00,4.00,99.00,199.00,-229.00,0.00,-229.00
1953:Q1,1826.00,0.00,0.00,5.00,682.00,87.00,415.00,0.00,71.00,109.00,919.00,828.00,91.00,0.00,2.00,218.00,1870.00,992.00,1084.00,-92.00,654.00,17.00,156.00,4.00,92.00,202.00,-247.00,0.00,-247.00
1953:Q2,1640.00,0.00,0.00,5.00,709.00,84.00,423.00,0.00,80.00,122.00,944.00,858.00,86.00,0.00,2.00,-20.00,1685.00,1048.00,1144.00,-96.00,377.00,19.00,168.00,4.00,86.00,206.00,-223.00,0.00,-223.00
1953:Q3,1633.00,0.00,0.00,6.00,700.00,69.00,416.00,0.00,85.00,130.00,960.00,857.00,103.00,0.00,3.00,-36.00,1679.00,1025.00,1120.00,-95.00,361.00,20.00,179.00,4.00,104.00,210.00,-224.00,0.00,-224.00
1953:Q4,1719.00,0.00,0.00,6.00,758.00,90.00,435.00,0.00,92.00,141.00,1014.00,899.00,115.00,0.00,3.00,-62.00,1766.00,1077.00,1178.00,-101.00,381.00,21.00,189.00,4.00,116.00,207.00,-229.00,0.00,-229.00
1954:Q1,1732.00,0.00,0.00,6.00,729.00,83.00,423.00,0.00,88.00,135.00,1022.00,906.00,116.00,0.00,3.00,-28.00,1781.00,1069.00,1170.00,-101.00,388.00,22.00,202.00,4.00,117.00,211.00,-232.00,0.00,-232.00
1954:Q2,1789.00,0.00,0.00,6.00,728.00,81.00,440.00,0.00,82.00,125.00,1057.00,939.00,118.00,0.00,4.00,-6.00,1839.00,1094.00,1199.00,-105.00,405.00,24.00,213.00,4.00,119.00,214.00,-234.00,0.00,-234.00
1954:Q3,1829.00,0.00,0.00,7.00,716.00,70.00,449.00,0.00,78.00,119.00,1087.00,965.00,122.00,0.00,5.00,14.00,1882.00,1111.00,1217.00,-106.00,416.00,25.00,225.00,5.00,123.00,217.00,-240.00,0.00,-240.00
1954:Q4,1996.00,0.00,0.00,7.00,798.00,95.00,490.00,0.00,84.00,129.00,1204.00,1029.00,175.00,0.00,5.00,-18.00,2052.00,1232.00,1346.00,-114.00,457.00,26.00,233.00,5.00,176.00,233.00,-310.00,0.00,-310.00
1955:Q1,1943.00,0.00,0.00,7.00,781.00,82.00,456.00,0.00,96.00,147.00,1151.00,990.00,161.00,0.00,5.00,-1.00,2001.00,1190.00,1301.00,-111.00,447.00,26.00,233.00,5.00,163.00,236.00,-299.00,0.00,-299.00
1955:Q2,2045.00,0.00,0.00,8.00,876.00,80.00,475.00,0.00,127.00,194.00,1164.00,1033.00,131.00,0.00,6.00,-9.00,2106.00,1278.00,1395.00,-117.00,474.00,25.00,229.00,5.00,132.00,240.00,-277.00,0.00,-277.00
1955:Q3,1988.00,0.00,0.00,8.00,903.00,60.00,461.00,0.00,151.00,231.00,1130.00,996.00,134.00,0.00,6.00,-59.00,2051.00,1240.00,1354.00,-114.00,465.00,25.00,224.00,5.00,136.00,244.00,-288.00,0.00,-288.00
1955:Q4,2033.00,0.00,0.00,8.00,963.00,75.00,465.00,0.00,167.00,256.00,1125.00,997.00,128.00,0.00,6.00,-69.00,2099.00,1279.00,1395.00,-116.00,476.00,25.00,222.00,5.00,130.00,255.00,-293.00,0.00,-293.00
1956:Q1,2085.00,0.00,0.00,8.00,894.00,69.00,453.00,0.00,147.00,225.00,1141.00,1009.00,132.00,0.00,6.00,36.00,2154.00,1300.00,1419.00,-119.00,487.00,26.00,232.00,5.00,133.00,259.00,-288.00,0.00,-288.00
1956:Q2,2233.00,0.00,0.00,9.00,888.00,71.00,481.00,0.00,133.00,203.00,1205.00,1068.00,137.00,0.00,6.00,125.00,2305.00,1391.00,1516.00,-125.00,516.00,28.00,249.00,6.00,138.00,262.00,-285.00,0.00,-285.00
1956:Q3,2373.00,0.00,0.00,9.00,866.00,65.00,508.00,0.00,116.00,177.00,1290.00,1129.00,161.00,0.00,6.00,202.00,2449.00,1476.00,1609.00,-133.00,544.00,29.00,265.00,6.00,163.00,265.00,-299.00,0.00,-299.00
1956:Q4,2437.00,0.00,0.00,10.00,855.00,81.00,518.00,0.00,101.00,155.00,1332.00,1139.00,193.00,0.00,6.00,234.00,2514.00,1510.00,1646.00,-136.00,559.00,30.00,273.00,6.00,195.00,261.00,-320.00,0.00,-320.00
1957:Q1,2398.00,0.00,0.00,10.00,831.00,69.00,484.00,0.00,110.00,168.00,1315.00,1111.00,204.00,0.00,7.00,235.00,2478.00,1480.00,1614.00,-134.00,547.00,29.00,262.00,7.00,206.00,264.00,-317.00,0.00,-317.00
1957:Q2,2493.00,0.00,0.00,10.00,847.00,68.00,501.00,0.00,110.00,168.00,1351.00,1155.00,196.00,0.00,7.00,278.00,2577.00,1572.00,1706.00,-134.00,565.00,27.00,245.00,8.00,198.00,265.00,-303.00,0.00,-303.00
1957:Q3,2455.00,0.00,0.00,10.00,811.00,49.00,489.00,0.00,108.00,165.00,1368.00,1129.00,239.00,0.00,8.00,258.00,2541.00,1553.00,1684.00,-131.00,597.00,25.00,226.00,9.00,242.00,266.00,-377.00,0.00,-377.00
1957:Q4,2474.00,0.00,0.00,11.00,785.00,63.00,487.00,0.00,93.00,142.00,1381.00,1120.00,261.00,0.00,9.00,288.00,2562.00,1580.00,1707.00,-127.00,638.00,24.00,215.00,10.00,264.00,254.00,-423.00,0.00,-423.00
