date,FL474090005.Q,FL473013003.Q,FL472050053.Q,FL474022005.Q,FL473069153.Q,FL473061105.Q,FL473061705.Q,FL473062005.Q,FL473063005.Q,FL474023000.Q,FL473068005.Q,FL473065100.Q,FL473066000.Q,LM473064205.Q,FL473090005.Q,FL474190005.Q,FL474110005.Q,FL473139000.Q,FL473127003.Q,FL473131005.Q,FL473135003.Q,FL472150053.Q,FL473169333.Q,FL473193005.Q
1945:Q4,175.00,0.00,0.00,50.00,0.00,50.00,0.00,0.00,0.00,132.00,0.00,116.00,16.00,0.00,-7.00,152.00,-184.00,366.00,0.00,366.00,0.00,0.00,0.00,-30.00
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,227.00,0.00,0.00,50.00,0.00,50.00,0.00,0.00,0.00,186.00,0.00,157.00,29.00,0.00,-9.00,204.00,-203.00,429.00,0.00,429.00,0.00,0.00,0.00,-22.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,329.00,0.00,0.00,65.00,0.00,65.00,0.00,0.00,0.00,275.00,0.00,225.00,50.00,0.00,-11.00,301.00,-194.00,510.00,0.00,510.00,0.00,0.00,0.00,-15.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
