date,FL514090005.Q,FL513020003.Q,FL513034003.Q,FL512051003.Q,FL514022005.Q,FL513069103.Q,FL513061103.Q,FL513061703.Q,FL513062003.Q,FL513063003.Q,FL513065503.Q,LM513064105.Q,LM513064203.Q,FL513070003.Q,FL513092003.Q,FL513092403.Q,FL514190005.Q,FL512151003.Q,FL513169333.Q,FL513178003.Q,FL513192003.Q,FL513190005.Q,FL513194733.Q,FL513176003.Q
1945:Q4,6338.00,661.00,0.00,0.00,3438.00,0.00,2700.00,0.00,249.00,489.00,56.00,1760.00,0.00,361.00,62.00,0.00,3941.00,0.00,0.00,44.00,316.00,3581.00,0.00,3581.00
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,7206.00,850.00,0.00,0.00,4032.00,0.00,3294.00,0.00,237.00,501.00,61.00,1719.00,0.00,478.00,66.00,0.00,4649.00,0.00,0.00,34.00,318.00,4297.00,0.00,4297.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,8257.00,1032.00,0.00,0.00,4764.00,0.00,3885.00,0.00,315.00,564.00,69.00,1744.00,0.00,578.00,70.00,0.00,5485.00,0.00,0.00,44.00,320.00,5121.00,0.00,5121.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,9355.00,1074.00,0.00,0.00,5670.00,0.00,4413.00,0.00,544.00,713.00,76.00,1809.00,0.00,652.00,74.00,0.00,6299.00,0.00,0.00,117.00,322.00,5860.00,0.00,5860.00
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,10588.00,1137.00,0.00,0.00,6333.00,0.00,4826.00,0.00,828.00,679.00,93.00,2224.00,0.00,723.00,78.00,0.00,7053.00,0.00,0.00,217.00,325.00,6511.00,0.00,6511.00
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,11830.00,1202.00,0.00,0.00,7115.00,0.00,5253.00,0.00,1144.00,718.00,104.00,2587.00,0.00,740.00,82.00,0.00,7520.00,0.00,0.00,162.00,328.00,7030.00,0.00,7030.00
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,12890.00,1238.00,0.00,0.00,7687.00,0.00,5417.00,0.00,1448.00,822.00,118.00,2911.00,0.00,850.00,86.00,0.00,8372.00,0.00,0.00,128.00,332.00,7912.00,0.00,7912.00
1952:Q1,13203.00,1251.00,0.00,0.00,7929.00,0.00,5445.00,0.00,1582.00,902.00,120.00,2941.00,0.00,876.00,86.00,0.00,8680.00,0.00,0.00,192.00,332.00,8156.00,0.00,8156.00
1952:Q2,13483.00,1270.00,0.00,0.00,8063.00,0.00,5348.00,0.00,1728.00,987.00,121.00,3040.00,0.00,901.00,88.00,0.00,8926.00,0.00,0.00,176.00,333.00,8417.00,0.00,8417.00
1952:Q3,13765.00,1293.00,0.00,0.00,8358.00,0.00,5693.00,0.00,1739.00,926.00,122.00,2977.00,0.00,925.00,90.00,0.00,9200.00,0.00,0.00,189.00,334.00,8677.00,0.00,8677.00
1952:Q4,14336.00,1320.00,0.00,0.00,8610.00,0.00,5774.00,0.00,1869.00,967.00,123.00,3245.00,0.00,948.00,90.00,0.00,9485.00,0.00,0.00,218.00,351.00,8916.00,0.00,8916.00
1953:Q1,14598.00,1343.00,0.00,0.00,8906.00,0.00,5877.00,0.00,2023.00,1006.00,125.00,3165.00,0.00,967.00,92.00,0.00,9681.00,0.00,0.00,189.00,352.00,9140.00,0.00,9140.00
1953:Q2,14828.00,1361.00,0.00,0.00,9127.00,0.00,5884.00,0.00,2202.00,1041.00,129.00,3134.00,0.00,983.00,94.00,0.00,9903.00,0.00,0.00,195.00,353.00,9355.00,0.00,9355.00
1953:Q3,15160.00,1372.00,0.00,0.00,9429.00,0.00,5957.00,0.00,2402.00,1070.00,134.00,3133.00,0.00,996.00,96.00,0.00,10159.00,0.00,0.00,248.00,354.00,9557.00,0.00,9557.00
1953:Q4,15694.00,1375.00,0.00,0.00,9734.00,0.00,6025.00,0.00,2617.00,1092.00,139.00,3344.00,0.00,1006.00,96.00,0.00,10462.00,0.00,0.00,355.00,366.00,9741.00,0.00,9741.00
1954:Q1,16191.00,1371.00,0.00,0.00,9925.00,0.00,5986.00,0.00,2829.00,1110.00,143.00,3637.00,0.00,1017.00,98.00,0.00,10591.00,0.00,0.00,323.00,367.00,9901.00,0.00,9901.00
1954:Q2,16681.00,1360.00,0.00,0.00,10149.00,0.00,5993.00,0.00,3032.00,1124.00,145.00,3897.00,0.00,1030.00,100.00,0.00,10639.00,0.00,0.00,239.00,368.00,10032.00,0.00,10032.00
1954:Q3,17267.00,1344.00,0.00,0.00,10415.00,0.00,6057.00,0.00,3222.00,1136.00,145.00,4216.00,0.00,1045.00,102.00,0.00,10795.00,0.00,0.00,266.00,369.00,10160.00,0.00,10160.00
1954:Q4,17867.00,1323.00,0.00,0.00,10685.00,0.00,6137.00,0.00,3402.00,1146.00,143.00,4539.00,0.00,1064.00,113.00,0.00,10967.00,0.00,0.00,246.00,411.00,10310.00,0.00,10310.00
1955:Q1,18032.00,1316.00,0.00,0.00,10764.00,0.00,6022.00,0.00,3587.00,1155.00,144.00,4609.00,0.00,1084.00,115.00,0.00,11111.00,0.00,0.00,220.00,412.00,10479.00,0.00,10479.00
1955:Q2,18627.00,1319.00,0.00,0.00,10909.00,0.00,5964.00,0.00,3781.00,1164.00,146.00,5030.00,0.00,1106.00,117.00,0.00,11234.00,0.00,0.00,159.00,414.00,10661.00,0.00,10661.00
1955:Q3,19206.00,1331.00,0.00,0.00,11202.00,0.00,6045.00,0.00,3984.00,1173.00,149.00,5275.00,0.00,1130.00,119.00,0.00,11447.00,0.00,0.00,182.00,416.00,10849.00,0.00,10849.00
