date,FL544090005.Q,FL543020005.Q,FL543034005.Q,FL542051073.Q,FL544022005.Q,FL543069105.Q,FL543061105.Q,FL543061705.Q,FL543062005.Q,FL543063005.Q,FL544023005.Q,FL543069005.Q,FL543065005.Q,LM543064105.Q,LM543064205.Q,FL543092073.Q,FL543090005.Q,FL543092473.Q,FL543077073.Q,FL543093005.Q,FL544190005.Q,FL542151073.Q,FL543169373.Q,FL543140005.Q,FL543150005.Q,FL543178073.Q,FL543192073.Q,FL543190005.Q,FL543194733.Q,FL673090543.Q,FL543195005.Q,FL593095005.Q,FL543193005.Q
1945:Q4,43946.00,780.00,0.00,0.00,32611.00,0.00,20589.00,0.00,722.00,11300.00,8598.00,1962.00,6636.00,999.00,0.00,97.00,861.00,0.00,638.00,223.00,41555.00,0.00,0.00,35967.00,2700.00,26.00,275.00,2587.00,0.00,0.00,1385.00,0.00,1202.00
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,47460.00,774.00,0.00,0.00,35354.00,0.00,21635.00,0.00,614.00,13105.00,9049.00,1894.00,7155.00,1249.00,0.00,101.00,933.00,0.00,703.00,230.00,44886.00,0.00,0.00,38602.00,3100.00,22.00,276.00,2886.00,0.00,0.00,1601.00,0.00,1285.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,50900.00,1020.00,0.00,0.00,36774.00,0.00,20040.00,0.00,609.00,16125.00,10612.00,1937.00,8675.00,1390.00,0.00,105.00,999.00,0.00,784.00,215.00,48306.00,0.00,0.00,41147.00,3600.00,2.00,277.00,3280.00,0.00,0.00,1717.00,0.00,1563.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,54520.00,915.00,0.00,0.00,38042.00,0.00,16812.00,0.00,872.00,20358.00,12890.00,2057.00,10833.00,1428.00,0.00,109.00,1136.00,0.00,835.00,301.00,51802.00,0.00,0.00,43777.00,4200.00,2.00,279.00,3544.00,0.00,0.00,1911.00,0.00,1633.00
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,58390.00,908.00,0.00,0.00,39281.00,0.00,15298.00,0.00,1052.00,22931.00,15146.00,2240.00,12906.00,1718.00,0.00,113.00,1224.00,0.00,904.00,320.00,55527.00,0.00,0.00,46444.00,4825.00,47.00,281.00,3930.00,0.00,0.00,2134.00,0.00,1796.00
