date,FL594090005.Q,FL593020005.Q,FL593030005.Q,FL593034005.Q,FL592051005.Q,FL594022005.Q,FL593069105.Q,FL593061105.Q,FL593061705.Q,FL223062043.Q,FL593063005.Q,FL593065005.Q,LM593064105.Q,LM593064205.Q,FL593090005.Q,FL593095005.Q,FL573074005.Q,FL593073005.Q,FL593093005.Q,FL594190005.Q,FL594190045.Q,FL592000075.Q,FL593073045.Q,FL153050015.Q,FL594090045.Q,FL594090055.Q,FL893131573.Q,FL543150015.Q
1945:Q4,54295.00,150.00,0.00,0.00,0.00,9262.00,0.00,6473.00,0.00,849.00,1940.00,18.00,7.00,0.00,44858.00,0.00,0.00,44988.00,-130.00,54311.00,53516.00,8528.00,44988.00,ND,53500.00,795.00,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,61388.00,178.00,0.00,0.00,0.00,10139.00,0.00,7044.00,0.00,935.00,2160.00,43.00,8.00,0.00,51020.00,0.00,0.00,51242.00,-222.00,61405.00,60613.00,9371.00,51242.00,ND,60596.00,792.00,ND,ND
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,68252.00,216.00,0.00,0.00,0.00,11534.00,0.00,8107.00,0.00,1037.00,2390.00,67.00,10.00,0.00,56425.00,0.00,0.00,56447.00,-22.00,68273.00,67308.00,10861.00,56447.00,ND,67287.00,965.00,ND,ND
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,75091.00,252.00,0.00,0.00,0.00,13025.00,0.00,9192.00,0.00,1166.00,2667.00,97.00,13.00,0.00,61704.00,0.00,0.00,61528.00,176.00,75119.00,73983.00,12455.00,61528.00,ND,73955.00,1136.00,ND,ND
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,82204.00,305.00,0.00,0.00,0.00,14867.00,0.00,10516.00,0.00,1349.00,3002.00,134.00,20.00,0.00,66878.00,0.00,0.00,66565.00,313.00,82235.00,80952.00,14387.00,66565.00,ND,80921.00,1283.00,ND,ND
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
