date,FL574090055.Q,FL573020033.Q,FL573030033.Q,FL573034055.Q,FL572051033.Q,FL574022035.Q,FL573069133.Q,FL573061133.Q,FL573061733.Q,FL573063033.Q,FL573065033.Q,LM573064133.Q,LM573064255.Q,FL573090055.Q,FL573095505.Q,FL573074033.Q,FL573093033.Q,FL574090055.Q
1945:Q4,795.00,0.00,0.00,0.00,0.00,873.00,0.00,513.00,0.00,360.00,0.00,0.00,0.00,-78.00,0.00,0.00,-78.00,795.00
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,792.00,0.00,0.00,0.00,0.00,925.00,0.00,525.00,0.00,400.00,0.00,0.00,0.00,-133.00,0.00,0.00,-133.00,792.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,965.00,0.00,0.00,0.00,0.00,978.00,0.00,538.00,0.00,440.00,0.00,0.00,0.00,-13.00,0.00,0.00,-13.00,965.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,1136.00,0.00,0.00,0.00,0.00,1030.00,0.00,550.00,0.00,480.00,0.00,0.00,0.00,106.00,0.00,0.00,106.00,1136.00
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,1283.00,0.00,0.00,0.00,0.00,1095.00,0.00,575.00,0.00,520.00,0.00,0.00,0.00,188.00,0.00,0.00,188.00,1283.00
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,1399.00,0.00,0.00,0.00,0.00,1152.00,0.00,586.00,0.00,566.00,0.00,0.00,0.00,247.00,0.00,0.00,247.00,1399.00
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,1848.00,0.00,0.00,0.00,0.00,1308.00,0.00,611.00,0.00,697.00,0.00,275.00,0.00,265.00,0.00,0.00,265.00,1848.00
1952:Q1,2182.00,0.00,172.00,0.00,0.00,1359.00,0.00,622.00,0.00,737.00,0.00,289.00,0.00,362.00,0.00,0.00,362.00,2182.00
1952:Q2,2277.00,0.00,179.00,0.00,0.00,1407.00,0.00,621.00,0.00,786.00,0.00,312.00,0.00,379.00,0.00,0.00,379.00,2277.00
1952:Q3,2362.00,0.00,186.00,0.00,0.00,1462.00,0.00,617.00,0.00,845.00,0.00,320.00,0.00,394.00,0.00,0.00,394.00,2362.00
1952:Q4,2495.00,0.00,193.00,0.00,0.00,1530.00,0.00,620.00,0.00,910.00,0.00,369.00,0.00,403.00,0.00,0.00,403.00,2495.00
1953:Q1,2593.00,0.00,201.00,0.00,0.00,1600.00,0.00,628.00,0.00,972.00,0.00,383.00,0.00,409.00,0.00,0.00,409.00,2593.00
1953:Q2,2699.00,0.00,209.00,0.00,0.00,1672.00,0.00,642.00,0.00,1030.00,0.00,408.00,0.00,410.00,0.00,0.00,410.00,2699.00
