date,FL344090005.Q,FL344022005.Q,FL343061105.Q,FL343061705.Q,FL343063005.Q,LM343064105.Q,FL343073005.Q,FL344090005.Q,FL344090045.Q,FL342000075.Q,FL343073045.Q,FL344090045.Q,FL344090055.Q
1945:Q4,24055.00,2903.00,2903.00,0.00,0.00,0.00,21152.00,24055.00,24055.00,2903.00,21152.00,24055.00,0.00
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,28162.00,3273.00,3273.00,0.00,0.00,0.00,24889.00,28162.00,28162.00,3273.00,24889.00,28162.00,0.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,31565.00,4096.00,4096.00,0.00,0.00,0.00,27469.00,31565.00,31565.00,4096.00,27469.00,31565.00,0.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,35122.00,4919.00,4919.00,0.00,0.00,0.00,30203.00,35122.00,35122.00,4919.00,30203.00,35122.00,0.00
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,38974.00,5959.00,5959.00,0.00,0.00,0.00,33015.00,38974.00,38974.00,5959.00,33015.00,38974.00,0.00
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,43275.00,6743.00,6743.00,0.00,0.00,0.00,36532.00,43275.00,43275.00,6743.00,36532.00,43275.00,0.00
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,49290.00,7453.00,7453.00,0.00,0.00,0.00,41837.00,49290.00,49290.00,7453.00,41837.00,49290.00,0.00
1952:Q1,51016.00,7552.00,7552.00,0.00,0.00,0.00,43464.00,51016.00,51016.00,7552.00,43464.00,51016.00,0.00
1952:Q2,52777.00,7938.00,7938.00,0.00,0.00,0.00,44839.00,52777.00,52777.00,7938.00,44839.00,52777.00,0.00
1952:Q3,54583.00,8363.00,8363.00,0.00,0.00,0.00,46220.00,54583.00,54583.00,8363.00,46220.00,54583.00,0.00
1952:Q4,56407.00,8411.00,8411.00,0.00,0.00,0.00,47996.00,56407.00,56407.00,8411.00,47996.00,56407.00,0.00
1953:Q1,58212.00,8471.00,8471.00,0.00,0.00,0.00,49741.00,58212.00,58212.00,8471.00,49741.00,58212.00,0.00
1953:Q2,60046.00,8804.00,8804.00,0.00,0.00,0.00,51242.00,60046.00,60046.00,8804.00,51242.00,60046.00,0.00
1953:Q3,61906.00,8902.00,8902.00,0.00,0.00,0.00,53004.00,61906.00,61906.00,8902.00,53004.00,61906.00,0.00
1953:Q4,63771.00,8941.00,8941.00,0.00,0.00,0.00,54830.00,63771.00,63771.00,8941.00,54830.00,63771.00,0.00
1954:Q1,65592.00,8961.00,8961.00,0.00,0.00,0.00,56631.00,65592.00,65592.00,8961.00,56631.00,65592.00,0.00
1954:Q2,67442.00,9273.00,9273.00,0.00,0.00,0.00,58169.00,67442.00,67442.00,9273.00,58169.00,67442.00,0.00
1954:Q3,69328.00,9281.00,9281.00,0.00,0.00,0.00,60047.00,69328.00,69328.00,9281.00,60047.00,69328.00,0.00
1954:Q4,71235.00,9359.00,9359.00,0.00,0.00,0.00,61876.00,71235.00,71235.00,9359.00,61876.00,71235.00,0.00
1955:Q1,73120.00,9347.00,9347.00,0.00,0.00,0.00,63773.00,73120.00,73120.00,9347.00,63773.00,73120.00,0.00
