date,FL344090045.Q,FL344022045.Q,FL343061165.Q,FL343061733.Q,FL343063033.Q,LM343064133.Q,FL343073045.Q,FL344190045.Q
1945:Q4,24055.00,2903.00,2903.00,0.00,0.00,0.00,21152.00,24055.00
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,28162.00,3273.00,3273.00,0.00,0.00,0.00,24889.00,28162.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,31565.00,4096.00,4096.00,0.00,0.00,0.00,27469.00,31565.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,35122.00,4919.00,4919.00,0.00,0.00,0.00,30203.00,35122.00
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,38974.00,5959.00,5959.00,0.00,0.00,0.00,33015.00,38974.00
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,43275.00,6743.00,6743.00,0.00,0.00,0.00,36532.00,43275.00
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,49290.00,7453.00,7453.00,0.00,0.00,0.00,41837.00,49290.00
1952:Q1,51016.00,7552.00,7552.00,0.00,0.00,0.00,43464.00,51016.00
1952:Q2,52777.00,7938.00,7938.00,0.00,0.00,0.00,44839.00,52777.00
1952:Q3,54583.00,8363.00,8363.00,0.00,0.00,0.00,46220.00,54583.00
1952:Q4,56407.00,8411.00,8411.00,0.00,0.00,0.00,47996.00,56407.00
1953:Q1,58212.00,8471.00,8471.00,0.00,0.00,0.00,49741.00,58212.00
1953:Q2,60046.00,8804.00,8804.00,0.00,0.00,0.00,51242.00,60046.00
1953:Q3,61906.00,8902.00,8902.00,0.00,0.00,0.00,53004.00,61906.00
1953:Q4,63771.00,8941.00,8941.00,0.00,0.00,0.00,54830.00,63771.00
1954:Q1,65592.00,8961.00,8961.00,0.00,0.00,0.00,56631.00,65592.00
1954:Q2,67442.00,9273.00,9273.00,0.00,0.00,0.00,58169.00,67442.00
1954:Q3,69328.00,9281.00,9281.00,0.00,0.00,0.00,60047.00,69328.00
1954:Q4,71235.00,9359.00,9359.00,0.00,0.00,0.00,61876.00,71235.00
1955:Q1,73120.00,9347.00,9347.00,0.00,0.00,0.00,63773.00,73120.00
1955:Q2,75048.00,9702.00,9702.00,0.00,0.00,0.00,65346.00,75048.00
1955:Q3,77016.00,9975.00,9975.00,0.00,0.00,0.00,67041.00,77016.00
1955:Q4,79002.00,10048.00,10048.00,0.00,0.00,0.00,68954.00,79002.00
1956:Q1,80937.00,10061.00,10061.00,0.00,0.00,0.00,70876.00,80937.00
1956:Q2,82909.00,10377.00,10377.00,0.00,0.00,0.00,72532.00,82909.00
1956:Q3,84963.00,10918.00,10918.00,0.00,0.00,0.00,74045.00,84963.00
1956:Q4,87093.00,10911.00,10911.00,0.00,0.00,0.00,76182.00,87093.00
1957:Q1,91151.00,10924.00,10924.00,0.00,0.00,0.00,80227.00,91151.00
1957:Q2,95307.00,11224.00,11224.00,0.00,0.00,0.00,84083.00,95307.00
1957:Q3,99546.00,11270.00,11270.00,0.00,0.00,0.00,88276.00,99546.00
1957:Q4,103820.00,11346.00,11346.00,0.00,0.00,0.00,92474.00,103820.00
1958:Q1,106214.00,11511.00,11511.00,0.00,0.00,0.00,94703.00,106214.00
1958:Q2,108652.00,11859.00,11859.00,0.00,0.00,0.00,96793.00,108652.00
1958:Q3,111136.00,12170.00,12170.00,0.00,0.00,0.00,98966.00,111136.00
1958:Q4,113645.00,12280.00,12280.00,0.00,0.00,0.00,101365.00,113645.00
1959:Q1,116121.00,12413.00,12413.00,0.00,0.00,0.00,103708.00,116121.00
1959:Q2,118654.00,12798.00,12798.00,0.00,0.00,0.00,105856.00,118654.00
1959:Q3,121245.00,13121.00,13121.00,0.00,0.00,0.00,108124.00,121245.00
1959:Q4,123863.00,13164.00,13164.00,0.00,0.00,0.00,110699.00,123863.00
1960:Q1,126476.00,13251.00,13251.00,0.00,0.00,0.00,113225.00,126476.00
1960:Q2,129119.00,13936.00,13936.00,0.00,0.00,0.00,115183.00,129119.00
1960:Q3,131827.00,14038.00,14038.00,0.00,0.00,0.00,117789.00,131827.00
1960:Q4,134575.00,14090.00,14090.00,0.00,0.00,0.00,120485.00,134575.00
1961:Q1,137291.00,14141.00,14141.00,0.00,0.00,0.00,123150.00,137291.00
1961:Q2,140082.00,14927.00,14927.00,0.00,0.00,0.00,125155.00,140082.00
1961:Q3,142952.00,14996.00,14996.00,0.00,0.00,0.00,127956.00,142952.00
1961:Q4,145868.00,15006.00,15006.00,0.00,0.00,0.00,130862.00,145868.00
1962:Q1,148771.00,15054.00,15054.00,0.00,0.00,0.00,133717.00,148771.00
1962:Q2,151749.00,15908.00,15908.00,0.00,0.00,0.00,135841.00,151749.00
1962:Q3,154801.00,15923.00,15923.00,0.00,0.00,0.00,138878.00,154801.00
1962:Q4,157892.00,15999.00,15999.00,0.00,0.00,0.00,141893.00,157892.00
1963:Q1,160947.00,16048.00,16048.00,0.00,0.00,0.00,144899.00,160947.00
1963:Q2,164075.00,17000.00,17000.00,0.00,0.00,0.00,147075.00,164075.00
1963:Q3,167280.00,17073.00,17073.00,0.00,0.00,0.00,150207.00,167280.00
1963:Q4,170530.00,17160.00,17160.00,0.00,0.00,0.00,153370.00,170530.00
1964:Q1,173787.00,17268.00,17268.00,0.00,0.00,0.00,156519.00,173787.00
1964:Q2,177094.00,18179.00,18179.00,0.00,0.00,0.00,158915.00,177094.00
1964:Q3,180489.00,18348.00,18348.00,0.00,0.00,0.00,162141.00,180489.00
1964:Q4,183938.00,18409.00,18409.00,0.00,0.00,0.00,165529.00,183938.00
1965:Q1,187326.00,18480.00,18480.00,0.00,0.00,0.00,168846.00,187326.00
1965:Q2,190816.00,19550.00,19550.00,0.00,0.00,0.00,171266.00,190816.00
1965:Q3,194417.00,19728.00,19728.00,0.00,0.00,0.00,174689.00,194417.00
1965:Q4,198098.00,19724.00,19724.00,0.00,0.00,0.00,178374.00,198098.00
1966:Q1,201799.00,19747.00,19747.00,0.00,0.00,0.00,182052.00,201799.00
1966:Q2,205623.00,20835.00,20835.00,0.00,0.00,0.00,184788.00,205623.00
1966:Q3,209570.00,20935.00,20935.00,0.00,0.00,0.00,188635.00,209570.00
1966:Q4,213594.00,20977.00,20977.00,0.00,0.00,0.00,192617.00,213594.00
1967:Q1,217587.00,20925.00,20925.00,0.00,0.00,0.00,196662.00,217587.00
1967:Q2,221701.00,22043.00,22043.00,0.00,0.00,0.00,199658.00,221701.00
