date,FL224090045.Q,FL223020043.Q,FL223030045.Q,FL223034043.Q,FL222051043.Q,FL224022045.Q,FL223069143.Q,FL223061143.Q,FL223061743.Q,FL223062043.Q,FL223063045.Q,FL223065043.Q,LM223064145.Q,LM223064243.Q,FL223090045.Q,FL223073045.Q,FL223093043.Q,FL224190043.Q
1945:Q4,9559.00,69.00,0.00,0.00,0.00,2508.00,0.00,1519.00,0.00,849.00,140.00,18.00,7.00,0.00,6957.00,6957.00,0.00,9559.00
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,11166.00,77.00,0.00,0.00,0.00,2766.00,0.00,1671.00,0.00,935.00,160.00,21.00,8.00,0.00,8294.00,8294.00,0.00,11166.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,13114.00,85.00,0.00,0.00,0.00,3087.00,0.00,1860.00,0.00,1037.00,190.00,25.00,10.00,0.00,9907.00,9907.00,0.00,13114.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,15040.00,91.00,0.00,0.00,0.00,3506.00,0.00,2073.00,0.00,1166.00,267.00,35.00,13.00,0.00,11395.00,11395.00,0.00,15040.00
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,17034.00,101.00,0.00,0.00,0.00,4008.00,0.00,2257.00,0.00,1349.00,402.00,52.00,20.00,0.00,12853.00,12853.00,0.00,17034.00
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
