date,LM654090000.Q,FL652051003.Q,LM654022005.Q,LM653069100.Q,LM653061105.Q,LM653061703.Q,LM653062003.Q,LM653063005.Q,FL653069803.Q,LM653064100.Q,FL653093005.Q,LM654090000.Q,LM654090500.Q,LM654091603.Q,LM654092603.Q,LM654091403.Q,LM654091303.Q,LM654091203.Q
1945:Q4,1245.00,25.00,187.00,25.00,36.00,0.00,0.00,126.00,0.00,1033.00,0.00,1245.00,0.00,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,1298.00,35.00,219.00,35.00,31.00,0.00,0.00,153.00,0.00,1044.00,0.00,1298.00,0.00,ND,ND,ND,ND,ND
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,1413.00,36.00,224.00,36.00,43.00,0.00,0.00,145.00,0.00,1153.00,0.00,1413.00,0.00,ND,ND,ND,ND,ND
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,1516.00,35.00,255.00,35.00,65.00,0.00,0.00,155.00,0.00,1226.00,0.00,1516.00,0.00,ND,ND,ND,ND,ND
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,3071.00,42.00,319.00,42.00,104.00,0.00,0.00,173.00,0.00,2710.00,0.00,3071.00,0.00,ND,ND,ND,ND,ND
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,3344.00,49.00,398.00,49.00,129.00,0.00,0.00,220.00,0.00,2897.00,0.00,3344.00,0.00,ND,ND,ND,ND,ND
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,3482.00,72.00,462.00,72.00,129.00,0.00,0.00,261.00,0.00,2948.00,0.00,3482.00,0.00,ND,ND,ND,ND,ND
1952:Q1,3612.00,77.00,501.00,77.00,137.00,0.00,0.00,287.00,0.00,3034.00,0.00,3612.00,0.00,ND,ND,ND,ND,ND
1952:Q2,3696.00,66.00,510.00,66.00,141.00,0.00,0.00,303.00,0.00,3120.00,0.00,3696.00,0.00,ND,ND,ND,ND,ND
1952:Q3,3837.00,60.00,516.00,60.00,144.00,0.00,0.00,312.00,0.00,3261.00,0.00,3837.00,0.00,ND,ND,ND,ND,ND
1952:Q4,3932.00,67.00,539.00,67.00,130.00,0.00,0.00,342.00,0.00,3326.00,0.00,3932.00,0.00,ND,ND,ND,ND,ND
1953:Q1,3867.00,70.00,542.00,70.00,140.00,0.00,0.00,332.00,0.00,3255.00,0.00,3867.00,0.00,ND,ND,ND,ND,ND
1953:Q2,3778.00,61.00,520.00,61.00,134.00,0.00,0.00,325.00,0.00,3197.00,0.00,3778.00,0.00,ND,ND,ND,ND,ND
1953:Q3,3753.00,59.00,524.00,59.00,141.00,0.00,0.00,324.00,0.00,3170.00,0.00,3753.00,0.00,ND,ND,ND,ND,ND
1953:Q4,4146.00,78.00,547.00,78.00,129.00,0.00,0.00,340.00,0.00,3521.00,0.00,4146.00,0.00,ND,ND,ND,ND,ND
1954:Q1,4512.00,74.00,595.00,74.00,148.00,0.00,0.00,373.00,0.00,3843.00,0.00,4512.00,0.00,ND,ND,ND,ND,ND
1954:Q2,4895.00,69.00,608.00,69.00,137.00,0.00,0.00,402.00,0.00,4218.00,0.00,4895.00,0.00,ND,ND,ND,ND,ND
1954:Q3,5469.00,72.00,648.00,72.00,143.00,0.00,0.00,433.00,0.00,4749.00,0.00,5469.00,0.00,ND,ND,ND,ND,ND
