date,LM564090005.Q,LM564022005.Q,LM563061103.Q,LM563062003.Q,LM563063003.Q,LM563064103.Q,LM563093003.Q,LM564090005.Q,LM564091603.Q,LM564092603.Q,LM563093003.Q,LM564091403.Q,LM564091303.Q,LM564091203.Q
1945:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1952:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1952:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1952:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1952:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1953:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1953:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1953:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1953:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1954:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1954:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1954:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1954:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1955:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1955:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1955:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1955:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1956:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1956:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1956:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1956:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1957:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1957:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1957:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1957:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1958:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1958:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1958:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1958:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1959:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1959:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1959:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1959:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1960:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1960:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1960:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1960:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1961:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1961:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1961:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1961:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1962:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1962:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1962:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1962:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1963:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1963:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1963:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1963:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1964:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1964:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1964:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1964:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1965:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1965:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1965:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1965:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1966:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1966:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1966:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1966:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1967:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1967:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1967:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1967:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1968:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1968:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1968:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1968:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1969:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1969:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1969:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1969:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1970:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1970:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1970:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1970:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1971:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1971:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1971:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1971:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1972:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1972:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1972:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1972:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1973:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1973:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1973:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1973:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1974:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1974:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1974:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1974:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1975:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1975:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1975:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1975:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1976:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1976:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1976:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1976:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1977:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1977:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1977:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1977:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1978:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1978:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1978:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1978:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1979:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1979:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1979:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1979:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1980:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1980:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1980:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1980:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1981:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1981:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1981:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1981:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1982:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1982:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1982:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1982:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1983:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1983:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1983:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1983:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1984:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1984:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
