date,FL404090005.Q,FL403020005.Q,FL403030005.Q,FL402050005.Q,FL404022005.Q,FL403069105.Q,FL403061105.Q,FL403061705.Q,FL403062005.Q,FL403063005.Q,FL404023005.Q,FL403069305.Q,FL403069385.Q,FL403069345.Q,FL403069330.Q,FL403065005.Q,FL403065105.Q,FL403065195.Q,FL403065185.Q,FL403065405.Q,FL403065495.Q,FL403065485.Q,FL403065605.Q,FL403066005.Q,FL403093005.Q,FL404190005.Q,FL402150005.Q,FL403161705.Q,FL403161795.Q,FL403161785.Q,FL403169283.Q,FL403190005.Q
1945:Q4,2305.00,91.00,0.00,0.00,351.00,0.00,351.00,0.00,0.00,0.00,1697.00,662.00,0.00,457.00,205.00,1035.00,0.00,0.00,0.00,0.00,0.00,0.00,1035.00,0.00,166.00,2118.00,0.00,873.00,0.00,873.00,0.00,1245.00
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,2360.00,93.00,0.00,0.00,356.00,0.00,356.00,0.00,0.00,0.00,1771.00,812.00,0.00,511.00,301.00,959.00,0.00,0.00,0.00,0.00,0.00,0.00,959.00,0.00,140.00,2148.00,0.00,1168.00,0.00,1168.00,0.00,980.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,2527.00,90.00,0.00,0.00,325.00,0.00,325.00,0.00,0.00,0.00,1997.00,1110.00,0.00,678.00,432.00,887.00,0.00,0.00,0.00,0.00,0.00,0.00,887.00,0.00,115.00,2287.00,0.00,1284.00,0.00,1284.00,0.00,1003.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,2859.00,77.00,0.00,0.00,453.00,0.00,453.00,0.00,0.00,0.00,2226.00,1354.00,0.00,845.00,509.00,872.00,0.00,0.00,0.00,0.00,0.00,0.00,872.00,0.00,103.00,2611.00,0.00,1559.00,0.00,1559.00,0.00,1052.00
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,2824.00,71.00,0.00,0.00,450.00,0.00,450.00,0.00,0.00,0.00,2197.00,1292.00,0.00,865.00,427.00,905.00,0.00,0.00,0.00,0.00,0.00,0.00,905.00,0.00,106.00,2563.00,0.00,1447.00,0.00,1447.00,0.00,1116.00
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
