date,FL413065005.Q,FL413065105.Q,FL413065405.Q,FL413065505.Q,FL413065605.Q,FL413065005.Q
1945:Q4,0.00,0.00,0.00,0.00,0.00,0.00
1946:Q1,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND
1946:Q4,0.00,0.00,0.00,0.00,0.00,0.00
1947:Q1,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND
1947:Q4,0.00,0.00,0.00,0.00,0.00,0.00
1948:Q1,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND
1948:Q4,4.00,0.00,0.00,0.00,4.00,4.00
1949:Q1,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND
1949:Q4,7.00,0.00,0.00,0.00,7.00,7.00
1950:Q1,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND
1950:Q4,32.00,0.00,0.00,0.00,32.00,32.00
1951:Q1,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND
1951:Q4,43.00,0.00,0.00,0.00,43.00,43.00
1952:Q1,45.00,0.00,0.00,0.00,45.00,45.00
1952:Q2,47.00,0.00,0.00,0.00,47.00,47.00
1952:Q3,50.00,0.00,0.00,0.00,50.00,50.00
1952:Q4,53.00,0.00,0.00,0.00,53.00,53.00
1953:Q1,55.00,0.00,0.00,0.00,55.00,55.00
1953:Q2,56.00,0.00,0.00,0.00,56.00,56.00
1953:Q3,58.00,0.00,0.00,0.00,58.00,58.00
1953:Q4,60.00,0.00,0.00,0.00,60.00,60.00
1954:Q1,61.00,0.00,0.00,0.00,61.00,61.00
1954:Q2,62.00,0.00,0.00,0.00,62.00,62.00
1954:Q3,70.00,0.00,0.00,0.00,70.00,70.00
1954:Q4,78.00,0.00,0.00,0.00,78.00,78.00
1955:Q1,86.00,0.00,0.00,0.00,86.00,86.00
1955:Q2,95.00,0.00,0.00,0.00,95.00,95.00
1955:Q3,105.00,0.00,0.00,0.00,105.00,105.00
1955:Q4,116.00,0.00,0.00,0.00,116.00,116.00
1956:Q1,127.00,0.00,0.00,0.00,127.00,127.00
1956:Q2,138.00,0.00,0.00,0.00,138.00,138.00
1956:Q3,143.00,0.00,0.00,0.00,143.00,143.00
1956:Q4,149.00,0.00,0.00,0.00,149.00,149.00
1957:Q1,157.00,0.00,0.00,0.00,157.00,157.00
1957:Q2,166.00,0.00,0.00,0.00,166.00,166.00
1957:Q3,170.00,0.00,0.00,0.00,170.00,170.00
1957:Q4,173.00,0.00,0.00,0.00,173.00,173.00
1958:Q1,175.00,0.00,0.00,0.00,175.00,175.00
1958:Q2,177.00,0.00,0.00,0.00,177.00,177.00
1958:Q3,183.00,0.00,0.00,0.00,183.00,183.00
1958:Q4,190.00,0.00,0.00,0.00,190.00,190.00
1959:Q1,195.00,0.00,0.00,0.00,195.00,195.00
1959:Q2,201.00,0.00,0.00,0.00,201.00,201.00
1959:Q3,202.00,0.00,0.00,0.00,202.00,202.00
1959:Q4,203.00,0.00,0.00,0.00,203.00,203.00
1960:Q1,204.00,0.00,0.00,0.00,204.00,204.00
1960:Q2,206.00,0.00,0.00,0.00,206.00,206.00
1960:Q3,204.00,0.00,0.00,0.00,204.00,204.00
1960:Q4,201.00,0.00,0.00,0.00,201.00,201.00
1961:Q1,201.00,0.00,0.00,1.00,200.00,201.00
1961:Q2,200.00,0.00,0.00,3.00,197.00,200.00
1961:Q3,244.00,0.00,0.00,4.00,240.00,244.00
1961:Q4,290.00,0.00,0.00,4.00,286.00,290.00
1962:Q1,312.00,0.00,0.00,5.00,307.00,312.00
1962:Q2,336.00,0.00,0.00,6.00,330.00,336.00
1962:Q3,373.00,0.00,0.00,7.00,366.00,373.00
1962:Q4,413.00,0.00,0.00,8.00,405.00,413.00
1963:Q1,453.00,0.00,0.00,9.00,444.00,453.00
1963:Q2,495.00,0.00,0.00,10.00,485.00,495.00
1963:Q3,509.00,0.00,1.00,13.00,495.00,509.00
1963:Q4,525.00,0.00,1.00,15.00,509.00,525.00
1964:Q1,551.00,0.00,1.00,18.00,532.00,551.00
1964:Q2,581.00,0.00,1.00,21.00,559.00,581.00
1964:Q3,602.00,0.00,2.00,30.00,570.00,602.00
1964:Q4,624.00,0.00,2.00,41.00,581.00,624.00
1965:Q1,676.00,0.00,2.00,54.00,620.00,676.00
1965:Q2,730.00,0.00,2.00,68.00,660.00,730.00
1965:Q3,797.00,23.00,3.00,86.00,685.00,797.00
1965:Q4,869.00,50.00,4.00,104.00,711.00,869.00
1966:Q1,949.00,84.00,4.00,125.00,736.00,949.00
1966:Q2,1033.00,122.00,3.00,147.00,761.00,1033.00
1966:Q3,1167.00,188.00,4.00,170.00,805.00,1167.00
1966:Q4,1314.00,266.00,4.00,194.00,850.00,1314.00
1967:Q1,1480.00,356.00,5.00,219.00,900.00,1480.00
1967:Q2,1660.00,458.00,5.00,245.00,952.00,1660.00
1967:Q3,1821.00,551.00,7.00,274.00,989.00,1821.00
1967:Q4,1988.00,652.00,9.00,301.00,1026.00,1988.00
1968:Q1,2169.00,761.00,10.00,327.00,1071.00,2169.00
1968:Q2,2359.00,878.00,12.00,352.00,1117.00,2359.00
1968:Q3,2444.00,936.00,15.00,368.00,1125.00,2444.00
1968:Q4,2526.00,994.00,18.00,383.00,1131.00,2526.00
1969:Q1,2616.00,1052.00,22.00,397.00,1145.00,2616.00
1969:Q2,2701.00,1108.00,26.00,411.00,1156.00,2701.00
1969:Q3,2949.00,1236.00,30.00,428.00,1255.00,2949.00
1969:Q4,3204.00,1369.00,35.00,444.00,1356.00,3204.00
1970:Q1,3499.00,1522.00,40.00,459.00,1478.00,3499.00
1970:Q2,3713.00,1686.00,45.00,474.00,1508.00,3713.00
1970:Q3,4132.00,2005.00,53.00,486.00,1588.00,4132.00
1970:Q4,4755.00,2532.00,60.00,496.00,1667.00,4755.00
1971:Q1,5957.00,3583.00,69.00,507.00,1798.00,5957.00
1971:Q2,7572.00,5041.00,79.00,518.00,1934.00,7572.00
1971:Q3,8369.00,5717.00,88.00,554.00,2010.00,8369.00
1971:Q4,9516.00,6717.00,114.00,589.00,2096.00,9516.00
1972:Q1,10542.00,7636.00,146.00,506.00,2254.00,10542.00
1972:Q2,11748.00,8681.00,212.00,542.00,2313.00,11748.00
1972:Q3,12815.00,9587.00,280.00,582.00,2366.00,12815.00
1972:Q4,14404.00,10701.00,392.00,867.00,2444.00,14404.00
1973:Q1,15160.00,11356.00,502.00,867.00,2435.00,15160.00
1973:Q2,16615.00,12500.00,546.00,970.00,2599.00,16615.00
1973:Q3,17057.00,12922.00,598.00,950.00,2587.00,17057.00
1973:Q4,18040.00,13636.00,616.00,1124.00,2664.00,18040.00
1974:Q1,19709.00,15269.00,632.00,1118.00,2690.00,19709.00
1974:Q2,20132.00,15799.00,648.00,1065.00,2620.00,20132.00
1974:Q3,20537.00,17152.00,737.00,0.00,2648.00,20537.00
1974:Q4,21458.00,18038.00,775.00,0.00,2645.00,21458.00
1975:Q1,24420.00,20820.00,895.00,0.00,2705.00,24420.00
1975:Q2,25603.00,22351.00,852.00,0.00,2400.00,25603.00
1975:Q3,26785.00,23486.00,1089.00,0.00,2210.00,26785.00
1975:Q4,28511.00,25339.00,1175.00,0.00,1997.00,28511.00
1976:Q1,31152.00,27700.00,1446.00,0.00,2006.00,31152.00
1976:Q2,34026.00,30627.00,1469.00,0.00,1930.00,34026.00
1976:Q3,36984.00,33513.00,1558.00,0.00,1913.00,36984.00
1976:Q4,40693.00,37257.00,1659.00,0.00,1777.00,40693.00
1977:Q1,45418.00,41753.00,1924.00,0.00,1741.00,45418.00
1977:Q2,47980.00,44402.00,1987.00,0.00,1591.00,47980.00
1977:Q3,52412.00,48830.00,2212.00,0.00,1370.00,52412.00
1977:Q4,56803.00,52988.00,2584.00,0.00,1231.00,56803.00
1978:Q1,59512.00,55350.00,2885.00,0.00,1277.00,59512.00
1978:Q2,62611.00,57993.00,3469.00,0.00,1149.00,62611.00
1978:Q3,65755.00,61032.00,3736.00,0.00,987.00,65755.00
1978:Q4,70407.00,65354.00,4097.00,0.00,956.00,70407.00
1979:Q1,75627.00,70268.00,4353.00,0.00,1006.00,75627.00
1979:Q2,80506.00,74795.00,4686.00,0.00,1025.00,80506.00
1979:Q3,87309.00,81301.00,4974.00,0.00,1034.00,87309.00
1979:Q4,94778.00,88429.00,5318.00,0.00,1031.00,94778.00
1980:Q1,99954.00,93521.00,5397.00,0.00,1036.00,99954.00
1980:Q2,104016.00,97347.00,5618.00,0.00,1051.00,104016.00
1980:Q3,109691.00,102880.00,5832.00,0.00,979.00,109691.00
1980:Q4,113959.00,107126.00,5976.00,0.00,857.00,113959.00
1981:Q1,117260.00,110264.00,6111.00,0.00,885.00,117260.00
1981:Q2,120851.00,113866.00,6201.00,0.00,784.00,120851.00
1981:Q3,124370.00,117244.00,6374.00,0.00,752.00,124370.00
1981:Q4,128986.00,125010.00,3228.00,0.00,748.00,128986.00
1982:Q1,137628.00,133734.00,3267.00,0.00,627.00,137628.00
1982:Q2,146951.00,142967.00,3375.00,0.00,609.00,146951.00
1982:Q3,160231.00,156168.00,3480.00,0.00,583.00,160231.00
1982:Q4,178519.00,174349.00,3589.00,0.00,581.00,178519.00
1983:Q1,196517.00,191975.00,3882.00,0.00,660.00,196517.00
1983:Q2,213061.00,208340.00,4155.00,0.00,566.00,213061.00
1983:Q3,231538.00,226385.00,4606.00,0.00,547.00,231538.00
1983:Q4,244807.00,239439.00,4820.00,0.00,548.00,244807.00
1984:Q1,255930.00,250431.00,4953.00,0.00,546.00,255930.00
1984:Q2,263344.00,257762.00,5074.00,0.00,508.00,263344.00
1984:Q3,275538.00,269261.00,5501.00,0.00,776.00,275538.00
1984:Q4,288987.00,282953.00,5518.00,0.00,516.00,288987.00
1985:Q1,304033.00,297096.00,6421.00,0.00,516.00,304033.00
1985:Q2,321090.00,313763.00,6768.00,0.00,559.00,321090.00
1985:Q3,343332.00,335965.00,6926.00,0.00,441.00,343332.00
1985:Q4,367864.00,360508.00,6998.00,0.00,358.00,367864.00
1986:Q1,394587.00,385169.00,8991.00,0.00,427.00,394587.00
1986:Q2,429072.00,419545.00,9103.00,0.00,424.00,429072.00
1986:Q3,475896.00,465354.00,10156.00,0.00,386.00,475896.00
1986:Q4,531591.00,519520.00,11865.00,132.00,74.00,531591.00
1987:Q1,575435.00,561534.00,13704.00,127.00,70.00,575435.00
1987:Q2,615142.00,600095.00,14854.00,126.00,67.00,615142.00
1987:Q3,647084.00,631037.00,15858.00,124.00,65.00,647084.00
1987:Q4,669394.00,652892.00,16378.00,63.00,61.00,669394.00
1988:Q1,677841.00,660006.00,17728.00,58.00,49.00,677841.00
1988:Q2,695315.00,676706.00,18526.00,41.00,42.00,695315.00
1988:Q3,721137.00,701023.00,20035.00,38.00,41.00,721137.00
1988:Q4,745287.00,723602.00,21607.00,38.00,40.00,745287.00
1989:Q1,770459.00,747328.00,23059.00,34.00,38.00,770459.00
1989:Q2,794482.00,769788.00,24632.00,26.00,36.00,794482.00
1989:Q3,827012.00,801394.00,25557.00,26.00,35.00,827012.00
1989:Q4,869549.00,843800.00,25690.00,26.00,33.00,869549.00
1990:Q1,905165.00,878320.00,26789.00,25.00,31.00,905165.00
1990:Q2,944198.00,917021.00,27123.00,24.00,30.00,944198.00
1990:Q3,978533.00,951547.00,26933.00,24.00,29.00,978533.00
1990:Q4,1019861.00,991084.00,28727.00,24.00,26.00,1019861.00
1991:Q1,1050307.00,1023310.00,26949.00,23.00,24.00,1050307.00
1991:Q2,1085984.00,1058760.00,27182.00,21.00,21.00,1085984.00
1991:Q3,1123313.00,1097340.00,25932.00,20.00,20.00,1123313.00
1991:Q4,1156489.00,1130351.00,26102.00,19.00,17.00,1156489.00
1992:Q1,1179728.00,1154063.00,25631.00,18.00,16.00,1179728.00
1992:Q2,1218988.00,1193954.00,25000.00,18.00,15.00,1218988.00
1992:Q3,1243647.00,1219206.00,24409.00,18.00,14.00,1243647.00
1992:Q4,1272047.00,1248186.00,23831.00,17.00,13.00,1272047.00
1993:Q1,1299796.00,1276567.00,23202.00,16.00,11.00,1299796.00
1993:Q2,1301300.00,1278722.00,22552.00,15.00,11.00,1301300.00
1993:Q3,1330555.00,1308202.00,22329.00,14.00,10.00,1330555.00
1993:Q4,1356766.00,1334286.00,22458.00,13.00,10.00,1356766.00
1994:Q1,1399296.00,1376967.00,22308.00,12.00,9.00,1399296.00
1994:Q2,1432417.00,1410106.00,22293.00,10.00,8.00,1432417.00
1994:Q3,1454933.00,1432867.00,22050.00,9.00,7.00,1454933.00
1994:Q4,1472405.00,1449589.00,22442.00,9.00,365.00,1472405.00
1995:Q1,1480246.00,1457651.00,22208.00,7.00,380.00,1480246.00
1995:Q2,1499398.00,1475137.00,23858.00,6.00,397.00,1499398.00
1995:Q3,1527030.00,1501933.00,24678.00,5.00,414.00,1527030.00
