date,FL264090005.Q,FL313111303.Q,FL264016005.Q,FL263020005.Q,FL263030005.Q,FL263034003.Q,FL262051003.Q,FL264022005.Q,LM263069103.Q,LM263061105.Q,LM263061110.Q,LM263061120.Q,LM263061705.Q,FL263062003.Q,LM263063005.Q,FL263069500.Q,LM263064105.Q,LM263064203.Q,FL263070003.Q,FL263092001.Q,FL264190005.Q,FL263111005.Q,FL263191005.Q,FL262151003.Q,FL264122005.Q,FL263169105.Q,LM263163005.Q,FL264123005.Q,FL263168005.Q,FL263169005.Q,FL263170003.Q,FL263192005.Q,FL263190005.Q,FL313092803.Q,FL263191103.Q,FL263194735.Q,LM263164103.Q
1945:Q4,13516.00,0.00,422.00,2677.00,1578.00,0.00,0.00,3119.00,42.00,2574.00,0.00,2574.00,0.00,0.00,503.00,0.00,2700.00,0.00,513.00,2507.00,13728.00,0.00,33.00,0.00,2913.00,0.00,2913.00,2754.00,489.00,2265.00,399.00,7227.00,402.00,0.00,402.00,0.00,942.00
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,12197.00,0.00,241.00,2280.00,1582.00,0.00,0.00,2387.00,58.00,2100.00,0.00,2100.00,0.00,0.00,229.00,0.00,2690.00,0.00,514.00,2503.00,16245.00,-248.00,68.00,0.00,2821.00,0.00,2821.00,5492.00,822.00,4670.00,356.00,7227.00,529.00,317.00,212.00,0.00,1001.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,12234.00,0.00,334.00,1718.00,1564.00,0.00,0.00,3044.00,64.00,2700.00,0.00,2700.00,0.00,0.00,280.00,0.00,2480.00,0.00,491.00,2603.00,23035.00,937.00,51.00,0.00,2800.00,0.00,2800.00,9489.00,992.00,8497.00,433.00,8366.00,959.00,635.00,324.00,0.00,972.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,12969.00,0.00,513.00,2199.00,1585.00,0.00,0.00,3145.00,113.00,2800.00,0.00,2800.00,0.00,0.00,232.00,0.00,2305.00,0.00,435.00,2787.00,25954.00,1293.00,10.00,0.00,2880.00,0.00,2880.00,10823.00,1232.00,9591.00,452.00,9625.00,871.00,635.00,236.00,0.00,944.00
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,13759.00,0.00,848.00,1988.00,1727.00,0.00,0.00,3371.00,144.00,2900.00,0.00,2900.00,0.00,0.00,327.00,0.00,2490.00,0.00,394.00,2941.00,27462.00,1462.00,10.00,0.00,2871.00,0.00,2871.00,10926.00,946.00,9980.00,449.00,10700.00,1044.00,635.00,409.00,0.00,708.00
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,16636.00,0.00,1073.00,2035.00,1954.00,0.00,0.00,4819.00,202.00,4300.00,0.00,4300.00,0.00,0.00,317.00,0.00,2925.00,0.00,439.00,3391.00,28731.00,1446.00,57.00,0.00,3122.00,0.00,3122.00,10794.00,664.00,10130.00,445.00,11788.00,1079.00,635.00,444.00,0.00,1175.00
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,17504.00,0.00,1676.00,1700.00,1666.00,0.00,0.00,4894.00,293.00,4278.00,0.00,4278.00,0.00,0.00,323.00,0.00,3450.00,0.00,460.00,3658.00,30636.00,1426.00,91.00,0.00,3399.00,0.00,3399.00,11169.00,817.00,10352.00,490.00,12979.00,1082.00,635.00,447.00,0.00,1390.00
1952:Q1,17617.00,0.00,1838.00,1695.00,1660.00,0.00,0.00,4797.00,281.00,4186.00,0.00,4186.00,0.00,0.00,330.00,0.00,3454.00,0.00,457.00,3716.00,31217.00,1466.00,84.00,0.00,3438.00,0.00,3438.00,11334.00,840.00,10494.00,462.00,13357.00,1076.00,635.00,441.00,0.00,363.00
1952:Q2,18162.00,0.00,1948.00,1818.00,1697.00,0.00,0.00,4907.00,268.00,4303.00,0.00,4303.00,0.00,0.00,336.00,0.00,3539.00,0.00,459.00,3794.00,31983.00,1446.00,102.00,0.00,3487.00,0.00,3487.00,11456.00,846.00,10610.00,469.00,13953.00,1070.00,635.00,435.00,0.00,789.00
1952:Q3,18763.00,0.00,1726.00,2302.00,1656.00,0.00,0.00,5305.00,288.00,4668.00,0.00,4668.00,0.00,0.00,349.00,0.00,3434.00,0.00,491.00,3849.00,32360.00,1456.00,98.00,0.00,3404.00,0.00,3404.00,11619.00,855.00,10764.00,462.00,14264.00,1057.00,635.00,422.00,0.00,1128.00
1952:Q4,18800.00,0.00,1758.00,1950.00,1807.00,0.00,0.00,5136.00,309.00,4468.00,0.00,4468.00,0.00,0.00,359.00,0.00,3705.00,0.00,499.00,3945.00,32888.00,1462.00,75.00,0.00,3426.00,0.00,3426.00,11618.00,855.00,10763.00,518.00,14721.00,1068.00,635.00,433.00,0.00,1459.00
1953:Q1,18737.00,0.00,1742.00,1781.00,1852.00,0.00,0.00,5257.00,306.00,4609.00,0.00,4609.00,0.00,0.00,342.00,0.00,3569.00,0.00,496.00,4040.00,33455.00,1460.00,102.00,0.00,3477.00,0.00,3477.00,11736.00,811.00,10925.00,493.00,15108.00,1079.00,635.00,444.00,0.00,1492.00
1953:Q2,18999.00,0.00,1783.00,1734.00,1969.00,0.00,0.00,5488.00,305.00,4823.00,0.00,4823.00,0.00,0.00,360.00,0.00,3476.00,0.00,470.00,4079.00,34004.00,1418.00,74.00,0.00,3352.00,0.00,3352.00,12029.00,705.00,11324.00,529.00,15545.00,1057.00,635.00,422.00,0.00,1399.00
1953:Q3,19388.00,0.00,1798.00,1679.00,2050.00,0.00,0.00,5787.00,356.00,5056.00,0.00,5056.00,0.00,0.00,375.00,0.00,3430.00,0.00,471.00,4173.00,34805.00,1439.00,85.00,0.00,3307.00,0.00,3307.00,12477.00,610.00,11867.00,518.00,15926.00,1053.00,635.00,418.00,0.00,1290.00
1953:Q4,19742.00,0.00,1682.00,1498.00,2408.00,0.00,0.00,5810.00,401.00,5035.00,0.00,5035.00,0.00,0.00,374.00,0.00,3650.00,0.00,443.00,4251.00,35441.00,1367.00,114.00,0.00,3314.00,0.00,3314.00,12839.00,727.00,12112.00,499.00,16253.00,1055.00,635.00,420.00,0.00,1329.00
1954:Q1,20620.00,0.00,1602.00,1508.00,2683.00,0.00,0.00,6055.00,382.00,5306.00,0.00,5306.00,0.00,0.00,367.00,0.00,3996.00,0.00,442.00,4334.00,35814.00,1323.00,115.00,0.00,3485.00,0.00,3485.00,12800.00,721.00,12079.00,497.00,16564.00,1030.00,635.00,395.00,0.00,1439.00
1954:Q2,21320.00,0.00,1606.00,1622.00,2964.00,0.00,0.00,5920.00,369.00,5192.00,0.00,5192.00,0.00,0.00,359.00,0.00,4353.00,0.00,417.00,4438.00,36180.00,1303.00,128.00,0.00,3422.00,0.00,3422.00,12728.00,701.00,12027.00,520.00,16990.00,1089.00,635.00,454.00,0.00,1554.00
1954:Q3,22235.00,0.00,1627.00,1362.00,3223.00,0.00,0.00,6268.00,350.00,5537.00,0.00,5537.00,0.00,0.00,381.00,0.00,4804.00,0.00,413.00,4538.00,36399.00,1175.00,150.00,0.00,3324.00,0.00,3324.00,12829.00,911.00,11918.00,549.00,17216.00,1156.00,635.00,521.00,0.00,1708.00
1954:Q4,23084.00,0.00,1729.00,1708.00,2900.00,0.00,0.00,6430.00,584.00,5466.00,0.00,5466.00,0.00,0.00,380.00,0.00,5254.00,0.00,430.00,4633.00,37173.00,1185.00,158.00,0.00,3264.00,0.00,3264.00,13171.00,1196.00,11975.00,598.00,17631.00,1166.00,635.00,531.00,0.00,1868.00
1955:Q1,23058.00,0.00,1719.00,1360.00,2937.00,0.00,0.00,6429.00,567.00,5472.00,0.00,5472.00,0.00,0.00,390.00,0.00,5407.00,0.00,465.00,4741.00,37384.00,1141.00,147.00,0.00,3170.00,0.00,3170.00,13092.00,1144.00,11948.00,622.00,17944.00,1268.00,635.00,633.00,0.00,1934.00
1955:Q2,23872.00,0.00,1820.00,1432.00,2922.00,0.00,0.00,6411.00,457.00,5558.00,0.00,5558.00,0.00,0.00,396.00,0.00,5981.00,0.00,441.00,4865.00,38047.00,1121.00,127.00,0.00,3112.00,0.00,3112.00,13208.00,1203.00,12005.00,643.00,18469.00,1367.00,635.00,732.00,0.00,2168.00
1955:Q3,24594.00,0.00,1832.00,1378.00,2985.00,0.00,0.00,6611.00,460.00,5746.00,0.00,5746.00,0.00,0.00,405.00,0.00,6349.00,0.00,473.00,4966.00,38459.00,1108.00,123.00,0.00,3072.00,0.00,3072.00,13235.00,1264.00,11971.00,627.00,18852.00,1442.00,635.00,807.00,0.00,2333.00
1955:Q4,24962.00,0.00,1846.00,1532.00,2799.00,0.00,0.00,6676.00,439.00,5803.00,0.00,5803.00,0.00,0.00,434.00,0.00,6575.00,0.00,458.00,5076.00,39157.00,1044.00,129.00,0.00,3071.00,0.00,3071.00,13357.00,1413.00,11944.00,652.00,19395.00,1509.00,635.00,874.00,0.00,2439.00
1956:Q1,25957.00,0.00,1944.00,1582.00,2577.00,0.00,0.00,7115.00,476.00,6189.00,0.00,6189.00,0.00,0.00,450.00,0.00,7074.00,0.00,466.00,5199.00,40010.00,1048.00,95.00,0.00,3161.00,0.00,3161.00,13392.00,1409.00,11983.00,714.00,19981.00,1619.00,635.00,984.00,0.00,2642.00
1956:Q2,26195.00,0.00,1890.00,1623.00,2772.00,0.00,0.00,7200.00,486.00,6244.00,0.00,6244.00,0.00,0.00,470.00,0.00,6899.00,0.00,505.00,5306.00,41097.00,979.00,141.00,0.00,3242.00,0.00,3242.00,13585.00,1477.00,12108.00,731.00,20679.00,1740.00,635.00,1105.00,0.00,2591.00
1956:Q3,26847.00,0.00,2159.00,1563.00,2811.00,0.00,0.00,7566.00,579.00,6500.00,0.00,6500.00,0.00,0.00,487.00,0.00,6805.00,0.00,543.00,5400.00,42357.00,1052.00,119.00,0.00,3316.00,0.00,3316.00,13613.00,1547.00,12066.00,757.00,21540.00,1960.00,670.00,1290.00,0.00,2565.00
