date,FL893111005.Q,FL313111303.Q,FL263111005.Q,FL313011303.Q,FL263111403.Q,FL263111503.Q,FL893011005.Q,FL313011005.Q,FL313011205.Q,FL313011303.Q,FL313011405.Q,FL313011505.Q,FL313111303.Q,FL713011005.Q,FL713011203.Q,FL713011405.Q,FL713011505.Q,FL903011005.Q
1945:Q4,0.00,0.00,0.00,0.00,0.00,0.00,20083.00,18.00,18.00,0.00,0.00,0.00,0.00,20065.00,20065.00,0.00,0.00,-20083.00
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,-248.00,0.00,-248.00,0.00,-248.00,0.00,20458.00,-71.00,177.00,0.00,-248.00,0.00,0.00,20529.00,20529.00,0.00,0.00,-20706.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,937.00,0.00,937.00,0.00,937.00,0.00,23805.00,1330.00,114.00,0.00,1216.00,0.00,0.00,22475.00,22754.00,-279.00,0.00,-22868.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,1293.00,0.00,1293.00,0.00,1293.00,0.00,25692.00,1729.00,155.00,0.00,1574.00,0.00,0.00,23963.00,24244.00,-281.00,0.00,-24399.00
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,1462.00,0.00,1462.00,0.00,1462.00,0.00,26025.00,1878.00,136.00,0.00,1742.00,0.00,0.00,24147.00,24427.00,-280.00,0.00,-24563.00
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,1446.00,0.00,1446.00,0.00,1446.00,0.00,24266.00,1594.00,114.00,0.00,1480.00,0.00,0.00,22672.00,22706.00,-34.00,0.00,-22820.00
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,1426.00,0.00,1426.00,0.00,1426.00,0.00,24298.00,1631.00,177.00,0.00,1454.00,0.00,0.00,22667.00,22695.00,-28.00,0.00,-22872.00
1952:Q1,1466.00,0.00,1466.00,0.00,1466.00,0.00,24894.00,1634.00,137.00,0.00,1497.00,0.00,0.00,23260.00,23291.00,-31.00,0.00,-23428.00
1952:Q2,1446.00,0.00,1446.00,0.00,1446.00,0.00,24979.00,1663.00,187.00,0.00,1476.00,0.00,0.00,23316.00,23346.00,-30.00,0.00,-23533.00
1952:Q3,1456.00,0.00,1456.00,0.00,1456.00,0.00,24982.00,1671.00,184.00,0.00,1487.00,0.00,0.00,23311.00,23342.00,-31.00,0.00,-23526.00
1952:Q4,1462.00,0.00,1462.00,0.00,1462.00,0.00,24714.00,1557.00,65.00,0.00,1492.00,0.00,0.00,23157.00,23187.00,-30.00,0.00,-23252.00
1953:Q1,1460.00,0.00,1460.00,0.00,1460.00,0.00,24109.00,1578.00,86.00,0.00,1492.00,0.00,0.00,22531.00,22563.00,-32.00,0.00,-22649.00
1953:Q2,1418.00,0.00,1418.00,0.00,1418.00,0.00,23939.00,1506.00,58.00,0.00,1448.00,0.00,0.00,22433.00,22463.00,-30.00,0.00,-22521.00
1953:Q3,1439.00,0.00,1439.00,0.00,1439.00,0.00,23659.00,1561.00,92.00,0.00,1469.00,0.00,0.00,22098.00,22128.00,-30.00,0.00,-22220.00
1953:Q4,1367.00,0.00,1367.00,0.00,1367.00,0.00,23458.00,1471.00,61.00,0.00,1410.00,0.00,0.00,21987.00,22030.00,-43.00,0.00,-22091.00
1954:Q1,1323.00,0.00,1323.00,0.00,1323.00,0.00,23358.00,1429.00,70.00,0.00,1359.00,0.00,0.00,21929.00,21965.00,-36.00,0.00,-22035.00
1954:Q2,1303.00,0.00,1303.00,0.00,1303.00,0.00,23330.00,1439.00,100.00,0.00,1339.00,0.00,0.00,21891.00,21927.00,-36.00,0.00,-22027.00
1954:Q3,1175.00,0.00,1175.00,0.00,1175.00,0.00,23038.00,1264.00,53.00,0.00,1211.00,0.00,0.00,21774.00,21810.00,-36.00,0.00,-21863.00
1954:Q4,1185.00,0.00,1185.00,0.00,1185.00,0.00,22978.00,1302.00,80.00,0.00,1222.00,0.00,0.00,21676.00,21713.00,-37.00,0.00,-21793.00
1955:Q1,1141.00,0.00,1141.00,0.00,1141.00,0.00,22904.00,1221.00,44.00,0.00,1177.00,0.00,0.00,21683.00,21719.00,-36.00,0.00,-21763.00
1955:Q2,1121.00,0.00,1121.00,0.00,1121.00,0.00,22851.00,1235.00,52.00,0.00,1183.00,0.00,0.00,21616.00,21678.00,-62.00,0.00,-21730.00
1955:Q3,1108.00,0.00,1108.00,0.00,1108.00,0.00,22853.00,1198.00,61.00,0.00,1137.00,0.00,0.00,21655.00,21684.00,-29.00,0.00,-21745.00
1955:Q4,1044.00,0.00,1044.00,0.00,1044.00,0.00,22797.00,1168.00,63.00,0.00,1105.00,0.00,0.00,21629.00,21690.00,-61.00,0.00,-21753.00
1956:Q1,1048.00,0.00,1048.00,0.00,1048.00,0.00,22813.00,1127.00,49.00,0.00,1078.00,0.00,0.00,21686.00,21716.00,-30.00,0.00,-21765.00
1956:Q2,979.00,0.00,979.00,0.00,979.00,0.00,22847.00,1076.00,69.00,0.00,1007.00,0.00,0.00,21771.00,21799.00,-28.00,0.00,-21868.00
1956:Q3,1052.00,0.00,1052.00,0.00,1052.00,0.00,23084.00,1231.00,148.00,0.00,1083.00,0.00,0.00,21853.00,21884.00,-31.00,0.00,-22032.00
1956:Q4,1608.00,0.00,1608.00,0.00,1608.00,0.00,23666.00,1776.00,109.00,0.00,1667.00,0.00,0.00,21890.00,21949.00,-59.00,0.00,-22058.00
1957:Q1,1588.00,0.00,1588.00,0.00,1588.00,0.00,23994.00,1718.00,100.00,0.00,1618.00,0.00,0.00,22276.00,22306.00,-30.00,0.00,-22406.00
1957:Q2,1649.00,0.00,1649.00,0.00,1649.00,0.00,24381.00,1791.00,109.00,0.00,1682.00,0.00,0.00,22590.00,22623.00,-33.00,0.00,-22732.00
1957:Q3,1898.00,0.00,1898.00,0.00,1898.00,0.00,24657.00,2045.00,124.00,0.00,1921.00,0.00,0.00,22612.00,22635.00,-23.00,0.00,-22759.00
1957:Q4,1975.00,0.00,1975.00,0.00,1975.00,0.00,24832.00,2080.00,76.00,0.00,2004.00,0.00,0.00,22752.00,22781.00,-29.00,0.00,-22857.00
1958:Q1,2042.00,0.00,2042.00,0.00,2042.00,0.00,24529.00,2174.00,93.00,0.00,2081.00,0.00,0.00,22355.00,22394.00,-39.00,0.00,-22487.00
1958:Q2,2084.00,0.00,2084.00,0.00,2084.00,0.00,23496.00,2187.00,56.00,0.00,2131.00,0.00,0.00,21309.00,21356.00,-47.00,0.00,-21412.00
