date,FL713014003.Q,FL713014003.Q,FL313112003.Q,FL713012003.Q,FL903012005.Q
1945:Q4,0.00,0.00,2310.00,4183.00,-1873.00
1946:Q1,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND
1946:Q4,0.00,0.00,2436.00,4406.00,-1970.00
1947:Q1,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND
1947:Q4,0.00,0.00,2408.00,4406.00,-1998.00
1948:Q1,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND
1948:Q4,0.00,0.00,2403.00,4433.00,-2030.00
1949:Q1,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND
1949:Q4,0.00,0.00,2384.00,4442.00,-2058.00
1950:Q1,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND
1950:Q4,0.00,0.00,2374.00,4480.00,-2106.00
1951:Q1,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND
1951:Q4,0.00,0.00,2398.00,4553.00,-2155.00
1952:Q1,0.00,0.00,2413.00,4575.00,-2162.00
1952:Q2,0.00,0.00,2420.00,4598.00,-2178.00
1952:Q3,0.00,0.00,2429.00,4625.00,-2196.00
1952:Q4,0.00,0.00,2435.00,4656.00,-2221.00
1953:Q1,0.00,0.00,2438.00,4670.00,-2232.00
1953:Q2,0.00,0.00,2451.00,4698.00,-2247.00
1953:Q3,0.00,0.00,2458.00,4716.00,-2258.00
1953:Q4,0.00,0.00,2469.00,4738.00,-2269.00
1954:Q1,0.00,0.00,2491.00,4779.00,-2288.00
1954:Q2,0.00,0.00,2501.00,4803.00,-2302.00
1954:Q3,0.00,0.00,2503.00,4815.00,-2312.00
1954:Q4,0.00,0.00,2505.00,4829.00,-2324.00
1955:Q1,0.00,0.00,2508.00,4841.00,-2333.00
1955:Q2,0.00,0.00,2507.00,4846.00,-2339.00
1955:Q3,0.00,0.00,2507.00,4850.00,-2343.00
1955:Q4,0.00,0.00,2507.00,4852.00,-2345.00
1956:Q1,0.00,0.00,2509.00,4859.00,-2350.00
1956:Q2,0.00,0.00,2512.00,4876.00,-2364.00
1956:Q3,0.00,0.00,2517.00,4890.00,-2373.00
1956:Q4,0.00,0.00,2526.00,4910.00,-2384.00
1957:Q1,0.00,0.00,2533.00,4929.00,-2396.00
1957:Q2,0.00,0.00,2544.00,4951.00,-2407.00
1957:Q3,0.00,0.00,2552.00,4970.00,-2418.00
1957:Q4,0.00,0.00,2562.00,4990.00,-2428.00
1958:Q1,0.00,0.00,2578.00,5026.00,-2448.00
1958:Q2,0.00,0.00,2590.00,5047.00,-2457.00
1958:Q3,0.00,0.00,2593.00,5063.00,-2470.00
