date,FL794110005.Q,FL714110005.Q,FL764110005.Q,FL754110005.Q,FL744110005.Q,FL474110005.Q,FL894010005.Q,FL714010005.Q,FL763020005.Q,FL753020005.Q,FL473013003.Q,FL264016005.Q,FL904010005.Q,FL703025005.Q,FL763025000.Q,FL753025003.Q,FL713113003.Q,FL763013005.Q,FL753013003.Q,FL473013003.Q,FL714010005.Q,FL714010005.Q,FL713022003.Q,FL713068705.Q,FL764116205.Q,FL763192605.Q,FL763092605.Q,FL754116205.Q,FL753192605.Q,FL753092605.Q,FL264116205.Q,FL764016205.Q,FL754016205.Q,FL264035125.Q,FL274135123.Q,FL284135125.Q,FL264016005.Q,FL764112005.Q,FL764112205.Q,FL754012205.Q,FL743020003.Q,FL474012205.Q,FL754112205.Q,FL904010005.Q
1945:Q4,18507.00,17784.00,1031.00,58.00,-182.00,-184.00,18986.00,780.00,17784.00,0.00,0.00,422.00,-479.00,1869.00,1869.00,0.00,15915.00,15915.00,0.00,0.00,780.00,780.00,578.00,202.00,411.00,411.00,0.00,56.00,106.00,50.00,45.00,41.00,4.00,0.00,0.00,0.00,422.00,-119.00,-100.00,13.00,182.00,184.00,19.00,-479.00
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,18045.00,18185.00,122.00,102.00,-161.00,-203.00,19022.00,596.00,18185.00,0.00,0.00,241.00,-977.00,2046.00,2046.00,0.00,16139.00,16139.00,0.00,0.00,596.00,596.00,580.00,16.00,195.00,195.00,0.00,119.00,177.00,58.00,73.00,70.00,3.00,0.00,0.00,0.00,241.00,-599.00,-593.00,20.00,161.00,203.00,6.00,-977.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,20166.00,20115.00,179.00,225.00,-159.00,-194.00,21018.00,569.00,20115.00,0.00,0.00,334.00,-852.00,2216.00,2216.00,0.00,17899.00,17899.00,0.00,0.00,569.00,569.00,535.00,34.00,250.00,250.00,0.00,244.00,310.00,66.00,160.00,156.00,4.00,0.00,0.00,0.00,334.00,-484.00,-471.00,28.00,159.00,194.00,13.00,-852.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
