date,FL793120005.Q,FL713120005.Q,FL713123005.Q,FL713124003.Q,FL713122605.Q,FL713125005.Q,FL763127005.Q,FL763123005.Q,FL763122605.Q,FL763129205.Q,FL753127005.Q,FL753122603.Q,FL753129205.Q,FL743127003.Q,FL473127003.Q,FL793120005.Q,FL153020005.Q,FL143020005.Q,FL103020005.Q,FL113020005.Q,FL313020005.Q,FL213020005.Q,FL793020005.Q,FL513020003.Q,FL543020005.Q,FL573020005.Q,FL223020043.Q,FL633020000.Q,FL403020005.Q,FL613020003.Q,FL643020005.Q,FL663020003.Q,FL263020005.Q,FL263027003.Q,FL263025003.Q,FL903020005.Q
1945:Q4,133687.00,31114.00,3264.00,0.00,1204.00,26646.00,101444.00,24510.00,1389.00,75545.00,215.00,84.00,131.00,914.00,0.00,133687.00,55366.00,36100.00,19111.47,16988.53,26937.00,3715.00,2662.00,661.00,780.00,81.00,69.00,0.00,91.00,479.00,0.00,501.00,2677.00,2677.00,0.00,6230.00
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,119110.00,30377.00,2665.00,0.00,806.00,26906.00,87683.00,2989.00,1416.00,83278.00,152.00,58.00,94.00,898.00,0.00,119110.00,60564.00,37259.00,19666.00,17593.00,4214.00,4582.00,3098.00,850.00,774.00,101.00,77.00,0.00,93.00,473.00,0.00,730.00,2280.00,2280.00,0.00,7113.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,120215.00,29290.00,2206.00,0.00,432.00,26652.00,89926.00,1343.00,1224.00,87359.00,138.00,62.00,76.00,861.00,0.00,120215.00,60444.00,39364.00,21594.00,17770.00,3662.00,5315.00,3413.00,1032.00,1020.00,131.00,85.00,0.00,90.00,426.00,0.00,629.00,1718.00,1718.00,0.00,6299.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,119633.00,29353.00,2448.00,0.00,659.00,26246.00,89377.00,2338.00,1502.00,85537.00,111.00,38.00,73.00,792.00,0.00,119633.00,58083.00,39290.00,22014.00,17276.00,4847.00,5808.00,3433.00,1074.00,915.00,161.00,91.00,0.00,77.00,557.00,0.00,558.00,2199.00,2199.00,0.00,5973.00
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
