date,FL703130005.Q,FL703131005.Q,FL763131005.Q,FL753131005.Q,FL743131005.Q,FL473131005.Q,FL703135005.Q,FL763135005.Q,FL753135005.Q,FL743135005.Q,FL473135003.Q,FL703130005.Q,FL153030005.Q,FL143030005.Q,FL103030003.Q,FL113030003.Q,FL313030003.Q,FL213030005.Q,FL793030005.Q,FL573030005.Q,FL223030045.Q,FL633030000.Q,FL403030005.Q,FL613030003.Q,FL733030003.Q,FL263030005.Q
1945:Q4,53501.00,50276.00,49904.00,6.00,0.00,366.00,3225.00,3170.00,55.00,0.00,0.00,53501.00,50230.00,900.00,900.00,0.00,104.00,529.00,160.00,0.00,0.00,0.00,0.00,160.00,0.00,1578.00
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,60036.00,56625.00,56188.00,8.00,0.00,429.00,3411.00,3342.00,69.00,0.00,0.00,60036.00,56568.00,900.00,900.00,0.00,120.00,708.00,158.00,0.00,0.00,0.00,0.00,158.00,0.00,1582.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,63631.00,60038.00,59522.00,6.00,0.00,510.00,3593.00,3542.00,51.00,0.00,0.00,63631.00,60047.00,900.00,900.00,0.00,111.00,867.00,142.00,0.00,0.00,0.00,0.00,142.00,0.00,1564.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,66174.00,62249.00,61641.00,5.00,0.00,603.00,3925.00,3880.00,45.00,0.00,0.00,66174.00,62248.00,900.00,900.00,0.00,117.00,1138.00,186.00,0.00,0.00,0.00,0.00,186.00,0.00,1585.00
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,69155.00,64868.00,64160.00,7.00,0.00,701.00,4287.00,4221.00,66.00,0.00,0.00,69155.00,64842.00,900.00,900.00,0.00,182.00,1290.00,214.00,0.00,0.00,0.00,0.00,214.00,0.00,1727.00
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,71898.00,67331.00,66472.00,9.00,0.00,850.00,4567.00,4483.00,84.00,0.00,0.00,71898.00,67207.00,900.00,900.00,0.00,190.00,1391.00,256.00,0.00,0.00,0.00,0.00,256.00,0.00,1954.00
