date,FL894122005.Q,FL893169175.Q,FL313161105.Q,FL893161705.Q,FL383162005.Q,FL893163005.Q,FL894122005.Q,FL384122005.Q,FL163162003.Q,FL104122005.Q,FL314122005.Q,FL213162005.Q,FL794122005.Q,FL764122005.Q,FL753169603.Q,FL403161705.Q,FL413065005.Q,FL674122005.Q,FL614122005.Q,FL644122005.Q,FL663163003.Q,FL734122005.Q,FL504122005.Q,FL264122005.Q,FL894122005.Q,FL384022005.Q,FL154022005.Q,FL104022005.Q,FL114022005.Q,FL314022005.Q,FL214022005.Q,FL794022005.Q,FL714022005.Q,FL764022005.Q,FL754022005.Q,FL744022003.Q,FL474022005.Q,FL514022005.Q,FL544022005.Q,FL574022005.Q,FL344022005.Q,FL224022045.Q,FL634022005.Q,LM654022005.Q,LM554022005.Q,LM564022005.Q,FL404022005.Q,FL674022005.Q,FL613063003.Q,FL644022005.Q,FL664022005.Q,FL734022605.Q,FL504022005.Q,FL264022005.Q
1945:Q4,294652.00,315.00,254077.00,1181.00,12130.00,26949.00,294652.00,290515.00,0.00,24000.00,254385.00,12130.00,1224.00,125.00,31.00,873.00,0.00,0.00,195.00,0.00,0.00,0.00,0.00,2913.00,294652.00,105127.00,78843.00,18760.00,0.00,0.00,7524.00,186406.00,24262.00,112424.00,269.00,618.00,50.00,3438.00,32611.00,3851.00,2903.00,2508.00,0.00,187.00,194.00,0.00,351.00,0.00,0.00,0.00,2715.00,0.00,25.00,3119.00
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,273118.00,573.00,231201.00,1273.00,12199.00,27872.00,273118.00,268500.00,0.00,24995.00,231306.00,12199.00,1797.00,183.00,46.00,1168.00,0.00,0.00,400.00,0.00,0.00,0.00,0.00,2821.00,273118.00,96465.00,76574.00,13124.00,0.00,0.00,6767.00,174266.00,23350.00,98066.00,252.00,566.00,50.00,4032.00,35354.00,4100.00,3273.00,2766.00,0.00,219.00,200.00,0.00,356.00,0.00,0.00,0.00,1648.00,0.00,34.00,2387.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,271552.00,765.00,224830.00,1352.00,13810.00,30795.00,271552.00,266551.00,0.00,27843.00,224898.00,13810.00,2201.00,211.00,53.00,1284.00,0.00,0.00,653.00,0.00,0.00,0.00,0.00,2800.00,271552.00,96630.00,76418.00,12770.00,0.00,0.00,7442.00,171878.00,22559.00,93721.00,251.00,461.00,65.00,4764.00,36774.00,4351.00,4096.00,3087.00,0.00,224.00,260.00,0.00,325.00,0.00,0.00,0.00,905.00,0.00,35.00,3044.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
