date,FL893169175.Q,FL893169105.Q,FL103169100.Q,FL263169105.Q,FL263169110.Q,FL263169123.Q,FL793169100.Q,FL763169103.Q,FL673169105.Q,FL613169100.Q,FL643169173.Q,FL733169103.Q,FL503169105.Q,FL703169605.Q,FL763169603.Q,FL753169603.Q,FL893169175.Q,FL163069103.Q,FL103069100.Q,FL213069103.Q,FL713069603.Q,FL763069175.Q,FL753069603.Q,FL473069153.Q,FL513069103.Q,FL543069105.Q,FL573069105.Q,FL223069143.Q,FL633069175.Q,LM653069100.Q,FL403069105.Q,FL663069103.Q,FL503069105.Q,LM263069103.Q
1945:Q4,315.00,159.00,95.00,0.00,0.00,0.00,64.00,0.00,0.00,64.00,0.00,0.00,0.00,156.00,125.00,31.00,315.00,0.00,0.00,0.00,0.00,210.00,13.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,25.00,42.00
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,573.00,344.00,137.00,0.00,0.00,0.00,207.00,0.00,0.00,207.00,0.00,0.00,0.00,229.00,183.00,46.00,573.00,85.00,32.00,0.00,0.00,304.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,35.00,0.00,0.00,34.00,58.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,765.00,501.00,172.00,0.00,0.00,0.00,329.00,0.00,0.00,329.00,0.00,0.00,0.00,264.00,211.00,53.00,765.00,103.00,129.00,0.00,0.00,366.00,32.00,0.00,0.00,0.00,0.00,0.00,0.00,36.00,0.00,0.00,35.00,64.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,936.00,674.00,166.00,0.00,0.00,0.00,508.00,0.00,0.00,508.00,0.00,0.00,0.00,262.00,210.00,52.00,936.00,234.00,180.00,0.00,0.00,298.00,42.00,0.00,0.00,0.00,0.00,0.00,0.00,35.00,0.00,0.00,34.00,113.00
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,1113.00,838.00,162.00,0.00,0.00,0.00,676.00,0.00,0.00,676.00,0.00,0.00,0.00,275.00,220.00,55.00,1113.00,304.00,265.00,0.00,0.00,261.00,56.00,0.00,0.00,0.00,0.00,0.00,0.00,42.00,0.00,0.00,41.00,144.00
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,1319.00,921.00,207.00,0.00,0.00,0.00,714.00,0.00,0.00,714.00,0.00,0.00,0.00,398.00,318.00,80.00,1319.00,442.00,143.00,0.00,0.00,368.00,66.00,0.00,0.00,0.00,0.00,0.00,0.00,49.00,0.00,0.00,49.00,202.00
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,1828.00,1333.00,269.00,0.00,0.00,0.00,1064.00,0.00,0.00,1064.00,0.00,0.00,0.00,495.00,396.00,99.00,1828.00,791.00,90.00,0.00,0.00,427.00,84.00,0.00,0.00,0.00,0.00,0.00,0.00,72.00,0.00,0.00,71.00,293.00
