date,FL313161105.Q,FL313161205.Q,FL313161113.Q,FL313161275.Q,FL313161283.Q,FL313161305.Q,FL313161400.Q,FL213061120.Q,FL343061123.Q,FL343061145.Q,FL313161375.Q,FL893061105.Q,FL153061105.Q,FL313161400.Q,FL153061185.Q,FL103061103.Q,FL113061003.Q,FL213061105.Q,FL213061120.Q,FL213061103.Q,FL713061100.Q,FL713061113.Q,FL713061125.Q,FL763061100.Q,FL753061103.Q,FL743061103.Q,FL473061105.Q,LM513061103.Q,LM513061113.Q,LM513061125.Q,LM543061105.Q,LM543061113.Q,LM543061125.Q,FL573061105.Q,FL573061143.Q,FL573061133.Q,FL343061105.Q,FL343061165.Q,FL343061155.Q,FL223061143.Q,FL633061105.Q,FL633061110.Q,FL633061120.Q,LM653061105.Q,LM653061113.Q,LM653061125.Q,LM553061103.Q,LM563061103.Q,FL403061105.Q,FL673061103.Q,FL663061105.Q,FL733061103.Q,LM263061105.Q,LM263061110.Q,LM263061120.Q
1945:Q4,254077.00,208239.00,55192.00,153047.00,0.00,45838.00,42935.00,0.00,0.00,2903.00,0.00,254077.00,66517.00,42935.00,23582.00,18508.00,0.00,5531.00,0.00,5531.00,24262.00,21195.00,3067.00,103721.00,236.00,599.00,50.00,2700.00,0.00,2700.00,20589.00,0.00,20589.00,2051.00,1538.00,513.00,2903.00,2903.00,0.00,1519.00,0.00,0.00,0.00,36.00,0.00,36.00,49.00,0.00,351.00,0.00,1881.00,0.00,2574.00,0.00,2574.00
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,231201.00,183777.00,47020.00,136757.00,0.00,47424.00,44151.00,0.00,0.00,3273.00,0.00,231201.00,65127.00,44151.00,20976.00,12779.00,0.00,5179.00,0.00,5179.00,23350.00,22241.00,1109.00,88563.00,192.00,534.00,50.00,3294.00,0.00,3294.00,21635.00,0.00,21635.00,2100.00,1575.00,525.00,3273.00,3273.00,0.00,1671.00,0.00,0.00,0.00,31.00,0.00,31.00,50.00,0.00,356.00,0.00,917.00,0.00,2100.00,0.00,2100.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,224830.00,174498.00,36356.00,138142.00,0.00,50332.00,46236.00,0.00,0.00,4096.00,0.00,224830.00,65065.00,46236.00,18829.00,12291.00,0.00,5890.00,0.00,5890.00,22559.00,18230.00,4329.00,82927.00,168.00,438.00,65.00,3885.00,0.00,3885.00,20040.00,0.00,20040.00,2151.00,1613.00,538.00,4096.00,4096.00,0.00,1860.00,0.00,0.00,0.00,43.00,0.00,43.00,65.00,0.00,325.00,0.00,262.00,0.00,2700.00,0.00,2700.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,219097.00,166341.00,38749.00,127592.00,0.00,52756.00,47837.00,0.00,0.00,4919.00,0.00,219097.00,65817.00,47837.00,17980.00,12853.00,0.00,6277.00,0.00,6277.00,23333.00,11565.00,11768.00,75561.00,191.00,365.00,75.00,4413.00,0.00,4413.00,16812.00,0.00,16812.00,2200.00,1650.00,550.00,4919.00,4919.00,0.00,2073.00,0.00,0.00,0.00,65.00,0.00,65.00,70.00,0.00,453.00,0.00,820.00,0.00,2800.00,0.00,2800.00
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,222625.00,167366.00,41955.00,125411.00,0.00,55259.00,49300.00,0.00,0.00,5959.00,0.00,222625.00,67256.00,49300.00,17956.00,14697.00,0.00,6343.00,0.00,6343.00,18885.00,11104.00,7781.00,79894.00,265.00,321.00,82.00,4826.00,0.00,4826.00,15298.00,0.00,15298.00,2300.00,1725.00,575.00,5959.00,5959.00,0.00,2257.00,0.00,0.00,0.00,104.00,0.00,104.00,85.00,0.00,450.00,0.00,703.00,0.00,2900.00,0.00,2900.00
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
