date,FL893163005.Q,FL103163003.Q,FL793163005.Q,FL763163005.Q,FL673163005.Q,FL613163005.Q,FL643163005.Q,FL663163003.Q,FL733163003.Q,FL503163005.Q,LM263163005.Q,FL893163005.Q,FL153063005.Q,FL313063763.Q,FL213063003.Q,FL763063005.Q,FL763063605.Q,FL763063095.Q,FL753063005.Q,FL743063005.Q,FL473063005.Q,FL473063605.Q,FL473063095.Q,LM513063003.Q,LM513063603.Q,LM513063095.Q,LM543063005.Q,LM543063673.Q,LM543063095.Q,FL573063005.Q,FL343063005.Q,FL223063045.Q,FL633063003.Q,LM653063005.Q,LM553063003.Q,LM563063003.Q,FL403063005.Q,FL403063605.Q,FL403063095.Q,FL613063003.Q,FL643063005.Q,FL663063005.Q,FL733063003.Q,FL503063005.Q,LM263063005.Q,LM263063603.Q,LM263063095.Q
1945:Q4,26949.00,23905.00,131.00,0.00,0.00,131.00,0.00,0.00,0.00,0.00,2913.00,26949.00,8396.00,0.00,0.00,3544.00,0.00,3544.00,12.00,0.00,0.00,0.00,0.00,489.00,0.00,489.00,11300.00,0.00,11300.00,1800.00,0.00,140.00,0.00,126.00,145.00,0.00,0.00,0.00,0.00,0.00,0.00,494.00,0.00,0.00,503.00,0.00,503.00
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,27872.00,24858.00,193.00,0.00,0.00,193.00,0.00,0.00,0.00,0.00,2821.00,27872.00,7452.00,0.00,0.00,3695.00,0.00,3695.00,21.00,15.00,0.00,0.00,0.00,501.00,0.00,501.00,13105.00,0.00,13105.00,2000.00,0.00,160.00,0.00,153.00,150.00,0.00,0.00,0.00,0.00,0.00,0.00,391.00,0.00,0.00,229.00,0.00,229.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,30795.00,27671.00,324.00,0.00,0.00,324.00,0.00,0.00,0.00,0.00,2800.00,30795.00,6644.00,0.00,0.00,4017.00,0.00,4017.00,31.00,4.00,0.00,0.00,0.00,564.00,0.00,564.00,16125.00,0.00,16125.00,2200.00,0.00,190.00,0.00,145.00,195.00,0.00,0.00,0.00,0.00,0.00,0.00,400.00,0.00,0.00,280.00,0.00,280.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
