date,FL894123005.Q,FL793068005.Q,FL893169005.Q,FL893065005.Q,FL893065105.Q,FL893065405.Q,FL893065505.Q,FL893065603.Q,FL153166000.Q,FL894123005.Q,FL384123005.Q,FL154123005.Q,FL104123005.Q,FL114123005.Q,FL313165403.Q,FL213169203.Q,FL794123005.Q,FL763169305.Q,FL473169333.Q,FL513169333.Q,FL543169373.Q,FL403169283.Q,FL614123005.Q,FL644123005.Q,FL664123005.Q,FL733168003.Q,FL504123005.Q,FL264123005.Q,FL894123005.Q,FL384023005.Q,FL154023005.Q,FL104023005.Q,FL114023005.Q,FL314023005.Q,FL213065005.Q,FL794023005.Q,FL713068005.Q,FL764023005.Q,FL754023005.Q,FL744023003.Q,FL474023000.Q,FL513065503.Q,FL544023005.Q,FL573065005.Q,FL223065043.Q,FL653069803.Q,FL404023005.Q,FL413065005.Q,FL674023005.Q,FL614023005.Q,FL643065005.Q,FL663069005.Q,FL733069005.Q,FL503069805.Q,FL263069500.Q
1945:Q4,69109.00,14601.00,11855.00,35853.00,18706.00,4922.00,7465.00,4760.00,6800.00,69109.00,61887.00,29442.00,20652.67,11287.33,0.00,505.00,4468.00,205.00,0.00,0.00,0.00,0.00,287.00,0.00,3976.00,0.00,0.00,2754.00,69109.00,22107.00,12883.00,2799.00,579.00,5846.00,0.00,47002.00,49.00,31423.00,120.00,14.00,132.00,56.00,8598.00,0.00,18.00,0.00,1697.00,0.00,0.00,3643.00,0.00,1252.00,0.00,0.00,0.00
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,84404.00,18146.00,14449.00,42032.00,23100.00,5270.00,8765.00,4897.00,9777.00,84404.00,75464.00,36067.00,24894.00,14019.00,0.00,484.00,3448.00,301.00,0.00,0.00,0.00,0.00,781.00,0.00,2366.00,0.00,0.00,5492.00,84404.00,27080.00,14444.00,3331.00,669.00,8611.00,25.00,57324.00,148.00,40962.00,210.00,27.00,186.00,61.00,9049.00,22.00,21.00,0.00,1771.00,0.00,0.00,4273.00,0.00,594.00,0.00,0.00,0.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,102682.00,21571.00,18615.00,49198.00,28267.00,5787.00,10080.00,5064.00,13298.00,102682.00,90134.00,44913.00,28937.00,15781.00,0.00,503.00,3059.00,432.00,0.00,0.00,0.00,0.00,1045.00,0.00,1582.00,0.00,0.00,9489.00,102682.00,33273.00,15730.00,4135.00,781.00,12577.00,50.00,69409.00,52.00,50425.00,270.00,44.00,275.00,69.00,10612.00,42.00,25.00,0.00,1997.00,0.00,0.00,4962.00,0.00,636.00,0.00,0.00,0.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,116858.00,23591.00,20367.00,56568.00,33422.00,6662.00,11196.00,5288.00,16332.00,116858.00,101827.00,53423.00,30674.00,17157.00,0.00,573.00,4208.00,509.00,0.00,0.00,0.00,0.00,1631.00,0.00,2068.00,0.00,0.00,10823.00,116858.00,36803.00,16922.00,4935.00,902.00,13940.00,104.00,80055.00,191.00,57266.00,328.00,84.00,380.00,76.00,12890.00,62.00,35.00,0.00,2226.00,4.00,0.00,5908.00,0.00,605.00,0.00,0.00,0.00
