date,FL793068005.Q,FL153168005.Q,FL103168005.Q,FL113168005.Q,FL793168005.Q,FL613168000.Q,FL643168005.Q,FL663168005.Q,FL733168003.Q,FL713068505.Q,FL263168005.Q,FL263168465.Q,FL263168475.Q,FL263168485.Q,FL793068005.Q,FL713068005.Q,FL763068005.Q,FL753068005.Q,FL743068005.Q,FL473068005.Q
1945:Q4,14601.00,290.00,8912.32,1340.68,3569.00,287.00,0.00,3282.00,0.00,0.00,489.00,36.00,147.00,306.00,14601.00,49.00,14463.00,89.00,0.00,0.00
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,18146.00,174.00,12505.00,2231.00,2414.00,781.00,0.00,1633.00,0.00,0.00,822.00,49.00,490.00,283.00,18146.00,148.00,17833.00,165.00,0.00,0.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,21571.00,156.00,15574.00,2882.00,1967.00,1045.00,0.00,922.00,0.00,0.00,992.00,100.00,385.00,507.00,21571.00,52.00,21301.00,218.00,0.00,0.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
