date,FL893169005.Q,FL313069205.Q,FL153169203.Q,FL103169205.Q,FL113169205.Q,FL213169203.Q,FL403169283.Q,FL313069223.Q,FL503169205.Q,FL263169205.Q,FL263069500.Q,FL263069500.Q,FL763069703.Q,FL753069703.Q,FL103169705.Q,FL263169705.Q,FL733069005.Q,FL733069013.Q,FL733069023.Q,FL153169405.Q,FL313069403.Q,FL543069405.Q,FL403069330.Q,FL763169335.Q,FL473169333.Q,FL513169333.Q,FL543169373.Q,FL613169333.Q,FL643169373.Q,FL403069395.Q,FL153169305.Q,FL183169305.Q,FL113169305.Q,FL763169383.Q,FL673069505.Q,FL673069505.Q,FL613069500.Q,FL103169535.Q,FL113169535.Q,FL663067003.Q,FL663067003.Q,FL153067005.Q,FL153067005.Q,FL103169803.Q,FL153069803.Q,FL543069873.Q,FL653069803.Q,FL673069803.Q,FL663069803.Q,FL503069805.Q
1945:Q4,11855.00,4346.00,0.00,656.54,939.46,505.00,0.00,0.00,0.00,2245.00,0.00,0.00,123.00,31.00,134.00,20.00,0.00,0.00,0.00,2078.00,116.00,1962.00,205.00,205.00,0.00,0.00,0.00,0.00,0.00,457.00,0.00,6.83,450.17,0.00,0.00,0.00,2669.00,2402.10,266.90,1252.00,1252.00,694.00,694.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,14449.00,7459.00,0.00,501.00,1840.00,484.00,0.00,0.00,0.00,4634.00,0.00,0.00,182.00,45.00,191.00,36.00,0.00,0.00,0.00,2008.00,114.00,1894.00,301.00,301.00,0.00,0.00,0.00,0.00,0.00,511.00,0.00,8.00,503.00,0.00,0.00,0.00,2616.00,2354.00,262.00,594.00,594.00,733.00,733.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,18615.00,11519.00,0.00,531.00,2062.00,503.00,0.00,0.00,0.00,8423.00,0.00,0.00,209.00,52.00,187.00,74.00,0.00,0.00,0.00,2050.00,113.00,1937.00,432.00,432.00,0.00,0.00,0.00,0.00,0.00,678.00,0.00,10.00,668.00,0.00,0.00,0.00,2379.00,2141.00,238.00,636.00,636.00,660.00,660.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
