date,FL893065005.Q,FL893065105.Q,FL893065405.Q,FL893065505.Q,FL893065603.Q,FL893065005.Q,FL153165005.Q,FL143165005.Q,FL103165005.Q,FL113165005.Q,FL313165403.Q,FL643165005.Q,FL893065005.Q,FL153065005.Q,FL103065003.Q,FL113065005.Q,FL313065005.Q,FL213065005.Q,FL763065005.Q,FL753065005.Q,FL743065003.Q,FL473065100.Q,FL513065503.Q,FL543065005.Q,FL573065005.Q,FL223065043.Q,FL403065005.Q,FL413065005.Q,FL673065005.Q,FL613065000.Q,FL643065005.Q
1945:Q4,35853.00,18706.00,4922.00,7465.00,4760.00,35853.00,19022.00,16831.00,8540.88,8290.12,0.00,0.00,35853.00,12189.00,5.00,0.00,1384.00,0.00,14336.00,0.00,14.00,116.00,56.00,6636.00,0.00,18.00,1035.00,0.00,0.00,64.00,0.00
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,42032.00,23100.00,5270.00,8765.00,4897.00,42032.00,23514.00,18518.00,9335.00,9183.00,0.00,0.00,42032.00,13711.00,10.00,0.00,1038.00,25.00,18683.00,0.00,27.00,157.00,61.00,7155.00,22.00,21.00,959.00,0.00,0.00,163.00,0.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,49198.00,28267.00,5787.00,10080.00,5064.00,49198.00,28773.00,20425.00,10495.00,9930.00,0.00,0.00,49198.00,15070.00,16.00,0.00,945.00,50.00,22926.00,0.00,44.00,225.00,69.00,8675.00,42.00,25.00,887.00,0.00,0.00,224.00,0.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,56568.00,33422.00,6662.00,11196.00,5288.00,56568.00,34143.00,22425.00,11535.00,10890.00,0.00,0.00,56568.00,16268.00,30.00,0.00,991.00,104.00,26694.00,0.00,84.00,302.00,76.00,10833.00,62.00,35.00,872.00,4.00,0.00,213.00,0.00
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,63027.00,37754.00,7829.00,11865.00,5579.00,63027.00,38720.00,24307.00,12181.00,12126.00,0.00,0.00,63027.00,16993.00,24.00,0.00,1456.00,185.00,29598.00,0.00,93.00,345.00,93.00,12906.00,82.00,52.00,905.00,7.00,0.00,288.00,0.00
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,73206.00,45348.00,9301.00,12486.00,6071.00,73206.00,46614.00,26592.00,12634.00,13958.00,0.00,0.00,73206.00,17689.00,23.00,0.00,1773.00,237.00,35147.00,0.00,114.00,402.00,104.00,16102.00,102.00,75.00,952.00,32.00,0.00,454.00,0.00
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,82573.00,51792.00,10642.00,13488.00,6651.00,82573.00,53361.00,29212.00,13229.00,15983.00,0.00,0.00,82573.00,18623.00,26.00,0.00,2303.00,306.00,39702.00,0.00,142.00,405.00,118.00,19314.00,120.00,105.00,1010.00,43.00,0.00,356.00,0.00
1952:Q1,84496.00,53149.00,10820.00,13713.00,6814.00,84496.00,54768.00,29728.00,13386.00,16342.00,0.00,0.00,84496.00,18652.00,27.00,0.00,2649.00,334.00,40535.00,0.00,145.00,357.00,120.00,19889.00,126.00,113.00,1028.00,45.00,0.00,476.00,0.00
1952:Q2,86865.00,54880.00,11037.00,13927.00,7021.00,86865.00,56575.00,30290.00,13260.00,17030.00,0.00,0.00,86865.00,18913.00,28.00,0.00,2685.00,359.00,42000.00,0.00,146.00,404.00,121.00,20349.00,133.00,122.00,1046.00,47.00,0.00,512.00,0.00
1952:Q3,89291.00,56721.00,11275.00,14161.00,7134.00,89291.00,58492.00,30799.00,13250.00,17549.00,0.00,0.00,89291.00,19126.00,29.00,0.00,2751.00,385.00,43599.00,0.00,147.00,360.00,122.00,20812.00,141.00,131.00,1068.00,50.00,0.00,570.00,0.00
1952:Q4,91600.00,58486.00,11481.00,14397.00,7236.00,91600.00,60322.00,31278.00,13464.00,17814.00,0.00,0.00,91600.00,19289.00,30.00,0.00,2933.00,409.00,44996.00,0.00,147.00,390.00,123.00,21251.00,149.00,141.00,1091.00,53.00,0.00,598.00,0.00
1953:Q1,93716.00,60073.00,11587.00,14660.00,7396.00,93716.00,61986.00,31730.00,13756.00,17974.00,0.00,0.00,93716.00,19619.00,31.00,0.00,3118.00,430.00,46148.00,0.00,148.00,395.00,125.00,21741.00,159.00,152.00,1114.00,55.00,0.00,481.00,0.00
1953:Q2,96585.00,62293.00,11766.00,14939.00,7587.00,96585.00,64280.00,32305.00,13696.00,18609.00,0.00,0.00,96585.00,19886.00,32.00,0.00,3267.00,451.00,47918.00,0.00,150.00,428.00,129.00,22253.00,170.00,163.00,1136.00,56.00,0.00,546.00,0.00
