date,FL893065105.Q,FL153165105.Q,FL103165105.Q,FL113165105.Q,FL893065105.Q,FL153065103.Q,FL103065105.Q,FL113065103.Q,FL313065105.Q,FL213065103.Q,FL763065105.Q,FL753065103.Q,FL743065103.Q,FL473065100.Q,FL543065105.Q,FL573065103.Q,FL223065143.Q,FL403065105.Q,FL413065105.Q,FL673065105.Q,FL613065105.Q,FL643065105.Q,FL893065125.Q,FL763065125.Q,FL753065203.Q,FL473065125.Q,FL673065123.Q,FL613065123.Q
1945:Q4,18706.00,18706.00,0.00,0.00,18706.00,5391.00,0.00,0.00,894.00,0.00,9931.00,0.00,9.00,116.00,2306.00,0.00,7.00,0.00,0.00,0.00,52.00,0.00,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,23100.00,23100.00,0.00,0.00,23100.00,6191.00,0.00,0.00,666.00,25.00,13349.00,0.00,17.00,157.00,2545.00,8.00,9.00,0.00,0.00,0.00,133.00,0.00,ND,ND,ND,ND,ND,ND
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,28267.00,28267.00,0.00,0.00,28267.00,6757.00,0.00,0.00,625.00,50.00,16872.00,0.00,28.00,225.00,3497.00,16.00,11.00,0.00,0.00,0.00,186.00,0.00,ND,ND,ND,ND,ND,ND
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,33422.00,33422.00,0.00,0.00,33422.00,7274.00,0.00,0.00,710.00,100.00,19821.00,0.00,54.00,302.00,4943.00,25.00,16.00,0.00,0.00,0.00,177.00,0.00,ND,ND,ND,ND,ND,ND
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,37754.00,37754.00,0.00,0.00,37754.00,7470.00,0.00,0.00,1175.00,175.00,22130.00,0.00,69.00,345.00,6093.00,33.00,25.00,0.00,0.00,0.00,239.00,0.00,ND,ND,ND,ND,ND,ND
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,45348.00,45348.00,0.00,0.00,45348.00,7690.00,0.00,0.00,1468.00,221.00,26541.00,0.00,91.00,402.00,8478.00,43.00,37.00,0.00,0.00,0.00,377.00,0.00,ND,ND,ND,ND,ND,ND
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,51792.00,51792.00,0.00,0.00,51792.00,7978.00,0.00,0.00,1988.00,283.00,30013.00,0.00,116.00,405.00,10610.00,51.00,52.00,0.00,0.00,0.00,296.00,0.00,ND,ND,ND,ND,ND,ND
1952:Q1,53149.00,53149.00,0.00,0.00,53149.00,7834.00,0.00,0.00,2279.00,301.00,30805.00,0.00,118.00,357.00,10948.00,54.00,56.00,0.00,0.00,0.00,397.00,0.00,ND,ND,ND,ND,ND,ND
1952:Q2,54880.00,54880.00,0.00,0.00,54880.00,7907.00,0.00,0.00,2303.00,321.00,32072.00,0.00,118.00,404.00,11210.00,57.00,61.00,0.00,0.00,0.00,427.00,0.00,ND,ND,ND,ND,ND,ND
1952:Q3,56721.00,56721.00,0.00,0.00,56721.00,7975.00,0.00,0.00,2351.00,341.00,33485.00,0.00,118.00,360.00,11488.00,61.00,66.00,0.00,0.00,0.00,476.00,0.00,ND,ND,ND,ND,ND,ND
1952:Q4,58486.00,58486.00,0.00,0.00,58486.00,8000.00,0.00,0.00,2523.00,360.00,34702.00,0.00,117.00,390.00,11757.00,65.00,71.00,0.00,0.00,0.00,501.00,0.00,ND,ND,ND,ND,ND,ND
1953:Q1,60073.00,60073.00,0.00,0.00,60073.00,8153.00,0.00,0.00,2681.00,376.00,35706.00,0.00,117.00,395.00,12095.00,69.00,77.00,0.00,0.00,0.00,404.00,0.00,ND,ND,ND,ND,ND,ND
1953:Q2,62293.00,62293.00,0.00,0.00,62293.00,8233.00,0.00,0.00,2800.00,391.00,37267.00,0.00,118.00,428.00,12440.00,74.00,83.00,0.00,0.00,0.00,459.00,0.00,ND,ND,ND,ND,ND,ND
1953:Q3,64272.00,64272.00,0.00,0.00,64272.00,8239.00,0.00,0.00,2840.00,405.00,38769.00,0.00,119.00,386.00,12785.00,80.00,90.00,0.00,0.00,0.00,559.00,0.00,ND,ND,ND,ND,ND,ND
1953:Q4,66003.00,66003.00,0.00,0.00,66003.00,8322.00,0.00,0.00,2770.00,420.00,40085.00,0.00,119.00,383.00,13195.00,85.00,97.00,0.00,0.00,0.00,527.00,0.00,ND,ND,ND,ND,ND,ND
1954:Q1,67416.00,67416.00,0.00,0.00,67416.00,8290.00,0.00,0.00,2731.00,436.00,41182.00,0.00,119.00,361.00,13550.00,90.00,104.00,0.00,0.00,0.00,553.00,0.00,ND,ND,ND,ND,ND,ND
1954:Q2,70234.00,70234.00,0.00,0.00,70234.00,8348.00,0.00,0.00,3244.00,454.00,42830.00,0.00,119.00,456.00,13995.00,95.00,112.00,0.00,0.00,0.00,581.00,0.00,ND,ND,ND,ND,ND,ND
1954:Q3,72336.00,72336.00,0.00,0.00,72336.00,8452.00,0.00,0.00,2689.00,471.00,44821.00,0.00,119.00,416.00,14483.00,100.00,122.00,0.00,0.00,0.00,663.00,0.00,ND,ND,ND,ND,ND,ND
1954:Q4,75356.00,75356.00,0.00,0.00,75356.00,8523.00,0.00,0.00,2770.00,485.00,46938.00,0.00,120.00,407.00,15153.00,107.00,131.00,0.00,0.00,0.00,722.00,0.00,ND,ND,ND,ND,ND,ND
1955:Q1,78237.00,78237.00,0.00,0.00,78237.00,8572.00,0.00,0.00,2860.00,496.00,48892.00,0.00,124.00,505.00,15723.00,116.00,140.00,0.00,0.00,0.00,809.00,0.00,ND,ND,ND,ND,ND,ND
1955:Q2,81697.00,81697.00,0.00,0.00,81697.00,8621.00,0.00,0.00,2919.00,504.00,51484.00,0.00,131.00,543.00,16253.00,125.00,150.00,9.00,0.00,0.00,958.00,0.00,ND,ND,ND,ND,ND,ND
