date,FL893065405.Q,FL103165405.Q,FL113165405.Q,FL313165403.Q,FL643165483.Q,FL893065405.Q,FL153065403.Q,FL103065403.Q,FL113065403.Q,FL313065405.Q,FL213065403.Q,FL763065403.Q,FL753065403.Q,FL543065405.Q,FL573065403.Q,FL223065443.Q,FL403065405.Q,FL413065405.Q,FL673065405.Q,FL613065403.Q,FL643065405.Q
1945:Q4,4922.00,246.10,4675.90,0.00,0.00,4922.00,1393.00,0.00,0.00,8.00,0.00,2105.00,0.00,1400.00,0.00,6.00,0.00,0.00,0.00,10.00,0.00
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,5270.00,264.00,5007.00,0.00,0.00,5270.00,1505.00,0.00,0.00,6.00,0.00,2251.00,0.00,1470.00,7.00,7.00,0.00,0.00,0.00,24.00,0.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,5787.00,289.00,5498.00,0.00,0.00,5787.00,1712.00,0.00,0.00,6.00,0.00,2444.00,0.00,1573.00,13.00,9.00,0.00,0.00,0.00,30.00,0.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,6662.00,333.00,6329.00,0.00,0.00,6662.00,1961.00,0.00,0.00,8.00,0.00,2788.00,0.00,1846.00,19.00,12.00,0.00,0.00,0.00,28.00,0.00
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,7829.00,391.00,7438.00,0.00,0.00,7829.00,2287.00,0.00,0.00,28.00,0.00,3136.00,0.00,2296.00,25.00,18.00,0.00,0.00,0.00,39.00,0.00
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,9301.00,465.00,8836.00,0.00,0.00,9301.00,2605.00,0.00,0.00,40.00,0.00,3921.00,0.00,2615.00,31.00,26.00,0.00,0.00,0.00,63.00,0.00
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,10642.00,532.00,10110.00,0.00,0.00,10642.00,2865.00,0.00,0.00,60.00,0.00,4564.00,0.00,3031.00,37.00,36.00,0.00,0.00,0.00,49.00,0.00
1952:Q1,10820.00,541.00,10279.00,0.00,0.00,10820.00,2983.00,0.00,0.00,65.00,0.00,4519.00,0.00,3111.00,38.00,39.00,0.00,0.00,0.00,65.00,0.00
1952:Q2,11037.00,552.00,10485.00,0.00,0.00,11037.00,3050.00,0.00,0.00,68.00,0.00,4597.00,0.00,3170.00,40.00,42.00,0.00,0.00,0.00,70.00,0.00
1952:Q3,11275.00,564.00,10711.00,0.00,0.00,11275.00,3111.00,0.00,0.00,75.00,0.00,4693.00,0.00,3231.00,43.00,45.00,0.00,0.00,0.00,77.00,0.00
1952:Q4,11481.00,574.00,10907.00,0.00,0.00,11481.00,3175.00,0.00,0.00,74.00,0.00,4771.00,0.00,3288.00,45.00,48.00,0.00,0.00,0.00,80.00,0.00
1953:Q1,11587.00,579.00,11008.00,0.00,0.00,11587.00,3228.00,0.00,0.00,96.00,0.00,4795.00,0.00,3305.00,48.00,52.00,0.00,0.00,0.00,63.00,0.00
1953:Q2,11766.00,588.00,11178.00,0.00,0.00,11766.00,3280.00,0.00,0.00,120.00,0.00,4868.00,0.00,3320.00,51.00,56.00,0.00,0.00,0.00,71.00,0.00
1953:Q3,11934.00,597.00,11337.00,0.00,0.00,11934.00,3326.00,0.00,0.00,159.00,0.00,4919.00,0.00,3332.00,54.00,59.00,0.00,0.00,0.00,85.00,0.00
1953:Q4,12121.00,606.00,11515.00,0.00,0.00,12121.00,3403.00,0.00,0.00,184.00,0.00,4971.00,0.00,3363.00,57.00,64.00,0.00,0.00,0.00,79.00,0.00
1954:Q1,12174.00,609.00,11565.00,0.00,0.00,12174.00,3466.00,0.00,0.00,158.00,0.00,4972.00,0.00,3369.00,60.00,68.00,0.00,0.00,0.00,81.00,0.00
1954:Q2,12312.00,616.00,11696.00,0.00,0.00,12312.00,3535.00,0.00,0.00,183.00,0.00,4999.00,0.00,3376.00,62.00,73.00,0.00,0.00,0.00,84.00,0.00
1954:Q3,12452.00,623.00,11829.00,0.00,0.00,12452.00,3590.00,0.00,0.00,251.00,0.00,4990.00,0.00,3385.00,65.00,78.00,0.00,0.00,0.00,93.00,0.00
1954:Q4,12665.00,633.00,12032.00,0.00,0.00,12665.00,3688.00,0.00,0.00,268.00,0.00,5054.00,0.00,3404.00,69.00,83.00,0.00,0.00,0.00,99.00,0.00
1955:Q1,12782.00,639.00,12143.00,0.00,0.00,12782.00,3776.00,0.00,0.00,295.00,0.00,5005.00,0.00,3436.00,73.00,88.00,0.00,0.00,0.00,109.00,0.00
