date,FL153166000.Q,FL153166000.Q,FL163066223.Q,FL103066005.Q,FL113066003.Q,FL313066220.Q,FL763066000.Q,FL473066000.Q,FL403066005.Q,FL673066000.Q,FL613066005.Q,FL153166100.Q,FL153166400.Q,FL153166220.Q,FL153166205.Q
1945:Q4,6800.00,6800.00,0.00,2794.00,579.00,0.00,2501.00,16.00,0.00,0.00,910.00,0.00,443.00,0.00,6357.00
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,9777.00,9777.00,0.00,3321.00,669.00,0.00,4264.00,29.00,0.00,0.00,1494.00,0.00,968.00,0.00,8809.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,13298.00,13298.00,0.00,4119.00,781.00,0.00,5989.00,50.00,0.00,0.00,2359.00,0.00,1897.00,0.00,11401.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,16332.00,16332.00,0.00,4905.00,902.00,0.00,7241.00,78.00,0.00,0.00,3206.00,0.00,2965.00,0.00,13367.00
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,19374.00,19374.00,0.00,5477.00,966.00,0.00,8467.00,159.00,0.00,0.00,4305.00,0.00,4478.00,0.00,14896.00
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,23947.00,23947.00,0.00,6591.00,1147.00,0.00,10640.00,254.00,0.00,0.00,5315.00,0.00,6015.00,0.00,17932.00
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,25350.00,25350.00,0.00,7215.00,1256.00,0.00,10971.00,307.00,0.00,0.00,5601.00,0.00,5958.00,0.00,19392.00
1952:Q1,24597.00,24597.00,0.00,5589.00,2098.00,0.00,11024.00,378.00,0.00,0.00,5508.00,0.00,5804.00,0.00,18793.00
1952:Q2,26878.00,26878.00,0.00,6144.00,2284.00,0.00,11914.00,419.00,0.00,0.00,6117.00,0.00,6616.00,0.00,20262.00
1952:Q3,27965.00,27965.00,0.00,6247.00,2349.00,0.00,12364.00,535.00,0.00,0.00,6470.00,0.00,6990.00,0.00,20975.00
1952:Q4,30522.00,30522.00,0.00,7051.00,2670.00,0.00,13185.00,559.00,0.00,0.00,7057.00,0.00,7635.00,0.00,22887.00
1953:Q1,30901.00,30901.00,0.00,6380.00,2449.00,0.00,14011.00,620.00,0.00,0.00,7441.00,0.00,8284.00,0.00,22617.00
1953:Q2,32672.00,32672.00,0.00,6745.00,2560.00,0.00,14703.00,691.00,0.00,0.00,7973.00,0.00,9107.00,0.00,23565.00
1953:Q3,33354.00,33354.00,0.00,6665.00,2552.00,0.00,14910.00,822.00,0.00,0.00,8405.00,0.00,9628.00,0.00,23726.00
1953:Q4,34614.00,34614.00,0.00,7309.00,2798.00,0.00,15006.00,877.00,0.00,0.00,8624.00,0.00,9685.00,0.00,24929.00
1954:Q1,32744.00,32744.00,0.00,6421.00,2489.00,0.00,14568.00,926.00,0.00,0.00,8340.00,0.00,9289.00,0.00,23455.00
1954:Q2,34006.00,34006.00,0.00,6830.00,2562.00,0.00,15161.00,919.00,0.00,0.00,8534.00,0.00,9511.00,0.00,24495.00
1954:Q3,34242.00,34242.00,0.00,6758.00,2512.00,0.00,15146.00,1033.00,0.00,0.00,8793.00,0.00,9699.00,0.00,24543.00
1954:Q4,35963.00,35963.00,0.00,7654.00,2799.00,0.00,15364.00,1083.00,0.00,0.00,9063.00,0.00,9747.00,0.00,26216.00
1955:Q1,35702.00,35702.00,0.00,6798.00,2501.00,0.00,15893.00,1036.00,0.00,0.00,9474.00,0.00,10354.00,0.00,25348.00
1955:Q2,38755.00,38755.00,0.00,7358.00,2619.00,0.00,17193.00,1122.00,0.00,0.00,10463.00,0.00,11734.00,0.00,27021.00
1955:Q3,40543.00,40543.00,0.00,7433.00,2613.00,0.00,17856.00,1256.00,0.00,0.00,11385.00,0.00,13035.00,0.00,27508.00
1955:Q4,42949.00,42949.00,0.00,8338.00,2905.00,0.00,18540.00,1328.00,0.00,0.00,11838.00,0.00,13471.00,0.00,29478.00
1956:Q1,42251.00,42251.00,0.00,7456.00,2631.00,0.00,18784.00,1386.00,0.00,0.00,11994.00,0.00,13758.00,0.00,28493.00
1956:Q2,44281.00,44281.00,0.00,7860.00,2732.00,0.00,19979.00,1384.00,0.00,0.00,12326.00,0.00,14275.00,0.00,30006.00
1956:Q3,44978.00,44978.00,0.00,7885.00,2772.00,0.00,20153.00,1554.00,0.00,0.00,12614.00,0.00,14562.00,0.00,30416.00
1956:Q4,46580.00,46580.00,0.00,8647.00,3061.00,0.00,20377.00,1651.00,0.00,0.00,12844.00,0.00,14484.00,0.00,32096.00
1957:Q1,45242.00,45242.00,0.00,7551.00,2748.00,0.00,20526.00,1632.00,0.00,0.00,12785.00,0.00,14506.00,0.00,30736.00
