date,LM893064105.Q,LM883164105.Q,LM103164103.Q,LM103164115.Q,LM103164123.Q,LM793164105.Q,LM793164115.Q,LM793164123.Q,LM263164103.Q,LM893064105.Q,LM153064105.Q,LM313064105.Q,LM213064103.Q,FL713064103.Q,LM763064105.Q,FL753064103.Q,LM513064105.Q,LM543064105.Q,LM573064105.Q,LM343064105.Q,LM223064145.Q,LM653064100.Q,LM553064103.Q,LM563064103.Q,LM663064103.Q,FL503064105.Q,LM263064105.Q,LM883164115.Q,LM883164125.Q,LM883164133.Q,LM883164135.Q,PC073164013.Q
1945:Q4,152852.00,151910.00,103694.00,103694.00,0.00,48216.00,48216.00,0.00,942.00,152852.00,144855.00,0.00,0.00,0.00,166.00,1.00,1760.00,999.00,0.00,0.00,7.00,1033.00,777.00,0.00,554.00,0.00,2700.00,151910.00,0.00,0.00,0.00,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,146656.00,145655.00,97302.00,97302.00,0.00,48353.00,48353.00,0.00,1001.00,146656.00,138515.00,0.00,0.00,0.00,180.00,1.00,1719.00,1249.00,0.00,0.00,8.00,1044.00,800.00,0.00,450.00,0.00,2690.00,145655.00,0.00,0.00,0.00,ND
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,144829.00,143857.00,95116.00,95116.00,0.00,48741.00,48741.00,0.00,972.00,144829.00,136405.00,0.00,0.00,0.00,146.00,1.00,1744.00,1390.00,0.00,0.00,10.00,1153.00,1040.00,0.00,460.00,0.00,2480.00,143857.00,0.00,0.00,0.00,ND
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,144008.00,143064.00,94141.00,94141.00,0.00,48923.00,48923.00,0.00,944.00,144008.00,135486.00,0.00,0.00,0.00,157.00,1.00,1809.00,1428.00,0.00,0.00,13.00,1226.00,1120.00,0.00,463.00,0.00,2305.00,143064.00,0.00,0.00,0.00,ND
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,153784.00,153076.00,103822.00,103822.00,0.00,49254.00,49254.00,0.00,708.00,153784.00,142455.00,0.00,0.00,0.00,157.00,1.00,2224.00,1718.00,0.00,0.00,20.00,2710.00,1360.00,0.00,649.00,0.00,2490.00,153076.00,0.00,0.00,0.00,ND
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,177528.00,176353.00,126681.00,126681.00,0.00,49672.00,49672.00,0.00,1175.00,177528.00,164696.00,0.00,0.00,0.00,181.00,1.00,2587.00,2103.00,0.00,0.00,29.00,2897.00,1600.00,0.00,509.00,0.00,2925.00,176353.00,0.00,0.00,0.00,ND
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,199082.00,197692.00,147629.00,147629.00,0.00,50063.00,50063.00,0.00,1390.00,199082.00,184698.00,0.00,0.00,0.00,227.00,1.00,2911.00,2221.00,275.00,0.00,41.00,2948.00,1760.00,0.00,550.00,0.00,3450.00,197692.00,0.00,0.00,0.00,ND
1952:Q1,202048.00,201685.00,151463.00,151463.00,0.00,50222.00,50222.00,0.00,363.00,202048.00,186383.00,0.00,0.00,0.00,248.00,2.00,2941.00,2236.00,1445.00,0.00,44.00,3034.00,1814.00,0.00,447.00,0.00,3454.00,201685.00,0.00,0.00,0.00,ND
1952:Q2,208759.00,207970.00,157607.00,157607.00,0.00,50363.00,50363.00,0.00,789.00,208759.00,192556.00,0.00,0.00,0.00,276.00,2.00,3040.00,2301.00,1562.00,0.00,47.00,3120.00,1875.00,0.00,441.00,0.00,3539.00,207970.00,0.00,0.00,0.00,ND
1952:Q3,208511.00,207383.00,156907.00,156907.00,0.00,50476.00,50476.00,0.00,1128.00,208511.00,192065.00,0.00,0.00,0.00,289.00,2.00,2977.00,2245.00,1602.00,0.00,49.00,3261.00,1939.00,0.00,648.00,0.00,3434.00,207383.00,0.00,0.00,0.00,ND
1952:Q4,198678.00,197219.00,146628.00,146628.00,0.00,50591.00,50591.00,0.00,1459.00,198678.00,181107.00,0.00,0.00,0.00,336.00,2.00,3245.00,2446.00,1843.00,0.00,56.00,3326.00,2000.00,0.00,612.00,0.00,3705.00,197219.00,0.00,0.00,0.00,ND
1953:Q1,195249.00,193757.00,143052.00,143052.00,0.00,50705.00,50705.00,0.00,1492.00,195249.00,177857.00,0.00,0.00,0.00,350.00,2.00,3165.00,2396.00,1916.00,0.00,59.00,3255.00,2060.00,0.00,620.00,0.00,3569.00,193757.00,0.00,0.00,0.00,ND
1953:Q2,186022.00,184623.00,133816.00,133816.00,0.00,50807.00,50807.00,0.00,1399.00,186022.00,168582.00,0.00,0.00,0.00,371.00,2.00,3134.00,2395.00,2042.00,0.00,63.00,3197.00,2120.00,0.00,640.00,0.00,3476.00,184623.00,0.00,0.00,0.00,ND
1953:Q3,181485.00,180195.00,129274.00,129274.00,0.00,50921.00,50921.00,0.00,1290.00,181485.00,163848.00,0.00,0.00,0.00,392.00,3.00,3133.00,2413.00,2169.00,0.00,68.00,3170.00,2180.00,0.00,679.00,0.00,3430.00,180195.00,0.00,0.00,0.00,ND
1953:Q4,196403.00,195074.00,144082.00,144082.00,0.00,50992.00,50992.00,0.00,1329.00,196403.00,177572.00,0.00,0.00,0.00,431.00,3.00,3344.00,2573.00,2392.00,0.00,75.00,3521.00,2240.00,0.00,602.00,0.00,3650.00,195074.00,0.00,0.00,0.00,ND
1954:Q1,208840.00,207401.00,156255.00,156255.00,0.00,51146.00,51146.00,0.00,1439.00,208840.00,188593.00,0.00,0.00,0.00,471.00,3.00,3637.00,2773.00,2605.00,0.00,82.00,3843.00,2298.00,0.00,539.00,0.00,3996.00,207401.00,0.00,0.00,0.00,ND
1954:Q2,225418.00,223864.00,172550.00,172550.00,0.00,51314.00,51314.00,0.00,1554.00,225418.00,203782.00,0.00,0.00,0.00,489.00,4.00,3897.00,2920.00,2685.00,0.00,84.00,4218.00,2354.00,0.00,632.00,0.00,4353.00,223864.00,0.00,0.00,0.00,ND
1954:Q3,245245.00,243537.00,191985.00,191985.00,0.00,51552.00,51552.00,0.00,1708.00,245245.00,221823.00,0.00,0.00,0.00,517.00,5.00,4216.00,3093.00,2821.00,0.00,89.00,4749.00,2413.00,0.00,715.00,0.00,4804.00,243537.00,0.00,0.00,0.00,ND
1954:Q4,248357.00,246489.00,194840.00,194840.00,0.00,51649.00,51649.00,0.00,1868.00,248357.00,222895.00,0.00,0.00,0.00,571.00,5.00,4539.00,3268.00,3154.00,0.00,99.00,5361.00,2480.00,0.00,731.00,0.00,5254.00,246489.00,0.00,0.00,0.00,ND
1955:Q1,255684.00,253750.00,202122.00,202122.00,0.00,51628.00,51628.00,0.00,1934.00,255684.00,229212.00,0.00,0.00,0.00,629.00,5.00,4609.00,3261.00,3551.00,0.00,113.00,5753.00,2554.00,0.00,590.00,0.00,5407.00,253750.00,0.00,0.00,0.00,ND
1955:Q2,279570.00,277402.00,225533.00,225533.00,0.00,51869.00,51869.00,0.00,2168.00,279570.00,249889.00,0.00,0.00,0.00,781.00,6.00,5030.00,3499.00,4519.00,0.00,148.00,6366.00,2635.00,0.00,716.00,0.00,5981.00,277402.00,0.00,0.00,0.00,ND
1955:Q3,295380.00,293047.00,240995.00,240995.00,0.00,52052.00,52052.00,0.00,2333.00,295380.00,263912.00,0.00,0.00,0.00,918.00,6.00,5275.00,3606.00,5446.00,0.00,180.00,6358.00,2719.00,0.00,611.00,0.00,6349.00,293047.00,0.00,0.00,0.00,ND
