date,FL893170005.Q,FL163170003.Q,FL103170005.Q,FL113170005.Q,FL313170005.Q,FL213170003.Q,FL663170003.Q,FL263170003.Q,FL893070005.Q,FL103070005.Q,FL113070003.Q,FL313070000.Q,FL213070003.Q,FL513070003.Q,FL673070003.Q,FL263070003.Q,FL903070005.Q
1945:Q4,21500.00,504.00,13718.28,3557.72,2679.00,632.00,10.00,399.00,27185.00,19821.00,4548.00,900.00,1042.00,361.00,0.00,513.00,-5685.00
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,27621.00,671.00,20069.00,5056.00,666.00,778.00,25.00,356.00,30389.00,22579.00,5553.00,100.00,1165.00,478.00,0.00,514.00,-2768.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,31395.00,771.00,23427.00,6078.00,0.00,646.00,40.00,433.00,35863.00,27554.00,5864.00,0.00,1376.00,578.00,0.00,491.00,-4468.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,34369.00,851.00,25024.00,7203.00,0.00,789.00,50.00,452.00,38083.00,29600.00,5934.00,0.00,1462.00,652.00,0.00,435.00,-3714.00
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,34575.00,884.00,24764.00,7463.00,0.00,950.00,65.00,449.00,37179.00,28640.00,5995.00,0.00,1427.00,723.00,0.00,394.00,-2604.00
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,45106.00,951.00,32745.00,8721.00,1100.00,1064.00,80.00,445.00,49140.00,38583.00,7091.00,400.00,1887.00,740.00,0.00,439.00,-4034.00
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,46887.00,1034.00,32378.00,9045.00,2700.00,1150.00,90.00,490.00,53673.00,41964.00,6974.00,1300.00,2125.00,850.00,0.00,460.00,-6786.00
1952:Q1,45511.00,1058.00,30425.00,9695.00,2500.00,1271.00,100.00,462.00,56126.00,43434.00,7702.00,1600.00,2057.00,876.00,0.00,457.00,-10615.00
1952:Q2,43531.00,1084.00,28301.00,9780.00,2400.00,1397.00,100.00,469.00,55117.00,42254.00,7539.00,2000.00,1964.00,901.00,0.00,459.00,-11586.00
1952:Q3,46527.00,1110.00,30826.00,9972.00,2500.00,1517.00,140.00,462.00,59654.00,46001.00,7945.00,2200.00,2092.00,925.00,0.00,491.00,-13127.00
1952:Q4,48986.00,1133.00,33144.00,9626.00,2775.00,1640.00,150.00,518.00,59601.00,45866.00,7838.00,2251.00,2199.00,948.00,0.00,499.00,-10615.00
1953:Q1,48408.00,1154.00,31161.00,10789.00,2883.00,1768.00,160.00,493.00,61928.00,46828.00,8891.00,2577.00,2169.00,967.00,0.00,496.00,-13520.00
1953:Q2,48817.00,1173.00,31486.00,10887.00,2679.00,1893.00,170.00,529.00,60993.00,46126.00,8743.00,2490.00,2181.00,983.00,0.00,470.00,-12176.00
1953:Q3,50072.00,1192.00,32302.00,11189.00,2667.00,2024.00,180.00,518.00,62626.00,47561.00,8850.00,2514.00,2234.00,996.00,0.00,471.00,-12554.00
1953:Q4,49503.00,1212.00,32861.00,9993.00,2600.00,2158.00,180.00,499.00,59120.00,45021.00,8233.00,2214.00,2203.00,1006.00,0.00,443.00,-9617.00
1954:Q1,48554.00,1233.00,30221.00,11352.00,2763.00,2298.00,190.00,497.00,60517.00,45279.00,9097.00,2527.00,2155.00,1017.00,0.00,442.00,-11963.00
1954:Q2,48796.00,1255.00,30271.00,11707.00,2412.00,2441.00,190.00,520.00,60074.00,45273.00,8777.00,2416.00,2161.00,1030.00,0.00,417.00,-11278.00
1954:Q3,51079.00,1277.00,31599.00,12557.00,2308.00,2589.00,200.00,549.00,62833.00,47592.00,8916.00,2608.00,2259.00,1045.00,0.00,413.00,-11754.00
1954:Q4,53830.00,1298.00,34900.00,11730.00,2366.00,2738.00,200.00,598.00,62897.00,48406.00,8174.00,2445.00,2378.00,1064.00,0.00,430.00,-9067.00
1955:Q1,54083.00,1318.00,34158.00,12669.00,2220.00,2896.00,200.00,622.00,66168.00,50806.00,8955.00,2472.00,2386.00,1084.00,0.00,465.00,-12085.00
1955:Q2,56262.00,1336.00,35783.00,13098.00,2145.00,3057.00,200.00,643.00,67217.00,52383.00,8476.00,2333.00,2478.00,1106.00,0.00,441.00,-10955.00
1955:Q3,60965.00,1356.00,39758.00,13638.00,2166.00,3220.00,200.00,627.00,71793.00,56754.00,8521.00,2229.00,2686.00,1130.00,0.00,473.00,-10828.00
1955:Q4,65020.00,1381.00,43953.00,13157.00,2283.00,3384.00,210.00,652.00,72667.00,58009.00,7907.00,2274.00,2863.00,1156.00,0.00,458.00,-7647.00
1956:Q1,64467.00,1413.00,42074.00,14204.00,2289.00,3553.00,220.00,714.00,74792.00,59131.00,8912.00,2266.00,2832.00,1185.00,0.00,466.00,-10325.00
1956:Q2,66706.00,1452.00,43813.00,14452.00,2302.00,3726.00,230.00,731.00,76446.00,60287.00,8993.00,2516.00,2928.00,1217.00,0.00,505.00,-9740.00
1956:Q3,69217.00,1493.00,45517.00,14953.00,2367.00,3900.00,230.00,757.00,80575.00,63778.00,9474.00,2493.00,3035.00,1252.00,0.00,543.00,-11358.00
1956:Q4,71388.00,1530.00,48076.00,14080.00,2608.00,4076.00,230.00,788.00,80195.00,63809.00,9051.00,2350.00,3127.00,1291.00,0.00,567.00,-8807.00
1957:Q1,70806.00,1563.00,46402.00,15038.00,2534.00,4262.00,240.00,767.00,82409.00,65016.00,9927.00,2455.00,3095.00,1330.00,0.00,586.00,-11603.00
1957:Q2,70679.00,1594.00,46398.00,14710.00,2479.00,4451.00,240.00,807.00,82049.00,65154.00,9159.00,2638.00,3083.00,1370.00,0.00,645.00,-11370.00
1957:Q3,72053.00,1625.00,47515.00,14791.00,2427.00,4642.00,240.00,813.00,83870.00,67098.00,8997.00,2568.00,3138.00,1410.00,0.00,659.00,-11817.00
1957:Q4,74433.00,1658.00,49675.00,14366.00,2769.00,4839.00,250.00,876.00,81422.00,65436.00,8378.00,2261.00,3238.00,1451.00,0.00,658.00,-6989.00
1958:Q1,71717.00,1694.00,45610.00,15629.00,2667.00,5042.00,250.00,825.00,83516.00,66550.00,9617.00,2123.00,3108.00,1490.00,0.00,628.00,-11799.00
1958:Q2,73429.00,1731.00,46976.00,15754.00,2606.00,5249.00,250.00,863.00,83503.00,66706.00,9516.00,1946.00,3178.00,1527.00,0.00,630.00,-10074.00
1958:Q3,77284.00,1769.00,50214.00,16043.00,2674.00,5464.00,260.00,860.00,88694.00,71453.00,9874.00,1816.00,3345.00,1563.00,0.00,643.00,-11410.00
1958:Q4,80824.00,1809.00,53926.00,15441.00,2832.00,5685.00,260.00,871.00,88657.00,71840.00,9377.00,1723.00,3499.00,1599.00,0.00,619.00,-7833.00
1959:Q1,81802.00,2060.00,53803.00,16115.00,2802.00,5912.00,270.00,840.00,91153.00,73501.00,10079.00,1692.00,3569.00,1639.00,0.00,673.00,-9351.00
