date,FL883140005.Q,FL313140003.Q,FL543140005.Q,FL883140005.Q,FL153040005.Q,FL763040005.Q,FL733040005.Q
1945:Q4,39560.00,3593.00,35967.00,39560.00,39560.00,0.00,0.00
1946:Q1,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND
1946:Q4,43360.00,4758.00,38602.00,43360.00,43360.00,0.00,0.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND
1947:Q4,46510.00,5363.00,41147.00,46510.00,46510.00,0.00,0.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND
1948:Q4,49353.00,5576.00,43777.00,49353.00,49353.00,0.00,0.00
1949:Q1,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND
1949:Q4,52104.00,5660.00,46444.00,52104.00,52104.00,0.00,0.00
1950:Q1,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND
1950:Q4,55049.00,5969.00,49080.00,55049.00,55049.00,0.00,0.00
1951:Q1,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND
1951:Q4,57777.00,6142.00,51635.00,57777.00,57777.00,0.00,0.00
1952:Q1,58445.00,6157.00,52288.00,58445.00,58445.00,0.00,0.00
1952:Q2,59153.00,6177.00,52976.00,59153.00,59153.00,0.00,0.00
1952:Q3,59892.00,6185.00,53707.00,59892.00,59892.00,0.00,0.00
1952:Q4,60665.00,6185.00,54480.00,60665.00,60665.00,0.00,0.00
1953:Q1,61439.00,6193.00,55246.00,61439.00,61439.00,0.00,0.00
1953:Q2,62199.00,6211.00,55988.00,62199.00,62199.00,0.00,0.00
1953:Q3,62937.00,6236.00,56701.00,62937.00,62937.00,0.00,0.00
1953:Q4,63647.00,6259.00,57388.00,63647.00,63647.00,0.00,0.00
1954:Q1,64339.00,6246.00,58093.00,64339.00,64339.00,0.00,0.00
1954:Q2,65018.00,6187.00,58831.00,65018.00,65018.00,0.00,0.00
1954:Q3,65687.00,6087.00,59600.00,65687.00,65687.00,0.00,0.00
1954:Q4,66349.00,5960.00,60389.00,66349.00,66349.00,0.00,0.00
1955:Q1,67031.00,5861.00,61170.00,67031.00,67031.00,0.00,0.00
1955:Q2,67740.00,5809.00,61931.00,67740.00,67740.00,0.00,0.00
1955:Q3,68498.00,5810.00,62688.00,68498.00,68498.00,0.00,0.00
1955:Q4,69254.00,5795.00,63459.00,69254.00,69254.00,0.00,0.00
1956:Q1,70104.00,5853.00,64251.00,70104.00,70104.00,0.00,0.00
1956:Q2,71013.00,5943.00,65070.00,71013.00,71013.00,0.00,0.00
1956:Q3,71904.00,6029.00,65875.00,71904.00,71904.00,0.00,0.00
1956:Q4,72724.00,6098.00,66626.00,72724.00,72724.00,0.00,0.00
