date,FL893178005.Q,FL103178000.Q,FL113178003.Q,FL763178003.Q,FL513178003.Q,FL543178073.Q,FL613178003.Q,FL663178003.Q,FL893078005.Q,FL313078005.Q,FL213078005.Q,FL903078005.Q
1945:Q4,10548.00,10105.00,0.00,338.00,44.00,26.00,25.00,10.00,10107.00,9607.00,500.00,441.00
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,8604.00,8147.00,0.00,354.00,34.00,22.00,34.00,13.00,8718.00,8218.00,500.00,-114.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,10681.00,10333.00,0.00,244.00,44.00,2.00,52.00,6.00,11066.00,10566.00,500.00,-385.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,11603.00,11108.00,0.00,292.00,117.00,2.00,79.00,5.00,11878.00,11378.00,500.00,-275.00
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,9514.00,8806.00,0.00,336.00,217.00,47.00,100.00,8.00,9614.00,9114.00,500.00,-100.00
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,16929.00,16061.00,0.00,453.00,162.00,76.00,165.00,12.00,17015.00,16515.00,500.00,-86.00
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,21635.00,20537.00,0.00,615.00,128.00,133.00,212.00,10.00,22101.00,21601.00,500.00,-466.00
1952:Q1,20151.00,18812.00,0.00,721.00,192.00,165.00,247.00,14.00,9830.00,9332.00,498.00,10321.00
1952:Q2,17866.00,16610.00,0.00,691.00,176.00,148.00,225.00,16.00,9836.00,9332.00,504.00,8030.00
1952:Q3,18659.00,17238.00,0.00,803.00,189.00,159.00,253.00,17.00,9832.00,9332.00,500.00,8827.00
1952:Q4,18815.00,17381.00,0.00,801.00,218.00,149.00,246.00,20.00,9842.00,9332.00,510.00,8973.00
1953:Q1,17283.00,16007.00,0.00,720.00,189.00,139.00,214.00,14.00,7868.00,7363.00,505.00,9415.00
