date,FL263192005.Q,FL263192101.Q,FL263192305.Q,FL263192313.Q,FL263092313.Q,FL103092005.Q,FL763092000.Q,FL513092003.Q,FL543092073.Q,FL613092003.Q,FL663092003.Q,FL103192005.Q,FL115114005.Q,FL753192003.Q,FL513192003.Q,FL543192073.Q,FL613192003.Q,FL663192005.Q,FL733192003.Q,FL503192003.Q,FL263092001.Q,FL263092101.Q,FL263092303.Q,FL263092323.Q,FL263192323.Q,FL263192035.Q,FL263192101.Q,FL263192345.Q,FL263192313.Q,FL263192323.Q,FL263092035.Q,FL263092101.Q,FL263092345.Q,FL263092313.Q,FL263092323.Q,LM263192045.Q,LM263192141.Q,LM263192305.Q,FL263192055.Q,FL263192151.Q,FL263192305.Q,LM263092045.Q,LM263092141.Q,LM263092303.Q,FL263092055.Q,FL263092151.Q,FL263092303.Q
1945:Q4,7227.00,ND,ND,ND,ND,6990.00,23.00,62.00,97.00,24.00,31.00,1493.00,55.00,176.00,316.00,275.00,21.00,171.00,0.00,0.00,2507.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,7227.00,ND,ND,ND,ND,6971.00,26.00,66.00,101.00,28.00,35.00,1481.00,55.00,178.00,318.00,276.00,21.00,174.00,0.00,0.00,2503.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,8366.00,ND,ND,ND,ND,8088.00,29.00,70.00,105.00,33.00,41.00,1571.00,56.00,181.00,320.00,277.00,21.00,177.00,0.00,0.00,2603.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
