date,FL893190005.Q,FL543077073.Q,FL103190005.Q,FL113193003.Q,FL313190005.Q,FL223073045.Q,FL713190005.Q,FL763190005.Q,FL753190005.Q,FL743193005.Q,FL473193005.Q,FL513190005.Q,FL543190005.Q,FL403190005.Q,FL613190005.Q,FL643193005.Q,FL663190005.Q,FL733193005.Q,FL503190005.Q,FL263190005.Q,FL893090005.Q,FL153090005.Q,FL103090005.Q,FL113090005.Q,FL313090005.Q,FL213093003.Q,FL713090005.Q,FL763090005.Q,FL753093005.Q,FL743093005.Q,FL473090005.Q,FL513090005.Q,FL543090005.Q,FL573090005.Q,FL343073005.Q,FL223090005.Q,FL633093005.Q,FL653093005.Q,LM563093003.Q,FL403093005.Q,FL673090543.Q,FL613090005.Q,FL643090005.Q,FL663090005.Q,FL733090005.Q,FL503094505.Q,FL903090005.Q
1945:Q4,43824.90,638.00,375.90,0.00,25762.00,6957.00,131.00,640.00,0.00,180.00,-30.00,3581.00,2587.00,1245.00,483.00,0.00,848.00,0.00,25.00,402.00,60376.00,6251.00,521.97,1481.03,845.00,0.00,100.00,5211.00,0.00,100.00,-7.00,0.00,861.00,16749.00,21152.00,6957.00,0.00,0.00,0.00,166.00,0.00,19.00,0.00,-31.00,0.00,0.00,-16551.10
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,50618.00,703.00,744.00,0.00,29464.00,8294.00,57.00,1014.00,0.00,159.00,-22.00,4297.00,2886.00,980.00,642.00,0.00,837.00,0.00,34.00,529.00,65664.00,7054.00,705.00,1677.00,912.00,0.00,81.00,2933.00,0.00,144.00,-9.00,0.00,933.00,17837.00,24889.00,8294.00,0.00,0.00,0.00,140.00,0.00,109.00,0.00,-35.00,0.00,0.00,-15046.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,57222.00,784.00,1071.00,0.00,31788.00,9907.00,306.00,1140.00,0.00,157.00,-15.00,5121.00,3280.00,1003.00,867.00,0.00,819.00,0.00,35.00,959.00,72383.00,7592.00,975.00,1921.00,1315.00,0.00,150.00,2583.00,0.00,197.00,-11.00,0.00,999.00,19049.00,27469.00,9907.00,0.00,0.00,0.00,115.00,0.00,163.00,0.00,-41.00,0.00,0.00,-15161.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
