date,FL893193005.Q,FL103193005.Q,FL113193003.Q,FL313193013.Q,FL713193005.Q,FL763193005.Q,FL753193005.Q,FL743193005.Q,FL473193005.Q,FL513193005.Q,FL543193005.Q,FL403193005.Q,FL613193005.Q,FL643193005.Q,FL663193005.Q,FL733193005.Q,FL503193005.Q,FL893093005.Q,FL103093005.Q,FL113093005.Q,FL313093003.Q,FL213093003.Q,FL713093005.Q,FL763093005.Q,FL753093005.Q,FL743093005.Q,FL473093005.Q,FL513093005.Q,FL543093005.Q,FL573093005.Q,FL223093005.Q,FL633093005.Q,FL653093005.Q,LM563093003.Q,FL403093005.Q,FL613093005.Q,FL643093005.Q,FL663093005.Q,FL733093005.Q,FL903090005.Q
1945:Q4,-11106.10,-16503.10,0.00,1596.00,-46.00,640.00,0.00,180.00,-30.00,0.00,1202.00,499.00,483.00,0.00,848.00,0.00,25.00,5445.00,89.00,0.00,0.00,0.00,100.00,4916.00,0.00,100.00,-7.00,0.00,223.00,-130.00,0.00,0.00,0.00,0.00,166.00,19.00,0.00,-31.00,0.00,-16551.10
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,-12003.00,-17315.00,0.00,1196.00,-130.00,1014.00,0.00,159.00,-22.00,0.00,1285.00,297.00,642.00,0.00,837.00,0.00,34.00,3043.00,13.00,0.00,0.00,0.00,81.00,2592.00,0.00,144.00,-9.00,0.00,230.00,-222.00,0.00,0.00,0.00,0.00,140.00,109.00,0.00,-35.00,0.00,-15046.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,-12206.00,-18000.00,0.00,796.00,110.00,1140.00,0.00,157.00,-15.00,0.00,1563.00,322.00,867.00,0.00,819.00,0.00,35.00,2955.00,1.00,0.00,0.00,0.00,150.00,2188.00,0.00,197.00,-11.00,0.00,215.00,-22.00,0.00,0.00,0.00,0.00,115.00,163.00,0.00,-41.00,0.00,-15161.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,-12478.00,-18573.00,0.00,591.00,104.00,1609.00,0.00,149.00,-3.00,0.00,1633.00,315.00,852.00,0.00,811.00,0.00,34.00,2907.00,62.00,0.00,0.00,0.00,181.00,1849.00,0.00,157.00,-13.00,0.00,301.00,176.00,0.00,0.00,0.00,0.00,103.00,140.00,0.00,-49.00,0.00,-15385.00
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,-12819.00,-19244.00,0.00,271.00,287.00,1816.00,0.00,141.00,13.00,0.00,1796.00,250.00,1018.00,0.00,792.00,0.00,41.00,3137.00,117.00,0.00,0.00,0.00,135.00,1847.00,0.00,171.00,-15.00,0.00,320.00,313.00,0.00,0.00,0.00,0.00,106.00,200.00,0.00,-57.00,0.00,-15956.00
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,-11262.00,-18919.00,0.00,281.00,629.00,2284.00,0.00,125.00,34.00,0.00,1831.00,361.00,1278.00,0.00,785.00,0.00,49.00,3922.00,174.00,0.00,0.00,0.00,160.00,2133.00,0.00,215.00,-19.00,0.00,460.00,411.00,0.00,0.00,0.00,0.00,107.00,348.00,0.00,-67.00,0.00,-15184.00
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,-14865.00,-22566.00,0.00,461.00,184.00,2382.00,0.00,161.00,59.00,0.00,1960.00,445.00,1201.00,0.00,777.00,0.00,71.00,3767.00,322.00,0.00,0.00,0.00,177.00,1808.00,0.00,218.00,-24.00,0.00,564.00,441.00,0.00,0.00,0.00,0.00,104.00,236.00,0.00,-79.00,0.00,-18632.00
1952:Q1,-14132.00,-21738.00,0.00,418.00,16.00,2577.00,-230.00,163.00,65.00,0.00,2008.00,414.00,1334.00,0.00,765.00,0.00,76.00,4402.00,350.00,0.00,0.00,31.00,206.00,1903.00,32.00,220.00,-25.00,0.00,589.00,603.00,0.00,0.00,0.00,0.00,216.00,356.00,0.00,-79.00,0.00,-18534.00
1952:Q2,-14258.00,-22127.00,0.00,367.00,116.00,2670.00,-220.00,162.00,72.00,0.00,2120.00,298.00,1456.00,0.00,763.00,0.00,65.00,4552.00,236.00,0.00,0.00,128.00,233.00,1950.00,48.00,222.00,-27.00,0.00,611.00,631.00,0.00,0.00,0.00,0.00,218.00,384.00,0.00,-82.00,0.00,-18810.00
1952:Q3,-14561.00,-22647.00,0.00,333.00,-27.00,2954.00,-219.00,161.00,80.00,0.00,2208.00,260.00,1555.00,0.00,721.00,0.00,60.00,5057.00,350.00,0.00,0.00,244.00,307.00,2061.00,39.00,224.00,-29.00,0.00,631.00,657.00,0.00,0.00,0.00,0.00,222.00,437.00,0.00,-86.00,0.00,-19618.00
1952:Q4,-15591.00,-23261.00,0.00,275.00,271.00,2771.00,-229.00,158.00,87.00,0.00,1644.00,266.00,1653.00,0.00,708.00,0.00,66.00,5071.00,352.00,0.00,0.00,361.00,207.00,2169.00,28.00,227.00,-32.00,0.00,645.00,672.00,0.00,0.00,0.00,0.00,81.00,454.00,0.00,-93.00,0.00,-20662.00
