date,FL174090005.Q,FL153091003.Q,FL173020005.Q,FL173030005.Q,FL173034005.Q,FL174022005.Q,FL163069103.Q,FL173061105.Q,FL153061705.Q,FL173062005.Q,FL153063005.Q,FL174023005.Q,FL153069005.Q,FL173065005.Q,FL173066005.Q,LM153064105.Q,LM153064205.Q,FL153040005.Q,FL153050005.Q,FL543150005.Q,FL574190005.Q,FL363150005.Q,FL173099005.Q,FL174190005.Q,FL173165105.Q,FL173165205.Q,FL153166000.Q,FL153169005.Q,FL173199005.Q
1945:Q4,469840.56,0.00,72354.53,50230.00,0.00,78843.00,0.00,66517.00,61.00,3869.00,8396.00,13462.00,694.00,12189.00,579.00,144855.00,1245.00,39560.00,57011.00,2700.00,20697.00,33614.00,12280.03,45484.05,18706.00,8606.12,6800.00,3330.00,8041.93
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,488374.00,0.00,78157.00,56568.00,0.00,76574.00,85.00,65127.00,93.00,3817.00,7452.00,15113.00,733.00,13711.00,669.00,138515.00,1298.00,43360.00,64505.00,3100.00,22077.00,39328.00,14284.00,56570.00,23100.00,9597.00,9777.00,2602.00,11494.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,502768.00,0.00,78214.00,60047.00,0.00,76418.00,103.00,65065.00,148.00,4458.00,6644.00,16511.00,660.00,15070.00,781.00,136405.00,1413.00,46510.00,71873.00,3600.00,23594.00,44679.00,15377.00,68383.00,28267.00,10436.00,13298.00,2686.00,13695.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,514632.00,0.00,75359.00,62248.00,0.00,77463.00,234.00,65817.00,95.00,4629.00,6688.00,17824.00,654.00,16268.00,902.00,135486.00,1516.00,49353.00,79319.00,4200.00,24957.00,50162.00,16063.00,79530.00,33422.00,11611.00,16332.00,2787.00,15378.00
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,535929.00,0.00,73473.00,64842.00,0.00,77594.00,304.00,67256.00,29.00,3724.00,6281.00,18661.00,702.00,16993.00,966.00,142455.00,3071.00,52104.00,87060.00,4825.00,26227.00,56008.00,16669.00,89473.00,37754.00,13092.00,19374.00,3350.00,15903.00
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,578388.00,0.00,76281.00,67207.00,0.00,78538.00,442.00,66500.00,121.00,5465.00,6010.00,19807.00,971.00,17689.00,1147.00,164696.00,3344.00,55049.00,95244.00,5600.00,27229.00,62415.00,18222.00,107339.00,45348.00,15224.00,23947.00,4063.00,18757.00
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,626166.00,0.00,81230.00,72177.00,0.00,78323.00,791.00,65426.00,79.00,5740.00,6287.00,20772.00,893.00,18623.00,1256.00,184698.00,3482.00,57777.00,108809.00,6575.00,32068.00,70166.00,18898.00,119628.00,51792.00,17552.00,25350.00,4186.00,20748.00
1952:Q1,637455.00,0.00,80346.00,73469.00,0.00,80979.00,978.00,66245.00,123.00,7499.00,6134.00,21498.00,748.00,18652.00,2098.00,186383.00,3612.00,58445.00,112851.00,6845.00,33515.00,72491.00,19872.00,121544.00,53149.00,17961.00,24597.00,4229.00,21608.00
1952:Q2,651047.00,0.00,78437.00,75744.00,0.00,82987.00,893.00,65904.00,0.00,9835.00,6355.00,21892.00,695.00,18913.00,2284.00,192556.00,3696.00,59153.00,116622.00,7129.00,34629.00,74864.00,19961.00,126955.00,54880.00,18725.00,26878.00,4300.00,22172.00
1952:Q3,662163.00,0.00,81051.00,77273.00,0.00,84828.00,1047.00,67045.00,0.00,10606.00,6130.00,22152.00,677.00,19126.00,2349.00,192065.00,3837.00,59892.00,120444.00,7417.00,35725.00,77302.00,20621.00,130739.00,56721.00,19320.00,27965.00,4347.00,22386.00
1952:Q4,662159.00,0.00,82918.00,79651.00,0.00,85382.00,1040.00,67389.00,-1.00,10957.00,5997.00,22673.00,714.00,19289.00,2670.00,181107.00,3932.00,60665.00,124409.00,7700.00,36940.00,79769.00,21422.00,135109.00,58486.00,19650.00,30522.00,4404.00,22047.00
1953:Q1,668147.00,0.00,83588.00,81545.00,0.00,85999.00,1270.00,66956.00,52.00,11875.00,5846.00,22805.00,737.00,19619.00,2449.00,177857.00,3867.00,61439.00,128324.00,7980.00,38202.00,82142.00,22724.00,138750.00,60073.00,19887.00,30901.00,4618.00,23271.00
1953:Q2,666821.00,0.00,80286.00,84177.00,0.00,89516.00,1213.00,69312.00,135.00,12743.00,6113.00,23085.00,639.00,19886.00,2560.00,168582.00,3778.00,62199.00,132392.00,8259.00,39571.00,84562.00,22807.00,144195.00,62293.00,20596.00,32672.00,4864.00,23770.00
1953:Q3,672083.00,0.00,82884.00,85755.00,0.00,90016.00,1389.00,69128.00,209.00,13542.00,5748.00,23235.00,663.00,20020.00,2552.00,163848.00,3753.00,62937.00,136525.00,8539.00,40958.00,87028.00,23131.00,147561.00,64272.00,21052.00,33354.00,4850.00,24034.00
1953:Q4,693767.00,0.00,84034.00,87886.00,0.00,89348.00,1296.00,68038.00,154.00,13873.00,5987.00,23791.00,708.00,20285.00,2798.00,177572.00,4146.00,63647.00,140617.00,8825.00,42280.00,89512.00,22727.00,149130.00,66003.00,21280.00,34614.00,4996.00,22237.00
1954:Q1,711885.00,0.00,82524.00,89888.00,0.00,89865.00,1424.00,68196.00,140.00,14386.00,5719.00,23767.00,786.00,20492.00,2489.00,188593.00,4512.00,64339.00,144626.00,9113.00,43470.00,92043.00,23771.00,150808.00,67416.00,21551.00,32744.00,5086.00,24011.00
1954:Q2,733858.00,0.00,81664.00,92829.00,0.00,89295.00,1300.00,67555.00,140.00,14678.00,5622.00,24212.00,833.00,20817.00,2562.00,203782.00,4895.00,65018.00,148566.00,9401.00,44542.00,94623.00,23597.00,156640.00,70234.00,22466.00,34006.00,5311.00,24623.00
1954:Q3,762786.00,0.00,86029.00,94440.00,0.00,88373.00,1301.00,66201.00,152.00,15246.00,5473.00,24538.00,919.00,21107.00,2512.00,221823.00,5469.00,65687.00,152538.00,9695.00,45583.00,97260.00,23889.00,161300.00,72336.00,23205.00,34242.00,5615.00,25903.00
1954:Q4,772348.00,0.00,86536.00,97182.00,0.00,88122.00,1072.00,66087.00,147.00,15964.00,4852.00,25242.00,1020.00,21423.00,2799.00,222895.00,6110.00,66349.00,156605.00,10000.00,46674.00,99931.00,23307.00,165835.00,75356.00,23588.00,35963.00,6047.00,24882.00
1955:Q1,788943.00,0.00,86294.00,99274.00,0.00,90275.00,1362.00,67640.00,39.00,16484.00,4750.00,25320.00,1023.00,21796.00,2501.00,229212.00,6525.00,67031.00,160719.00,10322.00,47788.00,102609.00,24293.00,170687.00,78237.00,24084.00,35702.00,6442.00,26222.00
1955:Q2,817187.00,0.00,83960.00,101868.00,0.00,91875.00,1457.00,68240.00,117.00,17509.00,4552.00,25621.00,913.00,22089.00,2619.00,249889.00,7186.00,67740.00,165063.00,10663.00,49050.00,105350.00,23985.00,179932.00,81697.00,24831.00,38755.00,6552.00,28097.00
1955:Q3,844052.00,0.00,87511.00,103362.00,0.00,93957.00,1503.00,69181.00,232.00,18360.00,4681.00,25913.00,985.00,22315.00,2613.00,263912.00,7257.00,68498.00,169458.00,11004.00,50301.00,108153.00,24185.00,187025.00,85032.00,25509.00,40543.00,6701.00,29240.00
1955:Q4,855035.00,0.00,87960.00,105783.00,0.00,94951.00,1354.00,68843.00,605.00,19174.00,4975.00,26529.00,899.00,22725.00,2905.00,265154.00,7839.00,69254.00,173766.00,11325.00,51451.00,110990.00,23799.00,192531.00,87936.00,25692.00,42949.00,6713.00,29240.00
1956:Q1,882848.00,0.00,87324.00,107946.00,0.00,97763.00,1832.00,70474.00,721.00,19569.00,5167.00,26802.00,972.00,23199.00,2631.00,281337.00,8555.00,70104.00,178087.00,11624.00,52603.00,113860.00,24930.00,195953.00,90356.00,26474.00,42251.00,6770.00,30102.00
1956:Q2,882357.00,0.00,85920.00,110925.00,0.00,98874.00,1682.00,70183.00,958.00,20436.00,5615.00,27241.00,835.00,23674.00,2732.00,272249.00,8613.00,71013.00,182354.00,11895.00,53675.00,116784.00,25168.00,202920.00,93327.00,27467.00,44281.00,6856.00,30988.00
1956:Q3,889594.00,0.00,88664.00,112516.00,0.00,100441.00,1601.00,70632.00,1115.00,21308.00,5785.00,27615.00,867.00,23976.00,2772.00,267245.00,8506.00,71904.00,186928.00,12175.00,54938.00,119815.00,25775.00,207810.00,96174.00,28316.00,44978.00,6905.00,31436.00
1956:Q4,920944.00,0.00,89978.00,115230.00,0.00,100615.00,1420.00,70225.00,959.00,21900.00,6111.00,28270.00,882.00,24327.00,3061.00,287591.00,9046.00,72724.00,191968.00,12500.00,56529.00,122939.00,25522.00,211727.00,98745.00,28576.00,46580.00,7034.00,30792.00
1957:Q1,921221.00,0.00,89043.00,118462.00,0.00,103038.00,1836.00,70878.00,933.00,22537.00,6854.00,28434.00,815.00,24871.00,2748.00,274073.00,9106.00,73468.00,199016.00,12868.00,58237.00,127911.00,26581.00,214164.00,100851.00,28811.00,45242.00,7006.00,32253.00
1957:Q2,948162.00,0.00,87064.00,121985.00,0.00,103367.00,1617.00,70743.00,1154.00,22812.00,7041.00,29016.00,814.00,25333.00,2869.00,290373.00,9687.00,74135.00,206575.00,13279.00,60286.00,133010.00,25961.00,219994.00,103039.00,29510.00,47223.00,7317.00,32905.00
1957:Q3,937147.00,0.00,89893.00,123872.00,0.00,105341.00,1713.00,71650.00,1100.00,23526.00,7352.00,29519.00,833.00,25843.00,2843.00,264793.00,9001.00,74784.00,214010.00,13700.00,62085.00,138225.00,25934.00,223969.00,105397.00,30352.00,47971.00,7327.00,32922.00
1957:Q4,950135.00,0.00,89786.00,127167.00,0.00,105712.00,1715.00,71507.00,1463.00,23851.00,7176.00,30279.00,894.00,26283.00,3102.00,266234.00,8714.00,75462.00,221333.00,14100.00,63731.00,143502.00,25448.00,226943.00,107374.00,30734.00,49217.00,7160.00,32458.00
1958:Q1,977290.00,0.00,90031.00,130705.00,0.00,106501.00,1979.00,70949.00,1208.00,24382.00,7983.00,30403.00,951.00,26750.00,2702.00,280386.00,9463.00,76183.00,226766.00,14475.00,65252.00,147039.00,26853.00,227806.00,108975.00,31428.00,46775.00,7550.00,33078.00
1958:Q2,999219.00,0.00,87056.00,134835.00,0.00,104662.00,2034.00,71186.00,824.00,23317.00,7301.00,31358.00,1045.00,27539.00,2774.00,294788.00,10610.00,76958.00,232144.00,14826.00,66666.00,150652.00,26808.00,232899.00,111142.00,32485.00,47704.00,8111.00,33456.00
1958:Q3,1043973.00,0.00,93015.00,137708.00,0.00,103061.00,2064.00,68645.00,798.00,23794.00,7760.00,32092.00,1116.00,28168.00,2808.00,323591.00,11791.00,77752.00,237630.00,15189.00,68103.00,154338.00,27332.00,237842.00,114035.00,33532.00,47940.00,8280.00,34055.00
1958:Q4,1067796.00,0.00,94073.00,141266.00,0.00,103828.00,1817.00,68638.00,833.00,24616.00,7924.00,33146.00,1156.00,28887.00,3103.00,333401.00,13242.00,78535.00,243343.00,15600.00,69685.00,158058.00,26962.00,243900.00,117177.00,34180.00,49490.00,8591.00,34462.00
1959:Q1,1085904.00,0.00,93452.00,143832.00,0.00,106442.00,1866.00,69977.00,917.00,25460.00,8222.00,33438.00,1272.00,29330.00,2836.00,339692.00,14132.00,79331.00,247721.00,16068.00,71231.00,160422.00,27864.00,248537.00,119935.00,35463.00,48991.00,8742.00,35406.00
1959:Q2,1107367.00,0.00,92134.00,147681.00,0.00,107046.00,1883.00,69458.00,1523.00,26068.00,8114.00,34026.00,1118.00,29939.00,2969.00,351283.00,14973.00,80133.00,252546.00,16602.00,73084.00,162860.00,27545.00,257962.00,123346.00,37109.00,51878.00,8985.00,36645.00
1959:Q3,1115407.00,0.00,95141.00,149934.00,0.00,109726.00,2064.00,70444.00,2011.00,27058.00,8149.00,34289.00,1031.00,30314.00,2944.00,345399.00,14747.00,80994.00,257312.00,17129.00,74805.00,165378.00,27865.00,266088.00,127007.00,38496.00,53918.00,8984.00,37682.00
1959:Q4,1143785.00,0.00,94308.00,152525.00,0.00,112037.00,1607.00,71584.00,2267.00,28362.00,8217.00,33868.00,-358.00,30801.00,3425.00,364442.00,15818.00,81956.00,262175.00,17575.00,76659.00,167941.00,26656.00,272125.00,130099.00,39173.00,57213.00,9206.00,36435.00
1960:Q1,1137010.00,0.00,92261.00,154522.00,0.00,118347.00,2740.00,75466.00,1630.00,28972.00,9539.00,33485.00,-721.00,31342.00,2864.00,344090.00,15312.00,82895.00,267741.00,17946.00,78031.00,171764.00,28357.00,275778.00,132580.00,40451.00,55757.00,9090.00,37900.00
1960:Q2,1152802.00,0.00,90354.00,158156.00,0.00,118953.00,2779.00,74183.00,1909.00,30072.00,10010.00,34238.00,-897.00,32110.00,3025.00,350070.00,16097.00,83772.00,273388.00,18248.00,79493.00,175647.00,27774.00,284060.00,135366.00,41800.00,58622.00,9401.00,38870.00
1960:Q3,1141636.00,0.00,93852.00,161281.00,0.00,118329.00,2843.00,73602.00,1294.00,30503.00,10087.00,35207.00,-540.00,32820.00,2927.00,325875.00,15640.00,84539.00,278717.00,18532.00,80543.00,179642.00,28196.00,290066.00,138582.00,43066.00,59590.00,9679.00,39148.00
1960:Q4,1193321.00,0.00,95626.00,164461.00,0.00,117396.00,2550.00,72194.00,1033.00,31007.00,10612.00,36825.00,48.00,33575.00,3202.00,364553.00,17026.00,85184.00,284547.00,18850.00,81980.00,183717.00,27704.00,295336.00,141378.00,43954.00,61248.00,9901.00,38856.00
1961:Q1,1244364.00,0.00,93550.00,169701.00,0.00,116910.00,3048.00,72095.00,359.00,30769.00,10639.00,36412.00,-607.00,34425.00,2594.00,403160.00,19440.00,85872.00,290230.00,19191.00,83342.00,187697.00,29089.00,298973.00,143645.00,45558.00,59339.00,10472.00,39959.00
1961:Q2,1256415.00,0.00,91941.00,175096.00,0.00,116959.00,2960.00,70684.00,224.00,31610.00,11481.00,38099.00,83.00,35253.00,2763.00,403029.00,20003.00,86665.00,295620.00,19544.00,84282.00,191794.00,29002.00,306618.00,146603.00,47162.00,60597.00,11139.00,41117.00
1961:Q3,1280328.00,0.00,94939.00,177733.00,0.00,117661.00,2911.00,72300.00,244.00,31180.00,11026.00,38206.00,-602.00,36010.00,2798.00,412628.00,21007.00,87588.00,301097.00,19900.00,85195.00,196002.00,29469.00,312761.00,150179.00,48929.00,61082.00,11279.00,41292.00
1961:Q4,1325681.00,0.00,95154.00,182845.00,0.00,118070.00,2188.00,71944.00,592.00,32506.00,10840.00,39224.00,-740.00,36834.00,3130.00,443217.00,22875.00,88631.00,306733.00,20250.00,86222.00,200261.00,28932.00,319926.00,154027.00,50225.00,63435.00,11700.00,40539.00
1962:Q1,1325807.00,0.00,93426.00,189204.00,0.00,119180.00,3090.00,73081.00,567.00,31469.00,10973.00,39054.00,-1100.00,37377.00,2777.00,433050.00,22981.00,89663.00,309318.00,20591.00,86701.00,202026.00,29931.00,323754.00,156488.00,51684.00,62038.00,11525.00,42019.00
1962:Q2,1226032.00,0.00,91309.00,196080.00,0.00,118961.00,3105.00,73108.00,410.00,31384.00,10954.00,40545.00,-450.00,37975.00,3020.00,329789.00,18257.00,90651.00,310998.00,20920.00,86195.00,203883.00,29442.00,333019.00,160237.00,53567.00,65435.00,11362.00,42418.00
1962:Q3,1259123.00,0.00,93668.00,201423.00,0.00,120509.00,3342.00,74836.00,286.00,31852.00,10193.00,41087.00,-338.00,38406.00,3019.00,348408.00,18796.00,91563.00,313957.00,21258.00,86858.00,205841.00,29712.00,341155.00,164345.00,55275.00,66626.00,11883.00,43026.00
1962:Q4,1356033.00,0.00,95396.00,208828.00,0.00,119244.00,2993.00,73718.00,235.00,32087.00,10211.00,41457.00,-864.00,39006.00,3315.00,431230.00,20909.00,92398.00,317344.00,21625.00,87855.00,207864.00,29227.00,349538.00,168307.00,56834.00,69344.00,12308.00,42745.00
1963:Q1,1393963.00,0.00,96577.00,215765.00,0.00,116747.00,3850.00,70567.00,9.00,31665.00,10656.00,40826.00,-1464.00,39324.00,2966.00,455641.00,22156.00,93355.00,322748.00,22016.00,88707.00,212025.00,30148.00,354845.00,171352.00,58382.00,68935.00,12575.00,43601.00
1963:Q2,1431049.00,0.00,95389.00,223030.00,0.00,116957.00,4362.00,70564.00,0.00,31642.00,10389.00,42363.00,-908.00,40093.00,3178.00,477302.00,23306.00,94378.00,328362.00,22427.00,89630.00,216305.00,29962.00,366723.00,175801.00,60532.00,72217.00,13531.00,44642.00
1963:Q3,1467536.00,0.00,98056.00,227746.00,0.00,117735.00,4754.00,71976.00,0.00,31128.00,9877.00,42549.00,-994.00,40319.00,3224.00,497411.00,24118.00,95473.00,334218.00,22856.00,90656.00,220706.00,30230.00,375857.00,180662.00,62450.00,74362.00,14161.00,44222.00
1963:Q4,1458635.00,0.00,100081.00,234936.00,0.00,119325.00,4196.00,72892.00,0.00,32094.00,10143.00,42935.00,-1146.00,40528.00,3553.00,469895.00,24819.00,96635.00,340285.00,23300.00,91810.00,225175.00,29725.00,385781.00,185106.00,64118.00,77870.00,14502.00,44185.00
1964:Q1,1504414.00,0.00,97368.00,240745.00,0.00,121324.00,4649.00,74239.00,0.00,32475.00,9961.00,43993.00,-153.00,40880.00,3266.00,499442.00,26433.00,97719.00,346742.00,23764.00,93233.00,229745.00,30648.00,392107.00,188776.00,65481.00,78041.00,14538.00,45271.00
1964:Q2,1536820.00,0.00,97951.00,247988.00,0.00,122521.00,5403.00,74497.00,0.00,33112.00,9509.00,43185.00,-1377.00,41158.00,3404.00,515081.00,27156.00,98806.00,353281.00,24250.00,94641.00,234390.00,30851.00,404555.00,193368.00,67701.00,81812.00,14718.00,46955.00
1964:Q3,1576414.00,0.00,102798.00,253567.00,0.00,123292.00,5042.00,74484.00,0.00,34138.00,9628.00,44477.00,-573.00,41613.00,3437.00,532323.00,28523.00,99913.00,360086.00,24748.00,96166.00,239172.00,31435.00,413432.00,198076.00,69722.00,84142.00,14749.00,46743.00
1964:Q4,1605181.00,0.00,102973.00,261041.00,0.00,124133.00,5173.00,73571.00,245.00,34854.00,10290.00,45054.00,-823.00,42098.00,3779.00,544127.00,28447.00,101051.00,367066.00,25250.00,97767.00,244049.00,31289.00,422894.00,202335.00,71430.00,87352.00,14765.00,47013.00
