date,FC152090005.Q,FU155060005.Q,FU155061005.Q,FU155050005.Q,FU156300005.Q,FU155000005.Q,FU154090005.Q,FU154190005.Q,FR158000005.Q,FR155035005.Q,FR153064105.Q,FR153064205.Q,FR152090205.Q,FR153040005.Q,FR153050005.Q,FR153094305.Q,FR158100005.Q,FR155111005.Q,FR165015205.Q,FR165013765.Q,FV158090005.Q,FL152090005.Q,FA156012005.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,802371.93,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,77968.00,27149.00,10256.00,23253.00,12997.00,16893.00,23750.00,6857.00,48129.00,18517.00,-7348.00,-132.00,37092.00,0.00,0.00,0.00,2738.00,2626.00,80.00,32.00,-48.00,880340.00,165458.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,97820.00,23024.00,15988.00,31588.00,15600.00,7036.00,16063.00,9027.00,70228.00,40353.00,-3189.00,-48.00,33112.00,0.00,0.00,0.00,3891.00,3812.00,58.00,21.00,677.00,978160.00,174826.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
