date,FA896902505.A,FA886300091.A,FA896902601.A,FA896025001.A,FA896020001.A,FA896401001.A,FA896240101.A,FA896402101.A,FA266904095.A,FA266904195.A,FA896140001.A,FA896402101.A,FA156025105.A,FA156020101.A,FA156401101.A,FA896240001.A,FA366402015.A,FA896150105.A,FA896130101.A,FA896120105.A,FA896121101.A,FA156122101.A,FA893092201.A,FA896112101.A,FA896150005.A,FA896130001.A,FA896120005.A,FA896121001.A,FA896122001.A,FA893192201.A,FA896112001.A,FA896140001.A,FA896220001.A,FA896220005.A,FA896404105.A,FA896404005.A,FA896403105.A,FA896403005.A,FA896012005.A,FA896901001.A,FA896006001.A,FA896902505.A,FA087005995.A,FA086902005.A,FA086902203.A,FA087005086.A
1960,544642.00,67894.00,476747.00,302006.00,273010.00,28996.00,43401.00,131341.00,4888.00,1775.00,479860.00,131341.00,301851.00,272855.00,28996.00,44547.00,-1146.00,144050.00,67009.00,75256.00,19198.00,56058.00,1357.00,428.00,140784.00,66879.00,73301.00,17242.00,56058.00,176.00,428.00,479860.00,68859.00,68850.00,40906.00,41118.00,5904.00,9846.00,475715.00,416602.00,59113.00,544642.00,-1361.00,543280.00,543961.00,-0.25
1961,564280.00,70607.00,493675.00,311233.00,280663.00,30570.00,44954.00,137487.00,5307.00,1788.00,497193.00,137487.00,311089.00,280519.00,30570.00,46968.00,-2014.00,152415.00,71539.00,79181.00,20447.00,58734.00,1161.00,535.00,148751.00,71191.00,76788.00,18052.00,58734.00,240.00,535.00,497193.00,70143.00,70140.00,45146.00,45370.00,6659.00,10657.00,492974.00,431913.00,61062.00,564280.00,-974.00,563308.00,563795.00,-0.17
1962,605192.00,74101.00,531096.00,333007.00,299453.00,33554.00,48109.00,149976.00,5940.00,1847.00,535189.00,149976.00,332912.00,299358.00,33554.00,50382.00,-2273.00,163908.00,78839.00,83133.00,22314.00,60819.00,1316.00,620.00,159715.00,78419.00,80462.00,19643.00,60819.00,216.00,620.00,535189.00,75672.00,75650.00,48017.00,48259.00,7396.00,11571.00,530795.00,461439.00,69356.00,605192.00,-81.00,605116.00,605156.00,-0.01
1963,640099.00,78002.00,562097.00,351241.00,314914.00,36327.00,51152.00,159704.00,6530.00,2053.00,566573.00,159704.00,351178.00,314851.00,36327.00,53386.00,-2234.00,174368.00,86276.00,85847.00,23633.00,62214.00,1645.00,601.00,169829.00,85818.00,83171.00,20959.00,62214.00,240.00,601.00,566573.00,80971.00,80923.00,52076.00,52334.00,8304.00,12563.00,562105.00,485919.00,76186.00,640099.00,-1521.00,638579.00,639339.00,-0.24
1964,685798.00,82379.00,603421.00,376876.00,337842.00,39034.00,54540.00,172005.00,7239.00,2319.00,608341.00,172005.00,376822.00,337788.00,39034.00,57269.00,-2729.00,189314.00,95515.00,91552.00,26646.00,64906.00,1595.00,651.00,184339.00,95010.00,88347.00,23443.00,64906.00,328.00,651.00,608341.00,80237.00,80224.00,53781.00,54050.00,9559.00,13671.00,603974.00,520328.00,83646.00,685798.00,-15.00,685784.00,685792.00,-0.00
1965,742951.00,87980.00,654972.00,406341.00,363752.00,42589.00,57702.00,190929.00,7881.00,2602.00,660251.00,190929.00,406346.00,363757.00,42589.00,60709.00,-3007.00,205876.00,104289.00,99180.00,29569.00,69611.00,1736.00,670.00,200600.00,103721.00,95849.00,26238.00,69611.00,360.00,670.00,660251.00,88746.00,88729.00,57413.00,57782.00,10623.00,15010.00,655512.00,560603.00,94909.00,742951.00,774.00,743726.00,743340.00,0.10
1966,809913.00,95293.00,714621.00,450261.00,400297.00,49965.00,59262.00,205097.00,8071.00,3001.00,719691.00,205097.00,450285.00,400321.00,49965.00,63211.00,-3949.00,222126.00,115841.00,103481.00,29556.00,73925.00,2031.00,772.00,217079.00,115324.00,100638.00,26714.00,73925.00,344.00,772.00,719691.00,100264.00,100259.00,68945.00,69304.00,13536.00,18306.00,714567.00,613421.00,101147.00,809913.00,5122.00,815036.00,812475.00,0.63
1967,858314.00,103520.00,754800.00,482914.00,428979.00,53935.00,64126.00,207755.00,8682.00,3289.00,760193.00,207755.00,482944.00,429009.00,53935.00,67937.00,-3811.00,236542.00,127173.00,106384.00,31002.00,75382.00,2042.00,938.00,231174.00,126585.00,103205.00,27822.00,75382.00,448.00,938.00,760193.00,105860.00,105860.00,80731.00,81174.00,15544.00,20566.00,754728.00,657816.00,96912.00,858314.00,3411.00,861730.00,860025.00,0.40
1968,939293.00,113324.00,825975.00,532089.00,471960.00,60129.00,72233.00,221647.00,10102.00,4017.00,832060.00,221647.00,532101.00,471972.00,60129.00,76407.00,-4174.00,260154.00,142425.00,113901.00,34062.00,79839.00,2763.00,1054.00,254075.00,141989.00,110534.00,30694.00,79839.00,496.00,1054.00,832060.00,126671.00,126615.00,92145.00,92558.00,17060.00,22605.00,826158.00,724976.00,101182.00,939293.00,3179.00,942477.00,940888.00,0.34
1969,1018273.00,124863.00,893405.00,585993.00,518311.00,67682.00,79322.00,228094.00,11779.00,5664.00,899520.00,228094.00,586015.00,518333.00,67682.00,83856.00,-4534.00,291822.00,168725.00,118816.00,35849.00,82967.00,3198.00,1093.00,285734.00,169227.00,114980.00,32013.00,82967.00,440.00,1093.00,899520.00,144574.00,144483.00,103313.00,103685.00,19586.00,25247.00,893578.00,785350.00,108228.00,1018273.00,1617.00,1019885.00,1019077.00,0.16
1970,1070540.00,136783.00,933754.00,625094.00,551537.00,73557.00,86636.00,222027.00,12833.00,6440.00,940147.00,222027.00,625117.00,551560.00,73557.00,91413.00,-4777.00,327402.00,202032.00,120547.00,36528.00,84019.00,3610.00,1219.00,321036.00,202762.00,116612.00,32592.00,84019.00,448.00,1219.00,940147.00,137800.00,137827.00,118330.00,118817.00,23980.00,30083.00,933529.00,842094.00,91434.00,1070540.00,5354.00,1075890.00,1073214.00,0.50
1971,1158277.00,148866.00,1009420.00,667010.00,584528.00,82482.00,95818.00,246584.00,14011.00,6417.00,1017014.00,246584.00,667031.00,584549.00,82482.00,100493.00,-4675.00,356221.00,222110.00,128967.00,38762.00,90205.00,3716.00,1411.00,348640.00,222393.00,124277.00,34072.00,90205.00,552.00,1411.00,1017014.00,139812.00,139870.00,136916.00,137399.00,27754.00,35117.00,1009110.00,911813.00,97298.00,1158277.00,9481.00,1167766.00,1163026.00,0.81
1972,1275307.00,160897.00,1114419.00,733641.00,638786.00,94856.00,101292.00,279478.00,16278.00,7720.00,1122977.00,279478.00,733640.00,638785.00,94856.00,107928.00,-6636.00,397293.00,245856.00,144715.00,42260.00,102455.00,5220.00,1497.00,388726.00,246827.00,139822.00,37366.00,102455.00,580.00,1497.00,1122977.00,165902.00,165981.00,154386.00,154977.00,37078.00,45635.00,1113750.00,996987.00,116763.00,1275307.00,7132.00,1282448.00,1278882.00,0.56
1973,1422443.00,178080.00,1244363.00,815052.00,708775.00,106277.00,111990.00,317323.00,23541.00,10922.00,1256981.00,317323.00,815039.00,708762.00,106277.00,117220.00,-5230.00,472515.00,289873.00,171838.00,50733.00,121105.00,9019.00,1788.00,459886.00,292140.00,165037.00,43933.00,121105.00,920.00,1788.00,1256981.00,182073.00,182380.00,184666.00,185282.00,41064.00,48009.00,1249113.00,1091862.00,157252.00,1422443.00,6097.00,1428539.00,1425491.00,0.43
1974,1541431.00,206167.00,1335260.00,890342.00,772304.00,118038.00,121595.00,323325.00,29820.00,14300.00,1350780.00,323325.00,890320.00,772282.00,118038.00,124902.00,-3307.00,545486.00,351921.00,182642.00,62040.00,120602.00,8780.00,2133.00,529946.00,353862.00,172877.00,52275.00,120602.00,1076.00,2133.00,1350780.00,203209.00,203833.00,214306.00,215059.00,43764.00,51122.00,1342045.00,1198945.00,143100.00,1541431.00,7391.00,1548819.00,1545123.00,0.48
1975,1675689.00,237537.00,1438153.00,950218.00,814881.00,135337.00,130798.00,357136.00,28024.00,15020.00,1451157.00,357136.00,950175.00,814838.00,135337.00,135292.00,-4494.00,591227.00,398323.00,181305.00,54529.00,126776.00,9284.00,2303.00,578180.00,399918.00,174750.00,47973.00,126776.00,1208.00,2303.00,1451157.00,198984.00,199253.00,253031.00,254431.00,55155.00,62628.00,1442015.00,1331293.00,110723.00,1675689.00,13230.00,1688920.00,1682305.00,0.78
1976,1857126.00,259210.00,1597919.00,1051271.00,899782.00,151489.00,141263.00,405381.00,32363.00,15516.00,1614766.00,405381.00,1051234.00,899745.00,151489.00,146388.00,-5125.00,633584.00,415382.00,206518.00,67009.00,139509.00,9262.00,2414.00,616697.00,415046.00,197560.00,58050.00,139509.00,1672.00,2414.00,1614766.00,237598.00,237959.00,279616.00,281467.00,61231.00,67141.00,1606643.00,1466356.00,140287.00,1857126.00,20463.00,1877592.00,1867360.00,1.09
1977,2066697.00,288334.00,1778363.00,1169047.00,994220.00,174827.00,152564.00,456752.00,37200.00,16908.00,1798655.00,456752.00,1168985.00,994158.00,174827.00,159664.00,-7100.00,709788.00,465899.00,231715.00,78237.00,153478.00,9641.00,2537.00,689438.00,464658.00,220637.00,67158.00,153478.00,1608.00,2537.00,1798655.00,271650.00,272320.00,303335.00,305155.00,66307.00,71929.00,1790541.00,1619275.00,171267.00,2066697.00,19255.00,2085951.00,2076324.00,0.92
1978,2333417.00,325063.00,2008354.00,1320324.00,1120669.00,199655.00,161962.00,526068.00,46252.00,24671.00,2029935.00,526068.00,1320225.00,1120570.00,199655.00,170898.00,-8936.00,824966.00,546217.00,261622.00,86047.00,175575.00,14280.00,2843.00,803284.00,547408.00,250437.00,74863.00,175575.00,2596.00,2843.00,2029935.00,314109.00,314507.00,335552.00,337429.00,77712.00,84279.00,2021094.00,1797995.00,223100.00,2333417.00,23152.00,2356569.00,2344993.00,0.98
1979,2587366.00,371132.00,2216222.00,1481106.00,1253385.00,227721.00,171570.00,563559.00,68321.00,36390.00,2248153.00,563559.00,1481035.00,1253314.00,227721.00,180101.00,-8531.00,974043.00,654265.00,293167.00,103083.00,190084.00,22652.00,3990.00,942054.00,656869.00,277126.00,87042.00,190084.00,4084.00,3990.00,2248153.00,358057.00,358929.00,381012.00,383132.00,81060.00,88620.00,2237602.00,1994932.00,242670.00,2587366.00,44785.00,2632139.00,2609747.00,1.70
1980,2818574.00,426008.00,2392568.00,1626327.00,1373520.00,252807.00,190530.00,575709.00,79092.00,44907.00,2426753.00,575709.00,1626229.00,1373422.00,252807.00,200330.00,-9800.00,1140414.00,812923.00,298974.00,113649.00,185325.00,22353.00,6161.00,1106128.00,814110.00,282226.00,96901.00,185325.00,3632.00,6161.00,2426753.00,385894.00,386702.00,438701.00,441229.00,88639.00,97921.00,2414135.00,2209512.00,204623.00,2818574.00,43931.00,2862508.00,2840542.00,1.53
1981,3174253.00,485046.00,2689195.00,1795424.00,1511529.00,283895.00,224171.00,669613.00,92024.00,59089.00,2722130.00,669613.00,1795268.00,1511373.00,283895.00,235644.00,-11473.00,1387345.00,1040023.00,322261.00,123476.00,198785.00,17346.00,7743.00,1354269.00,1036611.00,306815.00,108031.00,198785.00,3112.00,7743.00,2722130.00,428440.00,430119.00,504678.00,507798.00,92274.00,104514.00,2705088.00,2444893.00,260195.00,3174253.00,36707.00,3210948.00,3192594.00,1.14
1982,3338234.00,534316.00,2803920.00,1894511.00,1587709.00,306802.00,225916.00,683492.00,100993.00,64483.00,2840430.00,683492.00,1894319.00,1587517.00,306802.00,240933.00,-15017.00,1553989.00,1205364.00,327234.00,132821.00,194413.00,12817.00,8559.00,1517288.00,1201264.00,310849.00,116436.00,194413.00,-3384.00,8559.00,2840430.00,419196.00,421242.00,553165.00,556076.00,92643.00,107522.00,2820592.00,2626982.00,193610.00,3338234.00,6758.00,3344993.00,3341614.00,0.20
