date,FA896902505.A,FA156902505.A,FA116902505.A,FA106902501.A,FA796902505.A,FA316902505.A,FA206902505.A,FA896006001.A,FA156006005.A,FA106012095.A,FA796012095.A,FA316006085.A,FA206006095.A,FA155440005.A,FA115440005.A,FA105440005.A,FA795440005.A,FA315440005.A,FA205440005.A,FA265440005.A,FA885019005.A,FA155019005.A,FA115019085.A,FA105019085.A,FA795013005.A,FA315019001.A,FA205019001.A,FA886300095.A,FA156300003.A,FA116300001.A,FA106300083.A,FA796300081.A,FA316300003.A,FA206300003.A,FA145020005.A,FA115020005.A,FA105020005.A,FA885000985.A,FA155000905.A,FA115000905.A,FA105000905.A,FA795000995.A,FA315000995.A,FA205000995.A,FA087005995.A,FA265000905.A,FA885000005.A,FA155000005.A,FA115000005.A,FA105000005.A,FA795000005.A,FA315000005.A,FA215000005.A,FA265000005.A,FV158090185.A,FV118090105.A,FV108090105.A,FV798090185.A,FV318090185.A,FV218090185.A,FV268090185.A,FR158200095.A,FR112010005.A,FR108200005.A,FR798200005.A,FR318200005.A,FR218200005.A,FR265000005.A,FC152090005.A,FC112090205.A,FC102090085.A,FC792090095.A,FC312090095.A,FC212090095.A,FC262090095.A,FL152090005.A,FL112090205.A,FL102090085.A,FL792090095.A,FL312090095.A,FL212090095.A,FL262090095.A
1960,544642.00,45285.00,117108.00,282473.00,20652.00,44978.00,34146.00,59113.00,37826.00,14913.00,3619.00,186.00,2570.00,2242.00,0.00,-93.00,0.00,857.00,-3006.00,0.00,119241.00,25730.00,15069.00,40417.00,2027.00,21892.00,14107.00,67893.00,8174.00,11293.00,27560.00,1182.00,15138.00,4547.00,3233.00,1182.00,2051.00,4533.00,18692.00,-4958.00,750.00,2774.00,-7876.00,-4848.00,-1361.00,-3172.00,3843.00,28438.00,-4875.00,-9036.00,3710.00,-8507.00,-5887.00,-1462.00,15413.00,-886.00,-6960.00,950.00,69.00,-2737.00,1710.00,22560.00,10825.00,-4117.00,-115.00,965.00,-96.00,-1281.00,73557.00,9937.00,3928.00,4454.00,362.00,2744.00,-2743.00,2070262.00,398556.00,194827.00,17390.00,-132006.00,133386.00,-28549.00
1961,564280.00,48115.00,119685.00,290416.00,21815.00,47034.00,37216.00,61062.00,44371.00,15427.00,3728.00,-4705.00,2242.00,2509.00,0.00,-123.00,0.00,904.00,-3290.00,0.00,123508.00,25084.00,16079.00,40431.00,2015.00,24647.00,15252.00,70607.00,8496.00,11502.00,28564.00,1220.00,16011.00,4814.00,2974.00,1335.00,1639.00,5186.00,26036.00,-5912.00,2766.00,2933.00,-14738.00,-5899.00,-974.00,-4212.00,1114.00,28399.00,-5823.00,-2788.00,4148.00,-16264.00,-6558.00,-2701.00,5345.00,237.00,-2977.00,-2481.00,-2293.00,-2049.00,1501.00,115438.00,16989.00,-68190.00,-16363.00,2232.00,1946.00,552.00,162645.00,17226.00,-55617.00,-15115.00,-5670.00,5428.00,-2159.00,2232907.00,415782.00,139210.00,2275.00,-137676.00,138814.00,-30708.00
1962,605192.00,51871.00,123972.00,316795.00,22536.00,50098.00,39921.00,69356.00,46366.00,20735.00,4186.00,-5342.00,3411.00,2638.00,0.00,-126.00,0.00,1013.00,-3525.00,0.00,133475.00,26747.00,18298.00,43575.00,2257.00,26502.00,16097.00,74101.00,8846.00,11847.00,29824.00,1275.00,17148.00,5161.00,6101.00,1801.00,4300.00,3881.00,26639.00,-8252.00,3650.00,3205.00,-16303.00,-5057.00,-81.00,-3800.00,-1734.00,29382.00,-8148.00,-3815.00,3174.00,-16174.00,-6153.00,-1376.00,1242.00,574.00,-4495.00,2760.00,-70.00,7034.00,2424.00,14367.00,16495.00,16394.00,-226.00,4720.00,4463.00,-2739.00,59337.00,17069.00,32760.00,6720.00,-1705.00,18432.00,-4115.00,2292244.00,432851.00,171970.00,8995.00,-139381.00,157246.00,-34823.00
1963,640099.00,55160.00,127328.00,337808.00,23278.00,53132.00,43393.00,76186.00,46687.00,24496.00,3406.00,-2119.00,3717.00,2885.00,0.00,-88.00,0.00,1345.00,-4142.00,0.00,142101.00,28797.00,20208.00,46408.00,2249.00,26670.00,17769.00,78003.00,9288.00,12188.00,31340.00,1342.00,18316.00,5528.00,5621.00,1584.00,4037.00,6467.00,25177.00,-9603.00,6272.00,2498.00,-12343.00,-5533.00,-1521.00,-4947.00,-1500.00,30615.00,-9499.00,-4980.00,1228.00,-13041.00,-5823.00,-3075.00,14154.00,2170.00,-8606.00,-5187.00,-1763.00,-553.00,1843.00,56944.00,3448.00,-39247.00,-5608.00,1383.00,3160.00,1066.00,114900.00,5616.00,-23270.00,-7390.00,-3844.00,10466.00,-2038.00,2407144.00,438467.00,148700.00,1605.00,-143225.00,167712.00,-36861.00
1964,685798.00,58727.00,133472.00,364507.00,25569.00,56416.00,47107.00,83646.00,54842.00,27967.00,3393.00,-6862.00,4306.00,3305.00,0.00,-81.00,0.00,1497.00,-4721.00,0.00,153719.00,30670.00,21904.00,51821.00,2935.00,27115.00,19274.00,82378.00,9882.00,12708.00,33252.00,1434.00,19174.00,5929.00,4822.00,139.00,4683.00,7484.00,31714.00,-9336.00,5715.00,1892.00,-16926.00,-5576.00,-15.00,-7468.00,4077.00,42074.00,-9228.00,-9114.00,2410.00,-15945.00,-6120.00,-4562.00,18324.00,2387.00,-11763.00,-2958.00,189.00,-1317.00,6464.00,111041.00,17298.00,-67299.00,-2292.00,3119.00,3386.00,1344.00,180902.00,19685.00,-51014.00,-1858.00,-5051.00,11095.00,340.00,2588046.00,458152.00,97686.00,-253.00,-148276.00,178807.00,-36521.00
1965,742951.00,63002.00,140694.00,400731.00,27687.00,59279.00,51560.00,94909.00,58278.00,33487.00,4532.00,-5469.00,4082.00,3608.00,0.00,-81.00,0.00,1220.00,-4747.00,0.00,168259.00,32099.00,23209.00,61627.00,3462.00,26698.00,21165.00,87980.00,10662.00,13469.00,35828.00,1607.00,19970.00,6445.00,9247.00,2537.00,6710.00,5384.00,34226.00,-12277.00,1831.00,2677.00,-13888.00,-7185.00,774.00,-6158.00,9331.00,46311.00,-12128.00,-7993.00,2784.00,-13806.00,-5836.00,-4625.00,28212.00,3761.00,-11100.00,-3562.00,-1289.00,156.00,1586.00,114917.00,23131.00,-56836.00,-5404.00,4737.00,8739.00,-5925.00,197798.00,26891.00,-34368.00,-4434.00,-3241.00,17724.00,-10497.00,2785844.00,485043.00,63317.00,-4687.00,-151517.00,196531.00,-47018.00
1966,809913.00,68022.00,148980.00,440065.00,30126.00,65519.00,57200.00,101147.00,61357.00,36512.00,5059.00,-6956.00,5174.00,3886.00,0.00,-83.00,0.00,1341.00,-5144.00,0.00,184117.00,31164.00,23893.00,71889.00,3605.00,30088.00,23479.00,95293.00,11533.00,14460.00,39392.00,1786.00,21018.00,7105.00,13636.00,1643.00,11993.00,-1314.00,38893.00,-11076.00,-6935.00,3240.00,-18009.00,-7427.00,5122.00,-3808.00,9027.00,61016.00,-10930.00,-21070.00,3247.00,-16147.00,-7090.00,-2948.00,41703.00,3497.00,-7292.00,4451.00,-165.00,-2196.00,770.00,298.00,29999.00,98313.00,-8022.00,7022.00,13939.00,262.00,99472.00,33494.00,127616.00,1488.00,-1440.00,22062.00,-2776.00,2885317.00,518538.00,190934.00,-3199.00,-152957.00,218593.00,-49794.00
1967,858314.00,73406.00,153722.00,463175.00,33625.00,71258.00,63128.00,96912.00,72221.00,34576.00,4881.00,-19491.00,4726.00,3978.00,0.00,-85.00,0.00,1195.00,-5088.00,0.00,190494.00,31684.00,23398.00,73783.00,3969.00,31939.00,25722.00,103519.00,12445.00,15444.00,43452.00,1986.00,22418.00,7775.00,9865.00,2088.00,7777.00,74.00,50065.00,-10042.00,-3356.00,2897.00,-29976.00,-9514.00,3411.00,-3484.00,9012.00,58238.00,-9897.00,-12594.00,11908.00,-29527.00,-9116.00,-1992.00,22578.00,931.00,-7856.00,2926.00,6736.00,1725.00,1479.00,208255.00,23736.00,-135755.00,-81.00,11077.00,11677.00,8393.00,299076.00,24667.00,-108950.00,7726.00,-2873.00,23215.00,6388.00,3184393.00,543205.00,81984.00,4527.00,-155830.00,241808.00,-43406.00
1968,939293.00,79378.00,161734.00,510908.00,37594.00,78294.00,71386.00,101182.00,72074.00,33053.00,5531.00,-13737.00,4261.00,4088.00,0.00,-112.00,0.00,2865.00,-6841.00,0.00,207100.00,35861.00,26653.00,80234.00,5119.00,31106.00,28128.00,113324.00,13640.00,16599.00,48092.00,2272.00,24113.00,8609.00,9052.00,2351.00,6701.00,-1647.00,46851.00,-12405.00,-6264.00,2684.00,-22681.00,-9831.00,3179.00,-1532.00,2757.00,69763.00,-12237.00,-16591.00,-3154.00,-25804.00,-9220.00,-611.00,44881.00,3159.00,-8274.00,-10782.00,-1657.00,-2898.00,921.00,278282.00,41940.00,-90080.00,-19465.00,12824.00,18938.00,-2814.00,391149.00,45098.00,-65189.00,-24716.00,-5435.00,27142.00,-3425.00,3575541.00,588302.00,16795.00,-20189.00,-161265.00,268950.00,-46831.00
1969,1018273.00,87586.00,170310.00,554583.00,42371.00,83584.00,79840.00,108228.00,75030.00,28655.00,5545.00,-5108.00,4106.00,4625.00,0.00,-77.00,0.00,2297.00,-6843.00,-2.00,223931.00,38477.00,31222.00,89161.00,5531.00,30723.00,28818.00,124863.00,15235.00,18078.00,53484.00,2636.00,25776.00,9654.00,9173.00,1221.00,7952.00,-15.00,47916.00,-14365.00,-14564.00,2651.00,-12456.00,-9196.00,1617.00,-1602.00,3811.00,69921.00,-14145.00,-23840.00,-1797.00,-13199.00,-13128.00,7574.00,42110.00,135.00,-2546.00,3750.00,1136.00,-7340.00,4349.00,-46086.00,34825.00,195033.00,12409.00,18363.00,30954.00,-6899.00,66429.00,34960.00,221219.00,21704.00,12093.00,34563.00,-4152.00,3641970.00,623262.00,238014.00,1515.00,-149172.00,303513.00,-50983.00
