date,FA116902505.A,FA116300001.A,FA116902605.A,FA116025001.A,FA116020001.A,FA116401005.A,FA116240101.A,FA116402105.A,FA116140001.A,FA116402105.A,FA116130101.A,FA116150005.A,FA116130001.A,FA116122001.A,FA113192281.A,FA116112001.A,FA116140001.A,FA116403001.A,FA116012005.A,FA116012005.A,FA116006305.A,FA116012005.A,FA115440005.A,FA115050985.A,FA115019085.A,FA115013085.A,FA115012005.A,FA116300001.A,FA115020005.A,FA115000905.A,FA115000905.A,FA114090005.A,FA114000005.A,FA113020005.A,FA113030003.A,FA114022005.A,FA113061003.A,FA113062003.A,FA114023005.A,FA113066003.A,FA113065005.A,FA113081005.A,FA113034003.A,FA113092405.A,FA113076005.A,FA113096005.A,FA113070003.A,FA113093005.A,FA114190005.A,FA114123005.A,FA114141005.A,FA113168005.A,FA113169005.A,FA113165005.A,FA113181005.A,FA112090205.A,FA115114005.A,FA113196005.A,FA113170005.A,FA113178003.A,FA113193003.A,FA115000005.A,FV118090105.A,FV112010005.A,FV118090085.A,FR112010005.A,FR115035005.A,FR115035023.A,FR115035035.A,FR115015205.A,FR115012265.A,FR115013265.A,FR115013765.A,FR115020005.A,FR115114005.A,FR118200005.A,FC112090205.A,FL112000005.A,FL112010005.A,LM115035005.A,LM115035023.A,LM115035035.A,FL115015205.A,FL115012265.A,FL115013265.A,FL115013765.A,FL115020005.A,FL114090005.A,FL114000005.A,FL113020005.A,FL113030003.A,FL114022005.A,FL113061003.A,FL113062003.A,FL114023005.A,FL113066003.A,FL113065005.A,FL113081005.A,FL113034003.A,FL113092405.A,FL113076005.A,FL113096005.A,FL113070003.A,FL113093005.A,FL112100005.A,FL114190005.A,FL114123005.A,FL114141005.A,FL113168005.A,FL113169005.A,FL113165005.A,FL115114005.A,FL113196005.A,FL113170005.A,FL113178003.A,FL113193003.A,FL112090205.A
1960,117108.00,11293.00,105815.00,37331.00,34990.00,2341.00,9671.00,58813.00,266.00,58813.00,648.00,59195.00,4774.00,54416.00,4.00,0.00,266.00,266.00,0.00,0.00,0.00,0.00,0.00,4958.00,15069.00,10598.00,4471.00,11293.00,1182.00,-4958.00,-4958.00,-399.00,-693.00,-693.00,0.00,0.00,0.00,0.00,-223.00,-223.00,0.00,21.00,0.00,21.00,176.00,320.00,320.00,0.00,4476.00,4776.00,834.00,515.00,319.00,3942.00,-882.00,-887.00,5.00,582.00,582.00,0.00,0.00,-4875.00,-886.00,0.00,-886.00,10825.00,10669.00,9449.00,1221.00,402.00,-43.00,445.00,100.00,-347.00,2.00,10823.00,9937.00,469343.00,434725.00,349081.00,163600.00,185481.00,45490.00,2251.00,43239.00,5154.00,35000.00,34617.00,18044.00,18044.00,0.00,0.00,0.00,0.00,3202.00,3202.00,0.00,252.00,0.00,252.00,4566.00,8554.00,8554.00,0.00,469343.00,70786.00,55024.00,16282.00,8858.00,7424.00,38742.00,149.00,15614.00,15614.00,0.00,0.00,398556.00
1961,119685.00,11502.00,108183.00,36869.00,34470.00,2399.00,9509.00,61805.00,299.00,61805.00,651.00,62158.00,5287.00,56866.00,5.00,0.00,299.00,299.00,0.00,0.00,0.00,0.00,0.00,5912.00,16079.00,10632.00,5447.00,11502.00,1335.00,-5912.00,-5912.00,641.00,118.00,118.00,0.00,0.00,0.00,0.00,-72.00,-72.00,0.00,25.00,0.00,25.00,220.00,350.00,350.00,0.00,6464.00,6694.00,957.00,601.00,356.00,5737.00,246.00,235.00,11.00,-476.00,-476.00,0.00,0.00,-5823.00,237.00,0.00,237.00,16989.00,16586.00,9999.00,6587.00,59.00,-39.00,98.00,108.00,235.00,0.00,16989.00,17226.00,492795.00,457537.00,370084.00,176327.00,193757.00,45402.00,2305.00,43097.00,5480.00,36571.00,35258.00,18162.00,18162.00,0.00,0.00,0.00,0.00,3130.00,3130.00,0.00,276.00,0.00,276.00,4787.00,8904.00,8904.00,0.00,492795.00,77013.00,61717.00,17239.00,9459.00,7780.00,44478.00,160.00,15136.00,15136.00,0.00,0.00,415782.00
1962,123972.00,11847.00,112125.00,37808.00,35204.00,2604.00,9839.00,64479.00,312.00,64479.00,648.00,64815.00,5806.00,59004.00,5.00,0.00,312.00,312.00,0.00,0.00,0.00,0.00,0.00,8252.00,18298.00,11637.00,6661.00,11847.00,1801.00,-8252.00,-8252.00,-98.00,1.00,1.00,0.00,0.00,0.00,0.00,185.00,185.00,0.00,26.00,0.00,26.00,132.00,-442.00,-442.00,0.00,8050.00,7585.00,1572.00,1114.00,458.00,6013.00,578.00,574.00,4.00,-113.00,-113.00,0.00,0.00,-8148.00,574.00,0.00,574.00,16495.00,15955.00,9229.00,6726.00,265.00,-60.00,326.00,40.00,235.00,0.00,16495.00,17069.00,517340.00,482180.00,391707.00,189298.00,202409.00,46186.00,2347.00,43839.00,5680.00,38607.00,35160.00,18163.00,18163.00,0.00,0.00,0.00,0.00,3315.00,3315.00,0.00,301.00,0.00,301.00,4919.00,8462.00,8462.00,0.00,517340.00,84489.00,69302.00,18811.00,10573.00,8238.00,50491.00,164.00,15023.00,15023.00,0.00,0.00,432851.00
1963,127328.00,12188.00,115140.00,38766.00,35955.00,2811.00,10227.00,66147.00,313.00,66147.00,656.00,66490.00,6261.00,60224.00,5.00,0.00,313.00,313.00,0.00,0.00,0.00,0.00,0.00,9603.00,20208.00,12517.00,7691.00,12188.00,1584.00,-9603.00,-9603.00,-40.00,-145.00,-145.00,0.00,0.00,0.00,0.00,238.00,238.00,0.00,28.00,0.00,28.00,340.00,-501.00,-501.00,0.00,9459.00,8670.00,1982.00,1157.00,825.00,6688.00,2179.00,2173.00,6.00,-1390.00,-1390.00,0.00,0.00,-9499.00,2170.00,0.00,2170.00,3448.00,6772.00,-1875.00,8647.00,513.00,-20.00,533.00,157.00,-3993.00,2.00,3446.00,5616.00,530244.00,495127.00,405397.00,192067.00,213330.00,47574.00,2463.00,45111.00,5958.00,36198.00,35117.00,18018.00,18018.00,0.00,0.00,0.00,0.00,3553.00,3553.00,0.00,328.00,0.00,328.00,5258.00,7961.00,7961.00,0.00,530244.00,91777.00,77972.00,20793.00,11731.00,9063.00,57179.00,172.00,13633.00,13633.00,0.00,0.00,438467.00
1964,133472.00,12708.00,120765.00,40796.00,37904.00,2892.00,10488.00,69481.00,351.00,69481.00,716.00,69847.00,7141.00,62699.00,7.00,0.00,351.00,351.00,0.00,0.00,0.00,0.00,0.00,9336.00,21904.00,13485.00,8419.00,12708.00,139.00,-9336.00,-9336.00,908.00,102.00,102.00,0.00,0.00,0.00,0.00,226.00,226.00,0.00,35.00,0.00,35.00,400.00,145.00,145.00,0.00,10136.00,8296.00,1588.00,747.00,841.00,6708.00,2396.00,2388.00,8.00,-556.00,-556.00,0.00,0.00,-9228.00,2387.00,0.00,2387.00,17298.00,17688.00,6957.00,10731.00,607.00,-29.00,636.00,204.00,-1200.00,0.00,17298.00,19685.00,557678.00,521653.00,430762.00,204221.00,226541.00,49569.00,2582.00,46987.00,6186.00,35137.00,36024.00,18119.00,18119.00,0.00,0.00,0.00,0.00,3779.00,3779.00,0.00,362.00,0.00,362.00,5658.00,8106.00,8106.00,0.00,557678.00,99525.00,86267.00,22381.00,12477.00,9904.00,63886.00,180.00,13078.00,13078.00,0.00,0.00,458152.00
1965,140694.00,13469.00,127224.00,41903.00,38951.00,2952.00,10671.00,74651.00,408.00,74651.00,714.00,74957.00,7830.00,67119.00,8.00,0.00,408.00,408.00,0.00,0.00,0.00,0.00,0.00,12277.00,23209.00,15277.00,7932.00,13469.00,2537.00,-12277.00,-12277.00,642.00,104.00,104.00,0.00,0.00,0.00,0.00,261.00,261.00,0.00,51.00,0.00,51.00,402.00,-176.00,-176.00,0.00,12770.00,9327.00,2359.00,1569.00,790.00,6968.00,3772.00,3762.00,10.00,-328.00,-328.00,0.00,0.00,-12128.00,3761.00,0.00,3761.00,23131.00,19989.00,6559.00,13430.00,945.00,-83.00,1027.00,262.00,1936.00,1.00,23130.00,26891.00,593579.00,556912.00,458451.00,215228.00,243223.00,52389.00,2683.00,49706.00,6463.00,39609.00,36666.00,18223.00,18223.00,0.00,0.00,0.00,0.00,4040.00,4040.00,0.00,413.00,0.00,413.00,6060.00,7930.00,7930.00,0.00,593579.00,108535.00,95594.00,24741.00,14046.00,10695.00,70853.00,191.00,12750.00,12750.00,0.00,0.00,485043.00
1966,148980.00,14460.00,134521.00,44443.00,41050.00,3393.00,10455.00,79622.00,471.00,79622.00,756.00,79908.00,8593.00,71307.00,8.00,0.00,471.00,471.00,0.00,0.00,0.00,0.00,0.00,11076.00,23893.00,16431.00,7462.00,14460.00,1643.00,-11076.00,-11076.00,1051.00,-10.00,-10.00,0.00,0.00,0.00,0.00,-52.00,-52.00,0.00,52.00,0.00,52.00,500.00,561.00,561.00,0.00,11981.00,9684.00,3176.00,2250.00,926.00,6508.00,3499.00,3495.00,4.00,-1203.00,-1203.00,0.00,0.00,-10930.00,3497.00,0.00,3497.00,29999.00,27878.00,15132.00,12746.00,2408.00,-1.00,2409.00,227.00,-514.00,1.00,29998.00,33494.00,635559.00,597841.00,493570.00,234063.00,259507.00,56843.00,2848.00,53995.00,6690.00,40738.00,37718.00,18213.00,18213.00,0.00,0.00,0.00,0.00,3988.00,3988.00,0.00,466.00,0.00,466.00,6560.00,8491.00,8491.00,0.00,635559.00,117021.00,105278.00,27917.00,16296.00,11621.00,77361.00,196.00,11547.00,11547.00,0.00,0.00,518538.00
1967,153722.00,15444.00,138279.00,45153.00,41694.00,3459.00,11640.00,81486.00,508.00,81486.00,849.00,81827.00,9321.00,72496.00,10.00,0.00,508.00,508.00,0.00,0.00,0.00,0.00,0.00,10042.00,23398.00,16112.00,7286.00,15444.00,2088.00,-10042.00,-10042.00,1296.00,132.00,132.00,0.00,100.00,100.00,0.00,-116.00,-116.00,0.00,57.00,0.00,57.00,592.00,531.00,531.00,0.00,11193.00,10331.00,2518.00,1360.00,1158.00,7813.00,953.00,934.00,19.00,-91.00,-91.00,0.00,0.00,-9897.00,931.00,0.00,931.00,23736.00,22904.00,10054.00,12850.00,2399.00,33.00,2366.00,413.00,-1980.00,0.00,23736.00,24667.00,670487.00,631474.00,522958.00,247419.00,275539.00,60646.00,3037.00,57609.00,7023.00,40847.00,39013.00,18344.00,18344.00,0.00,100.00,100.00,0.00,3872.00,3872.00,0.00,523.00,0.00,523.00,7152.00,9022.00,9022.00,0.00,670487.00,127282.00,115611.00,30436.00,17657.00,12779.00,85176.00,215.00,11456.00,11456.00,0.00,0.00,543205.00
1968,161734.00,16599.00,145136.00,46816.00,43110.00,3707.00,11893.00,86427.00,483.00,86427.00,876.00,86820.00,10189.00,76621.00,11.00,0.00,483.00,483.00,0.00,0.00,0.00,0.00,0.00,12405.00,26653.00,16360.00,10292.00,16599.00,2351.00,-12405.00,-12405.00,-194.00,155.00,155.00,0.00,200.00,200.00,0.00,-20.00,-20.00,0.00,107.00,0.00,107.00,731.00,-1367.00,-1367.00,0.00,12043.00,10971.00,2258.00,1463.00,795.00,8713.00,3177.00,3159.00,18.00,-2105.00,-2105.00,0.00,0.00,-12237.00,3159.00,0.00,3159.00,41940.00,37481.00,22313.00,15168.00,3074.00,80.00,2994.00,336.00,1049.00,1.00,41939.00,45098.00,724469.00,685651.00,569262.00,275581.00,293681.00,64819.00,3367.00,61452.00,7322.00,44247.00,38819.00,18499.00,18499.00,0.00,300.00,300.00,0.00,3852.00,3852.00,0.00,630.00,0.00,630.00,7882.00,7655.00,7655.00,0.00,724469.00,136167.00,126582.00,32694.00,19120.00,13573.00,93888.00,234.00,9351.00,9351.00,0.00,0.00,588302.00
1969,170310.00,18078.00,152232.00,48641.00,44724.00,3917.00,12540.00,91051.00,517.00,91051.00,1124.00,91658.00,11732.00,79916.00,10.00,0.00,517.00,517.00,0.00,0.00,0.00,0.00,0.00,14365.00,31222.00,18520.00,12702.00,18078.00,1221.00,-14365.00,-14365.00,1975.00,79.00,79.00,0.00,200.00,200.00,0.00,160.00,-140.00,300.00,64.00,0.00,64.00,1017.00,455.00,455.00,0.00,16120.00,15318.00,4299.00,2747.00,1552.00,11019.00,161.00,139.00,22.00,642.00,642.00,0.00,0.00,-14145.00,135.00,0.00,135.00,34825.00,28492.00,14559.00,13933.00,3430.00,69.00,3362.00,468.00,2435.00,0.00,34825.00,34960.00,775415.00,734621.00,609003.00,297781.00,311222.00,69958.00,3755.00,66203.00,7757.00,47903.00,40794.00,18578.00,18578.00,0.00,500.00,500.00,0.00,4012.00,3712.00,300.00,695.00,0.00,695.00,8899.00,8110.00,8110.00,0.00,775415.00,152153.00,141905.00,36998.00,21874.00,15124.00,104907.00,256.00,9992.00,9992.00,0.00,0.00,623262.00
