date,FA706902505.A,FA706300081.A,FA706902605.A,FA706025005.A,FA706020001.A,FA706401001.A,FA706240101.A,FA706402101.A,FA706140005.A,FA706402101.A,FA706150105.A,FA706130101.A,FA706121101.A,FA703092281.A,FA706150005.A,FA706130001.A,FA706120005.A,FA706121001.A,FA706122001.A,FA703192281.A,FA706112001.A,FA706140005.A,FA706220001.A,FA706403001.A,FA706012005.A,FA706012005.A,FA706006385.A,FA706012005.A,FA705440083.A,FA705015085.A,FA705013081.A,FA706300081.A,FA705000995.A,FA705000995.A,FA704090005.A,FA704000005.A,FA703025005.A,FA713113003.A,FA403197033.A,FA704022005.A,FA703069175.A,FA703061105.A,FA703061705.A,FA703062005.A,FA703063005.A,FA704035005.A,FA704041005.A,FA703065005.A,FA703081005.A,FA703064105.A,FA703064205.A,FA703092405.A,FA763092000.A,FA713164003.A,FA763040005.A,FA703093005.A,FA704190005.A,FA704100005.A,FA703127005.A,FA703130205.A,FA704122005.A,FA763163005.A,FA703169175.A,FA704141005.A,FA703181105.A,FA763164103.A,FA753192003.A,FA703194005.A,FA703196005.A,FA705000005.A,FV708090185.A,FV702010095.A,FV708090085.A,FU707005045.A,FR702010095.A,FR705013665.A,FR705013265.A,FR705013765.A,FR703081085.A,FR703064105.A,FR703064205.A,FR763092000.A,FR703181105.A,FR763164103.A,FR753192003.A,FR703194005.A,FR708200005.A,FC702090095.A,FL702000095.A,FL702010095.A,FL705013665.A,FL705013265.A,FL705013765.A,FL704090005.A,FL704000005.A,FL703025005.A,FL713113003.A,FL403197033.A,FL704022005.A,FL703069175.A,FL703061105.A,FL703061705.A,FL703062005.A,FL703063005.A,FL704035005.A,FL704041005.A,FL703065005.A,FL703081005.A,LM703064105.A,LM703064205.A,FL703092405.A,FL763092000.A,FL713164003.A,FL763040005.A,FL703093005.A,FL702100005.A,FL704194005.A,FL704100005.A,FL703127005.A,FL703130205.A,FL704122005.A,FL763163005.A,FL703169175.A,FL704141005.A,FL703181105.A,LM763164103.A,FL753192003.A,FL703194005.A,FL703196005.A,FL702090095.A
2001,212666.00,26039.00,186627.00,95618.00,80614.00,15004.00,4965.00,86044.00,60372.00,86044.00,356164.00,351028.00,2338.00,2798.00,381836.00,323138.00,60200.00,60124.00,76.00,-1502.00,0.00,60372.00,32640.00,2972.00,24760.00,24760.00,24760.00,24760.00,0.00,4609.00,30648.00,26039.00,20151.00,20151.00,367453.00,9933.00,2939.00,-1567.00,8561.00,156999.00,1173.00,-20400.00,94807.00,7699.00,73720.00,145367.00,-35182.00,180549.00,18006.00,3396.00,9553.00,2841.00,1840.00,376.00,0.00,37148.00,422531.00,383638.00,63130.00,320508.00,2490.00,5655.00,-3165.00,37781.00,53061.00,8168.00,6428.00,38465.00,-54439.00,-55078.00,-62379.00,-296.00,13146.00,75229.00,867.00,4444.00,-3065.00,-511.00,-3853.00,-6411.00,-1717.00,4275.00,50633.00,54090.00,-3457.00,0.00,-53619.00,-91238.00,8146917.00,264285.00,153463.00,100392.00,10430.00,7882632.00,90469.00,47330.00,17478.00,25661.00,1759419.00,2400.00,180258.00,1013195.00,124995.00,438571.00,5403357.00,2719844.00,2683513.00,156379.00,40310.00,25082.00,33013.00,50601.00,7373.00,0.00,473008.00,8146917.00,8997137.00,5346580.00,757034.00,4589546.00,103068.00,98303.00,4765.00,1144411.00,1775879.00,943672.00,67207.00,765000.00,627199.00,-850220.00
2002,230112.00,26735.00,203377.00,106452.00,89229.00,17223.00,5247.00,91678.00,69019.00,91678.00,319980.00,314876.00,1945.00,3159.00,342639.00,267513.00,75041.00,74961.00,80.00,85.00,0.00,69019.00,37034.00,3107.00,28878.00,28878.00,28878.00,28878.00,0.00,3000.00,29735.00,26735.00,25878.00,25878.00,624121.00,7500.00,488.00,5063.00,1949.00,207357.00,-889.00,41013.00,149187.00,2474.00,15572.00,270210.00,-37534.00,307744.00,9058.00,1348.00,1975.00,1679.00,3049.00,1007.00,0.00,129996.00,699617.00,306262.00,-49768.00,356030.00,-917.00,-756.00,-161.00,95393.00,92760.00,5544.00,2106.00,85110.00,206119.00,-75496.00,10546.00,0.00,111920.00,101374.00,-2264.00,3271.00,-3900.00,-1635.00,-17626.00,-11086.00,-3915.00,-2625.00,-42305.00,-46297.00,3992.00,0.00,22415.00,61839.00,8801411.00,270380.00,160675.00,97460.00,12245.00,8531031.00,97969.00,47818.00,22541.00,27610.00,1966776.00,1511.00,221271.00,1162382.00,127469.00,454143.00,5674136.00,2682879.00,2991257.00,147812.00,30572.00,23142.00,34692.00,51025.00,8380.00,0.00,644338.00,8801411.00,9589792.00,5652842.00,707266.00,4945576.00,102151.00,97547.00,4604.00,1239804.00,1826334.00,902919.00,73305.00,850110.00,768661.00,-788381.00
2003,243868.00,27827.00,216041.00,116021.00,99051.00,16970.00,5654.00,94366.00,57477.00,94366.00,298078.00,292090.00,1941.00,4047.00,334967.00,243739.00,90463.00,90378.00,85.00,765.00,0.00,57477.00,38671.00,3320.00,15486.00,15486.00,15486.00,15486.00,0.00,2992.00,30819.00,27827.00,12494.00,12494.00,611287.00,-6455.00,133.00,517.00,-7105.00,173627.00,-828.00,5076.00,121312.00,11847.00,36220.00,364120.00,56111.00,308009.00,3419.00,1358.00,-6779.00,1863.00,6510.00,467.00,0.00,76576.00,578178.00,419404.00,47125.00,372279.00,6230.00,6467.00,-237.00,24627.00,40490.00,9074.00,4168.00,27248.00,87427.00,33109.00,4946.00,0.00,-15669.00,-20615.00,-2240.00,2995.00,-3178.00,-2057.00,21875.00,17105.00,4827.00,-57.00,268003.00,260281.00,7722.00,0.00,-248368.00,-227936.00,9438571.00,278988.00,167575.00,97585.00,13828.00,9159583.00,91514.00,47951.00,23058.00,20505.00,2140403.00,683.00,150347.00,1281694.00,139316.00,568363.00,6089656.00,2790390.00,3299266.00,173106.00,49035.00,21191.00,36555.00,57478.00,8847.00,0.00,664904.00,9438571.00,10454888.00,6072246.00,754391.00,5317855.00,108381.00,104014.00,4367.00,1280431.00,2134827.00,1172274.00,85195.00,877358.00,859003.00,-1016317.00
2004,247188.00,29265.00,217923.00,119061.00,101569.00,17492.00,6005.00,92857.00,82126.00,92857.00,304474.00,296258.00,1849.00,6367.00,315205.00,247621.00,64408.00,64308.00,100.00,3176.00,0.00,82126.00,42715.00,3524.00,35887.00,35887.00,35887.00,35887.00,0.00,4420.00,33685.00,29265.00,31467.00,31467.00,991441.00,-7559.00,-6423.00,985.00,-2121.00,62310.00,105.00,-27317.00,9429.00,8865.00,71228.00,688343.00,135963.00,552380.00,9283.00,-1422.00,-2349.00,1833.00,8154.00,3067.00,0.00,239064.00,1102909.00,571601.00,47624.00,523977.00,12593.00,12867.00,-274.00,110177.00,275706.00,5615.00,17901.00,252190.00,132832.00,-111468.00,-176583.00,-363.00,-33285.00,142935.00,13321.00,14599.00,150.00,-1428.00,40121.00,9861.00,2434.00,27826.00,146225.00,126647.00,19578.00,0.00,-92783.00,-233479.00,10427015.00,303201.00,187867.00,99641.00,15693.00,10123814.00,83955.00,41528.00,24043.00,18384.00,2222712.00,788.00,123030.00,1311123.00,148181.00,639590.00,6778000.00,2926354.00,3851646.00,222510.00,57474.00,21276.00,38388.00,93458.00,11914.00,0.00,816637.00,10427015.00,11676811.00,6669278.00,802015.00,5867263.00,120974.00,116881.00,4093.00,1390608.00,2556758.00,1304536.00,122674.00,1129548.00,939193.00,-1249796.00
2005,271011.00,30329.00,240682.00,128494.00,108436.00,20058.00,6310.00,105878.00,78563.00,105878.00,375059.00,372036.00,2346.00,677.00,402374.00,326466.00,72932.00,72783.00,149.00,2976.00,0.00,78563.00,55024.00,3822.00,19717.00,19717.00,19717.00,19717.00,0.00,811.00,31140.00,30329.00,18906.00,18906.00,962407.00,4333.00,8553.00,-5000.00,780.00,202398.00,-4.00,-7034.00,45981.00,18456.00,144999.00,710184.00,224958.00,485226.00,399.00,-863.00,-2984.00,2075.00,549.00,1622.00,0.00,45093.00,777864.00,574507.00,-25632.00,600139.00,13515.00,13506.00,9.00,128621.00,66669.00,8418.00,9355.00,48896.00,-5448.00,184543.00,153904.00,-707.00,-11026.00,-165637.00,14236.00,17523.00,-1820.00,-1467.00,18415.00,6311.00,1243.00,10860.00,-19612.00,-17767.00,-1845.00,0.00,52262.00,225883.00,11410465.00,326529.00,211181.00,98300.00,17048.00,11083936.00,88288.00,50081.00,19043.00,19164.00,2425110.00,784.00,115996.00,1357104.00,166637.00,784589.00,7488184.00,3151312.00,4336872.00,241324.00,62923.00,19535.00,40463.00,104867.00,13536.00,0.00,841030.00,11410465.00,12434378.00,7243785.00,776383.00,6467402.00,134489.00,130387.00,4102.00,1520829.00,2603815.00,1295187.00,130184.00,1178444.00,931460.00,-1023913.00
2006,300018.00,31140.00,268878.00,133756.00,113580.00,20176.00,6593.00,128529.00,78647.00,128529.00,452759.00,441329.00,2820.00,8610.00,502641.00,405072.00,93223.00,93086.00,137.00,4346.00,0.00,78647.00,54248.00,3957.00,20442.00,20442.00,20442.00,20442.00,0.00,5161.00,36301.00,31140.00,15281.00,15281.00,932431.00,1095.00,1631.00,-344.00,-192.00,151440.00,174.00,648.00,18704.00,25053.00,106861.00,780480.00,386225.00,394255.00,3151.00,-385.00,3481.00,-67.00,-1667.00,1789.00,8212.00,-11947.00,819436.00,596026.00,-43473.00,639499.00,29341.00,29556.00,-215.00,103686.00,129752.00,10165.00,13795.00,105792.00,-39369.00,112995.00,7195.00,0.00,-90519.00,-97714.00,10165.00,14455.00,-2506.00,-1784.00,13604.00,17291.00,3611.00,-7298.00,167226.00,175814.00,-8588.00,0.00,-143457.00,-115820.00,12346516.00,352218.00,235170.00,98785.00,18263.00,11994298.00,89383.00,51712.00,18699.00,18972.00,2569412.00,958.00,112324.00,1373942.00,191403.00,890785.00,8235072.00,3502752.00,4732320.00,258079.00,79828.00,26627.00,40396.00,95902.00,15325.00,93392.00,748960.00,12346516.00,13486249.00,7839811.00,732910.00,7106901.00,160804.00,159943.00,861.00,1624515.00,2956796.00,1481166.00,135391.00,1340239.00,904323.00,-1139733.00
2007,312561.00,31611.00,280950.00,139767.00,118687.00,21080.00,7036.00,134147.00,64597.00,134147.00,487364.00,474592.00,3132.00,9640.00,556914.00,447083.00,107125.00,106993.00,132.00,2706.00,0.00,64597.00,41146.00,4081.00,19370.00,19370.00,19370.00,19370.00,0.00,2510.00,34121.00,31611.00,16860.00,16860.00,1091150.00,7274.00,3285.00,2068.00,1921.00,139584.00,-532.00,10387.00,-115762.00,12581.00,232910.00,852959.00,557523.00,295436.00,48384.00,1434.00,3435.00,7620.00,32770.00,3125.00,10899.00,32050.00,995204.00,523626.00,18908.00,504718.00,24744.00,24820.00,-76.00,292445.00,164390.00,7527.00,-805.00,157668.00,-10001.00,95946.00,50049.00,0.00,-29037.00,-79086.00,-51.00,6459.00,-4203.00,-2307.00,30691.00,7500.00,1557.00,21634.00,-459071.00,-418673.00,-40398.00,0.00,489711.00,559130.00,13510127.00,365463.00,250928.00,95935.00,18600.00,13144664.00,96657.00,54997.00,20767.00,20893.00,2708996.00,426.00,122711.00,1258180.00,203984.00,1123695.00,9065899.00,4047275.00,5018624.00,337153.00,88762.00,31619.00,48016.00,150306.00,18450.00,104291.00,831668.00,13510127.00,14090730.00,8363437.00,740818.00,7622619.00,185548.00,184763.00,785.00,1916960.00,2662115.00,1070020.00,94188.00,1497907.00,962670.00,-580603.00
2008,304357.00,31863.00,272494.00,132890.00,111678.00,21212.00,8437.00,131167.00,132605.00,131167.00,408233.00,392934.00,2838.00,12461.00,406795.00,354277.00,50851.00,50635.00,216.00,1667.00,0.00,132605.00,15803.00,4204.00,112598.00,112598.00,155363.00,112598.00,-42765.00,3776.00,35639.00,31863.00,151587.00,151587.00,1198351.00,836564.00,2728.00,839233.00,-5397.00,117700.00,15259.00,-20804.00,142155.00,20432.00,-39342.00,179542.00,141280.00,38262.00,16965.00,851.00,2164.00,-6237.00,17561.00,2626.00,6449.00,41131.00,1116059.00,881310.00,140163.00,741147.00,88.00,53.00,35.00,350742.00,186121.00,12104.00,24752.00,149265.00,-302202.00,82292.00,-67316.00,-254.00,2233.00,69295.00,8280.00,11820.00,-1057.00,-2482.00,-34372.00,-55822.00,-12162.00,33611.00,-561563.00,-514294.00,-47269.00,0.00,535471.00,623518.00,14849431.00,387817.00,273075.00,96005.00,18737.00,14461614.00,933221.00,57725.00,860000.00,15496.00,2829525.00,15685.00,101907.00,1400335.00,224416.00,1087182.00,9202418.00,4188244.00,5014174.00,319746.00,33791.00,21622.00,41779.00,201478.00,21076.00,110740.00,1065964.00,14849431.00,14806516.00,9244747.00,880981.00,8363766.00,185304.00,184816.00,488.00,2267702.00,2286673.00,567830.00,71671.00,1647172.00,822090.00,42915.00
2009,282114.00,32075.00,250039.00,147261.00,125270.00,21991.00,9391.00,93387.00,178719.00,93387.00,410551.00,393654.00,1931.00,14966.00,325219.00,277022.00,47303.00,47074.00,229.00,894.00,0.00,178719.00,2662.00,4313.00,171744.00,171744.00,189766.00,171744.00,-18022.00,-53.00,32022.00,32075.00,189819.00,189819.00,-699206.00,114586.00,-2803.00,116988.00,401.00,117237.00,-15685.00,94735.00,172620.00,3385.00,-137818.00,-969760.00,-790387.00,-179373.00,24011.00,6280.00,13614.00,323.00,-770.00,4564.00,756.00,13964.00,-384669.00,265351.00,109692.00,155659.00,-28346.00,-28472.00,126.00,-875503.00,121440.00,11639.00,16587.00,93214.00,132389.00,-314537.00,-711686.00,0.00,-207330.00,504356.00,-29141.00,-16234.00,-7532.00,-5376.00,96681.00,23526.00,12203.00,60952.00,5632.00,-13831.00,19463.00,0.00,61908.00,-460012.00,13928375.00,374192.00,262651.00,92060.00,19481.00,13554183.00,1047807.00,54922.00,976988.00,15897.00,2944356.00,0.00,196642.00,1579867.00,227801.00,940046.00,8172594.00,3403657.00,4768937.00,440438.00,63597.00,47438.00,42102.00,261660.00,25640.00,111496.00,837492.00,13928375.00,14345472.00,9510082.00,990671.00,8519411.00,176958.00,176344.00,614.00,1392199.00,2475929.00,565638.00,107721.00,1802570.00,790304.00,-417097.00
2010,261165.00,31773.00,229392.00,151033.00,128315.00,22718.00,9443.00,68916.00,180711.00,68916.00,412541.00,388695.00,2123.00,21723.00,300746.00,243870.00,54108.00,53892.00,216.00,2768.00,0.00,180711.00,18697.00,4472.00,157542.00,157542.00,157542.00,157542.00,0.00,-4622.00,27151.00,31773.00,162164.00,162164.00,-193156.00,-12632.00,-2200.00,-8936.00,-1496.00,146106.00,0.00,102994.00,138492.00,29339.00,-124719.00,-258514.00,-101328.00,-157186.00,-7216.00,-1723.00,-5831.00,-3220.00,2674.00,884.00,4489.00,-65389.00,-169328.00,161660.00,81308.00,80352.00,-69309.00,-49160.00,-20149.00,-239039.00,26125.00,11911.00,12367.00,1847.00,-48765.00,-23828.00,-219557.00,0.00,-33565.00,185992.00,-8670.00,-1513.00,-3609.00,-3549.00,32381.00,11733.00,4927.00,15721.00,59454.00,59524.00,-70.00,0.00,-35743.00,-97758.00,14068789.00,371399.00,261328.00,90937.00,19134.00,13697390.00,1035175.00,52722.00,968052.00,14401.00,3070720.00,0.00,299636.00,1718061.00,257140.00,795883.00,8292479.00,3709430.00,4583049.00,465603.00,73607.00,46535.00,38882.00,280055.00,26524.00,115985.00,717428.00,14068789.00,14583644.00,9667616.00,1071976.00,8595640.00,490078.00,377069.00,113009.00,1153160.00,2561508.00,637073.00,120018.00,1804417.00,711282.00,-514855.00
