date,FA526902505.A,FA526300081.A,FA526902605.A,FA526025005.A,FA526020001.A,FA526401001.A,FA526240101.A,FA526402101.A,FA526140005.A,FA526402101.A,FA526150105.A,FA526130101.A,FA526121101.A,FA523092281.A,FA526150005.A,FA526130001.A,FA526120005.A,FA526121001.A,FA526122001.A,FA523192281.A,FA526112001.A,FA526140005.A,FA526220001.A,FA526403001.A,FA526012005.A,FA526012005.A,FA526006385.A,FA526012005.A,FA525440083.A,FA525015085.A,FA525013081.A,FA526300081.A,FA525000995.A,FA525000995.A,FA524090005.A,FA523020005.A,FA524022005.A,FA523069105.A,FA523061105.A,FA523061705.A,FA523062005.A,FA523063005.A,FA524035005.A,FA524041005.A,FA523065005.A,FA523081005.A,FA523064105.A,FA523064205.A,FA523034005.A,FA523092405.A,FA523092005.A,FA543077073.A,FA523096005.A,FA524190005.A,FA673090543.A,FA524141005.A,FA523181105.A,FA523164105.A,FA523192005.A,FA523194735.A,FA523152005.A,FA523196105.A,FA525000005.A,FV528090185.A,FV522010095.A,FV528090085.A,FU527005045.A,FR522010095.A,FR525013665.A,FR525013265.A,FR525013765.A,FR523081005.A,FR523064105.A,FR523064205.A,FR523092005.A,FR523181085.A,FR523164105.A,FR523192005.A,FR543150005.A,FR523194735.A,FR528200005.A,FC522090095.A,FL522000095.A,FL522010095.A,FL525013665.A,FL525013265.A,FL525013765.A,FL524090005.A,FL523020005.A,FL524022005.A,FL523069105.A,FL523061105.A,FL523061705.A,FL523062005.A,FL523063005.A,FL524035005.A,FL524041005.A,FL523065005.A,FL523081005.A,LM523064105.A,LM523064205.A,FL523034005.A,FL523092405.A,FL523092005.A,FL543077073.A,FL523096005.A,FL522100005.A,FL524194005.A,FL673090543.A,FL524141005.A,FL523181105.A,LM523164105.A,FL523192005.A,FL523194735.A,FL523152005.A,FL523196105.A,FL522090095.A
2001,215122.00,18553.00,196569.00,91613.00,76109.00,15504.00,14026.00,90930.00,22899.00,90930.00,203663.00,191303.00,9147.00,3213.00,271694.00,253795.00,18916.00,13704.00,5212.00,-1017.00,0.00,22899.00,11138.00,20914.00,-9153.00,-9153.00,-16890.00,-9153.00,7737.00,4575.00,23128.00,18553.00,-21465.00,-21465.00,219906.00,41305.00,119655.00,-25880.00,-477.00,28264.00,-10702.00,128450.00,13262.00,5939.00,7323.00,24098.00,-6764.00,23110.00,7963.00,-89.00,-122.00,-443.00,22029.00,232274.00,15315.00,3572.00,4674.00,-390.00,6431.00,-1367.00,176630.00,32083.00,-12368.00,45101.00,-125.00,36130.00,-9097.00,2098.00,3592.00,-1266.00,-229.00,-137375.00,-41434.00,-95583.00,-358.00,-103649.00,-24320.00,-5040.00,-74289.00,0.00,-31629.00,-3417.00,4259340.00,179826.00,108385.00,46119.00,25322.00,4079514.00,49934.00,2250966.00,64479.00,115438.00,347732.00,192527.00,1530790.00,360159.00,115261.00,244898.00,1151764.00,379671.00,656524.00,57460.00,276.00,57833.00,19117.00,247574.00,4259340.00,4333455.00,27191.00,6053.00,842631.00,721846.00,105152.00,15633.00,3285973.00,171607.00,-74115.00
2002,181396.00,19890.00,161506.00,93575.00,77510.00,16065.00,15136.00,52795.00,9024.00,52795.00,211423.00,197270.00,9042.00,5111.00,255194.00,232312.00,22823.00,16690.00,6133.00,59.00,0.00,9024.00,13139.00,-5581.00,1466.00,1466.00,1466.00,1466.00,0.00,2192.00,22082.00,19890.00,-726.00,-726.00,331472.00,11251.00,267671.00,6949.00,45867.00,96372.00,10353.00,108130.00,13578.00,6478.00,7100.00,45823.00,12507.00,8282.00,10699.00,219.00,14116.00,886.00,-7737.00,282624.00,19954.00,13917.00,15060.00,-295.00,11401.00,3954.00,217603.00,16090.00,48848.00,100228.00,0.00,50653.00,-49574.00,1895.00,3128.00,-823.00,-411.00,-140512.00,-58926.00,-100838.00,19252.00,-155409.00,-63729.00,-3633.00,-88047.00,0.00,16792.00,118485.00,4455573.00,185865.00,111033.00,46280.00,28552.00,4269708.00,61185.00,2518637.00,71428.00,161305.00,444104.00,202880.00,1638920.00,373737.00,121739.00,251998.00,1057075.00,333252.00,563968.00,68159.00,495.00,91201.00,20003.00,239071.00,4455573.00,4411203.00,47145.00,19970.00,790329.00,657822.00,112920.00,19587.00,3373188.00,180571.00,44370.00
2003,200699.00,21558.00,179141.00,98096.00,82383.00,15713.00,16982.00,64063.00,17654.00,64063.00,206425.00,191635.00,8039.00,6751.00,252834.00,231789.00,20639.00,14720.00,5919.00,406.00,0.00,17654.00,26376.00,-26959.00,18237.00,18237.00,18237.00,18237.00,0.00,4095.00,25653.00,21558.00,14142.00,14142.00,336976.00,20651.00,243335.00,-19820.00,5135.00,20231.00,47404.00,190385.00,8960.00,-2067.00,11027.00,36843.00,-4484.00,48678.00,-12443.00,652.00,4440.00,917.00,26270.00,278649.00,21229.00,4874.00,1802.00,183.00,-2202.00,3821.00,215912.00,34832.00,58327.00,-6888.00,0.00,-51073.00,-44185.00,1474.00,2753.00,-637.00,-643.00,226883.00,78019.00,145505.00,3359.00,283072.00,157836.00,4118.00,121118.00,0.00,-54715.00,-43366.00,5026617.00,194363.00,113700.00,48047.00,32616.00,4832254.00,81836.00,2761972.00,51608.00,166440.00,464335.00,250284.00,1829305.00,382697.00,119672.00,263025.00,1320801.00,406787.00,758151.00,55716.00,1147.00,99000.00,20920.00,264028.00,5026617.00,5025613.00,68374.00,24844.00,954085.00,815841.00,114836.00,23408.00,3765058.00,213252.00,1004.00
2004,254164.00,23461.00,230703.00,103952.00,87167.00,16785.00,18909.00,107842.00,68901.00,107842.00,219166.00,199340.00,11889.00,7937.00,258107.00,237499.00,19114.00,12963.00,6151.00,1494.00,0.00,68901.00,31476.00,-13095.00,50520.00,50520.00,34338.00,50520.00,16182.00,2712.00,26173.00,23461.00,31626.00,31626.00,329152.00,-2701.00,234906.00,-11924.00,22021.00,4929.00,47587.00,172293.00,16466.00,3737.00,12729.00,59831.00,-11239.00,58076.00,1528.00,557.00,10909.00,1554.00,19096.00,250532.00,19565.00,856.00,-2827.00,-21260.00,15962.00,2471.00,218464.00,14474.00,78620.00,16441.00,-108.00,-30445.00,-46994.00,10589.00,10241.00,643.00,-295.00,128374.00,44330.00,87475.00,-3431.00,128709.00,61519.00,-2777.00,69967.00,0.00,10254.00,61033.00,5498807.00,209395.00,123072.00,50195.00,36128.00,5289412.00,79135.00,2996878.00,39684.00,188461.00,469264.00,297871.00,2001598.00,399163.00,123409.00,275754.00,1509006.00,439878.00,903702.00,57244.00,1704.00,106478.00,22474.00,282756.00,5498807.00,5436770.00,87939.00,25700.00,1010000.00,856100.00,128021.00,25879.00,4084587.00,228544.00,62037.00
2005,269942.00,24682.00,245260.00,108305.00,89815.00,18490.00,19730.00,117225.00,61046.00,117225.00,233448.00,220173.00,12480.00,795.00,289627.00,264711.00,23716.00,17121.00,6595.00,1200.00,0.00,61046.00,32584.00,-21321.00,49783.00,49783.00,22059.00,49783.00,27724.00,-344.00,24338.00,24682.00,22403.00,22403.00,227420.00,-10380.00,171579.00,517.00,13858.00,17208.00,47790.00,92206.00,17109.00,4670.00,12439.00,35997.00,9183.00,19384.00,-4644.00,-124.00,12198.00,974.00,12141.00,185459.00,15093.00,8004.00,-855.00,-10814.00,211.00,9748.00,181149.00,-17932.00,41961.00,-1905.00,-172.00,-21291.00,-19558.00,11636.00,11638.00,-252.00,249.00,81242.00,12866.00,64735.00,3641.00,79671.00,29552.00,-2309.00,52428.00,0.00,13207.00,33361.00,5818362.00,221275.00,134200.00,49791.00,37284.00,5597087.00,68755.00,3162219.00,40201.00,202319.00,486472.00,345661.00,2087566.00,416272.00,128079.00,288193.00,1626245.00,461927.00,987821.00,52600.00,1580.00,122317.00,22369.00,301227.00,5818362.00,5722964.00,103032.00,32104.00,1036388.00,874838.00,125923.00,35627.00,4336582.00,214858.00,95398.00
2006,286726.00,25174.00,261552.00,113936.00,95283.00,18653.00,20442.00,127174.00,57972.00,127174.00,265578.00,240172.00,15295.00,10111.00,334780.00,309011.00,23604.00,17234.00,6370.00,2165.00,0.00,57972.00,45295.00,-39947.00,52624.00,52624.00,52624.00,52624.00,0.00,-995.00,24179.00,25174.00,53619.00,53619.00,235903.00,17218.00,83366.00,4871.00,-4456.00,12909.00,26135.00,43907.00,28061.00,9000.00,19061.00,61939.00,-33169.00,74449.00,16736.00,25.00,3898.00,471.00,44848.00,189795.00,11982.00,2909.00,11653.00,-28545.00,37500.00,2698.00,129443.00,33808.00,46108.00,-52485.00,0.00,-44974.00,7511.00,11163.00,10316.00,297.00,551.00,188243.00,53659.00,135355.00,-771.00,266871.00,139844.00,7809.00,119218.00,0.00,-67465.00,-67326.00,6253137.00,232009.00,144296.00,49727.00,37986.00,6021128.00,85973.00,3210629.00,45072.00,197863.00,499381.00,371796.00,2096517.00,444333.00,137079.00,307254.00,1911383.00,517373.00,1197625.00,69336.00,1605.00,125444.00,22840.00,345970.00,6253137.00,6225065.00,115014.00,35013.00,1195694.00,986137.00,171232.00,38325.00,4621813.00,257531.00,28072.00
2007,308848.00,25635.00,283213.00,118151.00,99091.00,19060.00,21093.00,143969.00,73750.00,143969.00,294977.00,267411.00,17412.00,10154.00,365196.00,339346.00,24511.00,18115.00,6396.00,1339.00,0.00,73750.00,42440.00,-7592.00,38902.00,38902.00,38902.00,38902.00,0.00,361.00,25996.00,25635.00,38541.00,38541.00,227615.00,15068.00,53116.00,9939.00,-55999.00,9315.00,40883.00,48978.00,38776.00,15087.00,23689.00,89056.00,-25832.00,77056.00,13768.00,632.00,23432.00,1012.00,30587.00,151826.00,13373.00,12712.00,-32452.00,-43859.00,6074.00,5333.00,129473.00,28720.00,75789.00,15766.00,0.00,-21482.00,-37248.00,5699.00,6011.00,-569.00,258.00,86759.00,17030.00,71921.00,-2192.00,-168205.00,-192838.00,-31968.00,56601.00,0.00,260663.00,315331.00,6574557.00,238873.00,150761.00,48933.00,39179.00,6335684.00,101041.00,3263745.00,55011.00,141864.00,508696.00,412679.00,2145495.00,483109.00,152166.00,330943.00,2087198.00,508571.00,1346602.00,83104.00,2237.00,146684.00,23852.00,376739.00,6574557.00,6231154.00,128387.00,47725.00,938436.00,749440.00,145338.00,43658.00,4828701.00,287905.00,343403.00
2008,258241.00,26684.00,231557.00,119511.00,99272.00,20239.00,21419.00,90627.00,27861.00,90627.00,301519.00,273755.00,19201.00,8563.00,364285.00,342045.00,21518.00,15461.00,6057.00,722.00,0.00,27861.00,20712.00,31512.00,-24363.00,-24363.00,-21545.00,-24363.00,-2818.00,759.00,27443.00,26684.00,-22304.00,-22304.00,154105.00,9640.00,-40991.00,2383.00,29497.00,-28240.00,16314.00,-60945.00,42735.00,26296.00,16439.00,110886.00,62147.00,-12377.00,48693.00,966.00,11457.00,3155.00,28680.00,131755.00,-6196.00,19576.00,4555.00,-10317.00,27365.00,-12493.00,154770.00,-40950.00,22350.00,168383.00,-63.00,123792.00,-44654.00,10302.00,9234.00,863.00,205.00,-674969.00,-169284.00,-475110.00,-30575.00,-831876.00,-386377.00,-61256.00,-384243.00,0.00,167209.00,314047.00,6070172.00,250096.00,159414.00,49490.00,41192.00,5820076.00,110681.00,3222754.00,57394.00,171361.00,480456.00,428993.00,2084550.00,525844.00,178462.00,347382.00,1523115.00,401434.00,859115.00,131797.00,3203.00,127566.00,27007.00,410675.00,6070172.00,5412722.00,122191.00,67301.00,495358.00,352746.00,111447.00,31165.00,4460010.00,267862.00,657450.00
2009,285688.00,27630.00,258058.00,115982.00,97371.00,18611.00,22105.00,119971.00,55571.00,119971.00,273076.00,251549.00,12227.00,9300.00,337476.00,325746.00,11304.00,5380.00,5924.00,426.00,0.00,55571.00,24998.00,-4863.00,35436.00,35436.00,40887.00,35436.00,-5451.00,116.00,27746.00,27630.00,40771.00,40771.00,150932.00,-32370.00,202544.00,2231.00,50653.00,7701.00,13523.00,128436.00,-27092.00,-10257.00,-16835.00,34346.00,-4122.00,45469.00,-24599.00,-323.00,17921.00,-4922.00,-21574.00,21828.00,-34130.00,-6578.00,16579.00,-6226.00,13512.00,9293.00,107153.00,-61196.00,129104.00,21099.00,0.00,-67234.00,-88333.00,-8368.00,-7314.00,-687.00,-368.00,235615.00,12716.00,215729.00,7170.00,235544.00,49443.00,9095.00,177006.00,0.00,-8297.00,53689.00,6445904.00,241591.00,151726.00,47288.00,42577.00,6204313.00,78311.00,3437850.00,59625.00,222014.00,488157.00,442516.00,2225538.00,486200.00,155653.00,330547.00,1793076.00,410028.00,1120313.00,107198.00,2880.00,152657.00,22085.00,386791.00,6445904.00,5734765.00,88061.00,60723.00,570475.00,395963.00,134054.00,40458.00,4806854.00,208652.00,711139.00
2010,269236.00,27359.00,241877.00,118675.00,99534.00,19141.00,22255.00,100947.00,65176.00,100947.00,287314.00,248028.00,27884.00,11402.00,323085.00,304627.00,17133.00,13452.00,3681.00,1325.00,0.00,65176.00,28856.00,-8393.00,44713.00,44713.00,44713.00,44713.00,0.00,-4269.00,23090.00,27359.00,48982.00,48982.00,160646.00,6001.00,164609.00,-10802.00,26372.00,3571.00,18202.00,127266.00,-9192.00,-265.00,-8927.00,5949.00,-12593.00,63115.00,-24112.00,-84.00,-20377.00,2656.00,-9377.00,164017.00,-9650.00,-4822.00,13852.00,-17517.00,9135.00,22234.00,154483.00,10154.00,-3371.00,-94433.00,0.00,-42080.00,52353.00,235.00,226.00,190.00,-181.00,178858.00,39589.00,126199.00,13070.00,164177.00,42498.00,11853.00,109826.00,0.00,14916.00,-34804.00,6765528.00,237192.00,149582.00,46349.00,41261.00,6528336.00,84312.00,3602459.00,48823.00,248386.00,491728.00,460718.00,2352804.00,477008.00,155388.00,321620.00,1977883.00,437024.00,1309627.00,83086.00,2796.00,145350.00,24741.00,361933.00,6765528.00,6089193.00,78411.00,55901.00,638678.00,420944.00,155042.00,62692.00,5106032.00,210171.00,676335.00
