date,FA596902505.A,FA596300081.A,FA596902605.A,FA596025005.A,FA596020001.A,FA596401001.A,FA596240101.A,FA596402101.A,FA596140005.A,FA596402101.A,FA596150105.A,FA596130101.A,FA596121101.A,FA593092281.A,FA596150005.A,FA596130001.A,FA596120005.A,FA596121001.A,FA596122001.A,FA593192281.A,FA596112001.A,FA596140005.A,FA596220001.A,FA596403105.A,FA596012005.A,FA596012005.A,FA596006385.A,FA596012005.A,FA595440083.A,FA595015085.A,FA595013081.A,FA596300081.A,FA595000995.A,FA596403105.A,FA596403115.A,FA596403125.A,FA596403133.A,FA596403143.A,FA596403153.A,FA596403013.A,FA596403163.A,FA596403023.A,FA596403033.A,FA596403043.A,FA596403053.A,FA595000995.A,FA594090005.A,FA594000005.A,FA593020005.A,FA593030005.A,FA594022005.A,FA593069105.A,FA593061105.A,FA593061705.A,FA223062043.A,FA593063005.A,FA594035005.A,FA592051005.A,FA593065005.A,FA593081005.A,FA593064105.A,FA593064205.A,FA593034005.A,FA593052025.A,FA593093005.A,FA594190005.A,FA595000005.A,FV598090185.A,FV592010095.A,FV598090085.A,FU597005045.A,FR592010095.A,FR595013665.A,FR595013265.A,FR595013765.A,FR594090085.A,FR593064105.A,FR593064205.A,FR593052025.A,FR594190005.A,FR598200005.A,FC592090095.A,FL592000095.A,FL592010095.A,FL595013665.A,FL595013265.A,FL595013765.A,FL594090005.A,FL594000005.A,FL593020005.A,FL593030005.A,FL594022005.A,FL593069105.A,FL593061105.A,FL593061705.A,FL223062043.A,FL593063005.A,FL594035005.A,FL592051005.A,FL593065005.A,FL593081005.A,LM593064105.A,LM593064205.A,FL593034005.A,FL593052025.A,FL593093005.A,FL592000095.A,FL594190005.A,FL592090095.A
2001,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,308968.00,248949.00,60019.00,0.00,308968.00,248949.00,60019.00,60019.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,781504.00,474584.00,244656.00,64286.00,180347.00,14705.00,308969.00,2049.00,525064.00,153318.00,103122.00,0.00,324539.00,-35569.00,704.00,-36273.00,-19243.00,-3677.00,36487.00,4324.00,-56.00,-56321.00,-18065.00,-14743.00,-3322.00,291369.00,219091.00,74319.00,-2041.00,149716.00,-43669.00,324646.00,-108.00,0.00,0.00,108.00,108.00,106.00,107.00,-2.00,0.00,-323133.00,-302634.00,-266562.00,246064.00,-320828.00,-2199.00,-2199.00,8686060.00,3554.00,3470.00,54.00,30.00,8682506.00,83894.00,21346.00,62548.00,2038411.00,72550.00,1065012.00,377947.00,1651.00,521251.00,82359.00,51625.00,30734.00,4613164.00,3094782.00,1416372.00,102010.00,1734308.00,130370.00,8686060.00,8772794.00,-86734.00
2002,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,331285.00,270293.00,60992.00,0.00,331285.00,270293.00,60992.00,60992.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,824120.00,494819.00,290541.00,31716.00,187525.00,14963.00,331285.00,1984.00,541609.00,169457.00,113054.00,0.00,323584.00,-2292.00,1697.00,-3989.00,-21776.00,-2679.00,33619.00,-2633.00,-793.00,-49290.00,-4847.00,-5548.00,701.00,138629.00,27419.00,102715.00,8495.00,210483.00,3387.00,323616.00,-32.00,0.00,0.00,32.00,32.00,100.00,102.00,-2.00,0.00,-261037.00,-526431.00,-191556.00,456950.00,-266152.00,5215.00,5215.00,8773573.00,3686.00,3610.00,48.00,28.00,8769887.00,81602.00,23043.00,58559.00,2016635.00,69871.00,1098631.00,375314.00,858.00,471961.00,77512.00,46077.00,31435.00,4033806.00,2595770.00,1327531.00,110505.00,2426575.00,133757.00,8773573.00,8855092.00,-81519.00
2003,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,345733.00,280855.00,64878.00,0.00,345733.00,280855.00,64878.00,64878.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,859094.00,515337.00,339139.00,-878.00,192183.00,15107.00,345733.00,1976.00,541948.00,191201.00,125945.00,0.00,484161.00,2815.00,992.00,1823.00,123420.00,-6928.00,33906.00,80845.00,3528.00,12069.00,-2959.00,-2172.00,-787.00,54283.00,47972.00,10213.00,-3902.00,304524.00,2078.00,484198.00,-38.00,0.00,0.00,38.00,38.00,96.00,98.00,0.00,-2.00,416658.00,823822.00,295122.00,-702287.00,419018.00,-2265.00,-2265.00,9679875.00,3819.00,3751.00,44.00,24.00,9676056.00,84417.00,24035.00,60382.00,2140055.00,62943.00,1132537.00,456159.00,4386.00,484030.00,74553.00,43905.00,30648.00,5207033.00,3467564.00,1632866.00,106603.00,2034163.00,135835.00,9679875.00,9763659.00,-83784.00
2004,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,357190.00,279790.00,77400.00,0.00,357190.00,279790.00,77400.00,77400.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,913789.00,558690.00,331078.00,36951.00,207725.00,17064.00,357190.00,2091.00,590760.00,201166.00,121863.00,0.00,483519.00,-1052.00,-764.00,-288.00,68684.00,-9992.00,40770.00,7003.00,-1847.00,32750.00,-12675.00,-7061.00,-5614.00,130566.00,32020.00,92776.00,5770.00,267346.00,30650.00,483778.00,-259.00,0.00,0.00,259.00,259.00,366.00,365.00,2.00,0.00,168767.00,348548.00,143092.00,-322873.00,166874.00,2259.00,2259.00,10630070.00,4444.00,4372.00,46.00,26.00,10625626.00,83365.00,23271.00,60094.00,2208739.00,52951.00,1173307.00,463162.00,2539.00,516780.00,61878.00,36844.00,25034.00,5829239.00,3848132.00,1868734.00,112373.00,2275920.00,166485.00,10630070.00,10711595.00,-81525.00
2005,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,369685.00,278975.00,90710.00,0.00,369685.00,278975.00,90710.00,90710.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,955302.00,587945.00,347398.00,36130.00,222883.00,18466.00,369685.00,2328.00,628527.00,200533.00,126242.00,0.00,460818.00,8709.00,-6524.00,15233.00,123492.00,-4272.00,54578.00,-30205.00,-892.00,104283.00,-9591.00,-7807.00,-1784.00,75326.00,-9203.00,65813.00,18716.00,223289.00,39593.00,461031.00,-213.00,0.00,0.00,213.00,213.00,466.00,462.00,2.00,2.00,240878.00,165285.00,300555.00,-224962.00,247893.00,-6549.00,-6549.00,11369461.00,5123.00,5047.00,48.00,28.00,11364338.00,92074.00,16747.00,75327.00,2319256.00,48679.00,1214910.00,432957.00,1647.00,621063.00,52287.00,29037.00,23250.00,6370405.00,4004214.00,2235102.00,131089.00,2324238.00,206078.00,11369461.00,11457535.00,-88074.00
2006,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,390502.00,284943.00,105559.00,0.00,390502.00,284943.00,105559.00,105559.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1018656.00,630679.00,370330.00,34873.00,247328.00,21852.00,390502.00,2525.00,706902.00,186805.00,124949.00,0.00,484349.00,7160.00,-2394.00,9554.00,182623.00,2232.00,56294.00,23190.00,-42.00,100949.00,-1317.00,-2914.00,1597.00,-39031.00,-119670.00,63871.00,16768.00,295386.00,39528.00,484472.00,-123.00,0.00,0.00,123.00,123.00,422.00,420.00,2.00,0.00,345291.00,526924.00,311562.00,-493195.00,375688.00,-29975.00,-29975.00,12185541.00,5668.00,5592.00,50.00,26.00,12179873.00,72844.00,20610.00,52234.00,2476707.00,66954.00,1280190.00,373680.00,1605.00,754278.00,53793.00,6516.00,47277.00,6654179.00,3877033.00,2575229.00,201917.00,2329026.00,593324.00,12185541.00,12303590.00,-118049.00
2007,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,417980.00,296044.00,121936.00,0.00,417980.00,296044.00,121936.00,121936.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1087265.00,672038.00,389546.00,39211.00,267193.00,23912.00,417980.00,2753.00,772861.00,187098.00,127306.00,0.00,456411.00,8241.00,1477.00,6764.00,107615.00,7326.00,34817.00,-1433.00,-203.00,67108.00,4581.00,391.00,4190.00,69511.00,37326.00,21469.00,10716.00,229570.00,36893.00,456680.00,-270.00,0.00,0.00,270.00,270.00,235.00,233.00,2.00,0.00,144868.00,148292.00,155628.00,-159053.00,166302.00,-21200.00,-21200.00,12833836.00,6172.00,6082.00,64.00,26.00,12827664.00,81085.00,22087.00,58998.00,2584322.00,74280.00,1315007.00,372247.00,1402.00,821386.00,58374.00,6907.00,51467.00,7027610.00,4062651.00,2752326.00,212633.00,2446056.00,630217.00,12833836.00,12973085.00,-139249.00
2008,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,465128.00,335403.00,129725.00,0.00,465128.00,335403.00,129725.00,129725.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1162470.00,700150.00,453281.00,-5794.00,273287.00,20624.00,465128.00,2808.00,766448.00,211914.00,184108.00,0.00,364317.00,-9339.00,-5695.00,-3644.00,69756.00,-5922.00,79452.00,-31646.00,-134.00,28006.00,-11929.00,-1099.00,-10830.00,64927.00,40205.00,20348.00,4374.00,270737.00,-19835.00,364359.00,-42.00,0.00,0.00,42.00,42.00,369.00,367.00,4.00,-2.00,-1109484.00,-1516142.00,-937170.00,1343828.00,-1125565.00,16450.00,16450.00,12113184.00,6583.00,6479.00,80.00,24.00,12106601.00,71746.00,16392.00,55354.00,2654078.00,68358.00,1394459.00,340601.00,1268.00,849392.00,46445.00,5808.00,40637.00,4639225.00,2586714.00,1835504.00,217007.00,4084725.00,610382.00,12113184.00,12235983.00,-122799.00
2009,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,489361.00,371318.00,118043.00,0.00,489361.00,371318.00,118043.00,118043.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1183236.00,697278.00,467041.00,-22876.00,270994.00,17881.00,489361.00,3403.00,762201.00,231420.00,189615.00,0.00,535244.00,821.00,-2656.00,3477.00,-9318.00,2181.00,118367.00,-10965.00,62.00,-118963.00,-5063.00,-3.00,-5060.00,15008.00,-57098.00,87414.00,-15308.00,510487.00,23309.00,535177.00,67.00,0.00,0.00,-67.00,-67.00,-283.00,-281.00,-1.00,-2.00,531793.00,657875.00,457658.00,-583740.00,543563.00,-12054.00,-12054.00,13168083.00,6233.00,6127.00,84.00,22.00,13161850.00,72567.00,13736.00,58831.00,2644760.00,70539.00,1512826.00,329636.00,1330.00,730429.00,41382.00,5805.00,35577.00,5769766.00,3187491.00,2380576.00,201699.00,3999684.00,633691.00,13168083.00,13302936.00,-134853.00
2010,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,476454.00,360880.00,115574.00,0.00,476454.00,360880.00,115574.00,115574.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1206101.00,734185.00,503467.00,-30123.00,280517.00,19676.00,476454.00,4538.00,831748.00,221651.00,152702.00,0.00,533447.00,7754.00,2637.00,5117.00,215977.00,3949.00,113834.00,9697.00,663.00,87834.00,2555.00,86.00,2469.00,97.00,-47102.00,56608.00,-9409.00,273960.00,33104.00,533375.00,72.00,0.00,0.00,-72.00,-72.00,5.00,6.00,-2.00,0.00,334001.00,507387.00,252498.00,-425884.00,336017.00,-2011.00,-2011.00,14538705.00,6166.00,6056.00,88.00,22.00,14532539.00,80321.00,16373.00,63948.00,2860737.00,74488.00,1626660.00,339333.00,1993.00,818263.00,43937.00,5891.00,38046.00,6529748.00,3647776.00,2689682.00,192290.00,4351001.00,666795.00,14538705.00,14675569.00,-136864.00
