date,FA856902505.A,FA856300085.A,FA856902605.A,FA856025005.A,FA856020005.A,FA856401005.A,FA856240105.A,FA856402105.A,FA856140005.A,FA856402105.A,FA856150105.A,FA856130105.A,FA856121105.A,FA853092285.A,FA856150005.A,FA856130005.A,FA856120005.A,FA856121005.A,FA856122005.A,FA853192285.A,FA856112005.A,FA856140005.A,FA856220005.A,FA856403005.A,FA856012005.A,FA856012005.A,FA856006385.A,FA856012005.A,FA855440085.A,FA855015085.A,FA855013085.A,FA856300085.A,FA855000995.A,FA855000995.A,FA854090005.A,FA854000005.A,FA854022005.A,FA853069175.A,FA853061105.A,FA853061705.A,FA853062005.A,FA853063005.A,FA854035005.A,FA854041005.A,FA813065005.A,FA813081005.A,FA813064105.A,FA503034003.A,FA813092405.A,FA803092005.A,FA793094005.A,FA733040005.A,FA853096005.A,FA854190005.A,FA403197033.A,FA814122005.A,FA423161705.A,FA813163005.A,FA813169105.A,FA814135005.A,FA814141005.A,FA643165005.A,FA853181005.A,FA634090005.A,FA813164105.A,FA653164205.A,FA403192405.A,FA803192005.A,FA662090205.A,FA803194005.A,FA813196005.A,FA855000005.A,FV858090185.A,FV812010095.A,FV858090085.A,FU857005045.A,FR812010095.A,FR815013665.A,FR815013265.A,FR815013765.A,FR813081085.A,FR813064105.A,FR803092005.A,FR813181085.A,FR813164105.A,FR653164205.A,FR803192005.A,FR662090205.A,FR803194005.A,FR818200005.A,FC852090095.A,FL852000095.A,FL812010095.A,FL815013665.A,FL815013265.A,FL815013765.A,FL854090005.A,FL854000005.A,FL854022005.A,FL853069175.A,FL853061105.A,FL853061705.A,FL853062005.A,FL853063005.A,FL854035005.A,FL854041005.A,FL813065005.A,FL813081005.A,LM813064105.A,FL503034003.A,FL813092405.A,FL803092005.A,FL793094005.A,FL733040005.A,FL853096005.A,FL852100005.A,FL854194005.A,FL403197033.A,FL814122005.A,FL423161705.A,FL813163005.A,FL813169105.A,FL814135005.A,FL814141005.A,FL643165005.A,FL853181005.A,FL634090005.A,LM813164105.A,LM653164205.A,FL403192405.A,FL803192005.A,FL662090205.A,FL803194005.A,FL813196005.A,FL852090095.A
2001,416444.00,69951.00,346493.00,257036.00,217173.00,39863.00,18608.00,70849.00,52103.00,70849.00,907337.00,845606.00,56462.00,5270.00,926084.00,797903.00,131225.00,78183.00,53042.00,-3045.00,0.00,52103.00,21183.00,6294.00,24626.00,24626.00,24626.00,24626.00,0.00,29364.00,99314.00,69951.00,-4738.00,-4738.00,2206602.00,172817.00,631696.00,-168119.00,54585.00,508064.00,71901.00,165265.00,774159.00,285293.00,488866.00,429011.00,179960.00,154507.00,0.00,16848.00,77696.00,0.00,198920.00,2130734.00,8561.00,809957.00,642687.00,290971.00,-123701.00,226872.00,224663.00,2209.00,702599.00,440062.00,32095.00,191495.00,3276.00,12845.00,-3282.00,26108.00,382745.00,75868.00,89344.00,-3348.00,12086.00,-80606.00,5213.00,11819.00,-6424.00,-182.00,-644520.00,-645422.00,902.00,-822760.00,-193234.00,-621278.00,-6053.00,-2195.00,0.00,183452.00,297422.00,20801869.00,635248.00,362579.00,230982.00,41687.00,20166621.00,549823.00,5142503.00,940848.00,280291.00,2021419.00,691917.00,1208028.00,7618572.00,3512561.00,4106011.00,5569653.00,3624403.00,583511.00,0.00,94941.00,1266798.00,0.00,1286070.00,20801869.00,20939761.00,25661.00,8365183.00,4962349.00,2309807.00,1093027.00,2145670.00,2059911.00,85759.00,9086978.00,2285310.00,1483979.00,4689603.00,37088.00,76595.00,6178.00,508225.00,1316269.00,-137892.00
2002,434961.00,74524.00,360438.00,242505.00,203056.00,39449.00,19476.00,98457.00,104766.00,98457.00,674318.00,609720.00,58614.00,5984.00,668009.00,544906.00,122950.00,74955.00,47995.00,153.00,0.00,104766.00,20562.00,12381.00,71824.00,71824.00,71824.00,71824.00,0.00,28950.00,103473.00,74524.00,42874.00,42874.00,1255178.00,-9012.00,299912.00,-133612.00,11693.00,277159.00,48938.00,95734.00,770449.00,182170.00,588279.00,185769.00,95822.00,-18480.00,0.00,6189.00,102238.00,0.00,8060.00,1208732.00,1949.00,873948.00,546652.00,427071.00,-99775.00,105390.00,94189.00,11201.00,248462.00,-20235.00,66287.00,182995.00,1992.00,-3891.00,634.00,20680.00,-21017.00,46446.00,14925.00,0.00,11353.00,-3572.00,6794.00,10521.00,-3328.00,-400.00,-809211.00,-821004.00,11793.00,-1028867.00,-257010.00,-754516.00,-15479.00,-1862.00,0.00,226450.00,313199.00,21304476.00,665823.00,373921.00,245844.00,46058.00,20638653.00,540811.00,5507895.00,805244.00,298160.00,2310747.00,761184.00,1332560.00,8389021.00,3694731.00,4694290.00,4942564.00,2895574.00,565031.00,0.00,112923.00,1369036.00,0.00,1258362.00,21304476.00,21129169.00,27610.00,9239131.00,5509001.00,2736878.00,993252.00,2251060.00,2154100.00,96960.00,8306573.00,2265075.00,1293256.00,4118082.00,39080.00,57225.00,4950.00,528905.00,1304795.00,175307.00
2003,439108.00,79724.00,359384.00,244956.00,207872.00,37084.00,20306.00,94122.00,110686.00,94122.00,628174.00,550566.00,67351.00,10257.00,611610.00,485925.00,124352.00,80227.00,44125.00,1333.00,0.00,110686.00,23809.00,13112.00,73766.00,73766.00,73766.00,73766.00,0.00,19701.00,99425.00,79724.00,54065.00,54065.00,1768422.00,-47301.00,589243.00,-61595.00,37820.00,221492.00,44728.00,346798.00,761530.00,96778.00,664752.00,260766.00,196041.00,-75028.00,0.00,13341.00,126412.00,0.00,204185.00,1663905.00,-7105.00,1018408.00,586245.00,495430.00,-63267.00,292405.00,283510.00,8895.00,189994.00,-225054.00,56774.00,282752.00,3203.00,21888.00,-3394.00,53825.00,170203.00,104517.00,52332.00,0.00,1880.00,-50452.00,6965.00,9552.00,-2337.00,-250.00,996670.00,970006.00,26664.00,1343064.00,373852.00,961263.00,-3446.00,11395.00,0.00,-339429.00,-213332.00,23930710.00,685025.00,382718.00,253911.00,48396.00,23245685.00,493510.00,5924003.00,741188.00,331109.00,2358752.00,809723.00,1683231.00,9148328.00,3777510.00,5370818.00,6200000.00,4061621.00,490003.00,0.00,152928.00,1495448.00,0.00,1479845.00,23930710.00,23968735.00,20505.00,10092816.00,5944522.00,3218309.00,929985.00,2543465.00,2437610.00,105855.00,9839494.00,2040021.00,1723882.00,5362097.00,42283.00,75667.00,12951.00,582593.00,1472455.00,-38025.00
2004,418590.00,85719.00,332872.00,274002.00,232916.00,41086.00,21697.00,37173.00,41450.00,37173.00,839291.00,735213.00,88295.00,15782.00,835013.00,627844.00,202587.00,161470.00,41117.00,4582.00,0.00,41450.00,26836.00,2303.00,12311.00,12311.00,12311.00,12311.00,0.00,30113.00,115831.00,85719.00,-17802.00,-17802.00,1973084.00,72883.00,47088.00,83472.00,-82154.00,-214921.00,9413.00,251278.00,1203301.00,531058.00,672243.00,476473.00,280909.00,-121094.00,0.00,24767.00,291891.00,0.00,173340.00,1969169.00,-2121.00,830666.00,115766.00,692974.00,21926.00,494458.00,468956.00,25502.00,363620.00,-138321.00,133702.00,288143.00,2505.00,16331.00,-4164.00,65424.00,282546.00,3915.00,106060.00,-1193.00,85536.00,-21717.00,41694.00,35607.00,5740.00,347.00,603196.00,577028.00,26168.00,801415.00,267921.00,543861.00,-12774.00,2407.00,0.00,-156525.00,-38155.00,26567628.00,750819.00,421988.00,276760.00,52071.00,25816809.00,566393.00,5970239.00,836496.00,246193.00,2139476.00,822679.00,1925395.00,10366476.00,4308567.00,6057909.00,7279669.00,4919558.00,368909.00,0.00,203863.00,1787339.00,0.00,1634032.00,26567628.00,26643808.00,18384.00,10938330.00,6060288.00,3926131.00,951911.00,3037923.00,2906566.00,131357.00,11004480.00,1901700.00,2125505.00,6194101.00,44788.00,79224.00,11194.00,647968.00,1644691.00,-76180.00
2005,491249.00,93024.00,398226.00,297042.00,249810.00,47232.00,23486.00,77698.00,34239.00,77698.00,1146729.00,1021826.00,123473.00,1431.00,1190188.00,948934.00,237391.00,196477.00,40914.00,3863.00,0.00,34239.00,31443.00,3377.00,-581.00,-581.00,-581.00,-581.00,0.00,30899.00,123923.00,93024.00,-31480.00,-31480.00,2072160.00,-722.00,112901.00,196596.00,12501.00,-242446.00,45799.00,100451.00,1326151.00,417518.00,908633.00,412324.00,242434.00,-2135.00,0.00,-1200.00,173225.00,0.00,221506.00,1949024.00,780.00,1034242.00,80424.00,739654.00,214164.00,412405.00,398295.00,14110.00,656378.00,125121.00,80819.00,286040.00,1909.00,4299.00,-1217.00,159407.00,-154781.00,123136.00,80051.00,-798.00,-73768.00,-154616.00,45588.00,41841.00,2655.00,1092.00,455218.00,439053.00,16165.00,653097.00,253357.00,384412.00,13590.00,1738.00,0.00,-152291.00,-72822.00,29014900.00,821243.00,467073.00,299409.00,54761.00,28193657.00,565671.00,6052206.00,1034817.00,255940.00,1888042.00,866273.00,2007134.00,11692627.00,4726085.00,6966542.00,8147211.00,5601045.00,366774.00,0.00,218828.00,1960564.00,0.00,1735942.00,29014900.00,29163902.00,19164.00,11918071.00,6140712.00,4611284.00,1166075.00,3450328.00,3304861.00,145467.00,12342955.00,2026821.00,2459681.00,6864553.00,46697.00,97113.00,11715.00,836375.00,1433384.00,-149002.00
2006,538883.00,99651.00,439232.00,330447.00,280519.00,49928.00,25508.00,83278.00,35470.00,83278.00,1601417.00,1441344.00,137907.00,22166.00,1649225.00,1377563.00,265392.00,221861.00,43531.00,6270.00,0.00,35470.00,37062.00,14104.00,-15696.00,-15696.00,-15696.00,-15696.00,0.00,27712.00,127362.00,99651.00,-43408.00,-43408.00,2877726.00,61215.00,680852.00,225443.00,25688.00,68434.00,75793.00,285494.00,1298555.00,318904.00,979651.00,414206.00,220291.00,-32388.00,0.00,23520.00,202783.00,-357.00,423255.00,2776161.00,-192.00,1287368.00,328218.00,762549.00,196601.00,485159.00,478576.00,6583.00,806182.00,311630.00,78357.00,346153.00,181.00,724.00,-6816.00,75953.00,197644.00,101565.00,157706.00,0.00,12733.00,-144973.00,41432.00,36936.00,2942.00,1554.00,944307.00,900560.00,43747.00,1277999.00,400904.00,848998.00,23316.00,4781.00,0.00,-292260.00,-150250.00,32852489.00,884467.00,503606.00,322450.00,58411.00,31968022.00,627034.00,6675161.00,1239627.00,278598.00,1934319.00,941899.00,2280718.00,12958827.00,5012634.00,7946193.00,9538838.00,6721896.00,334386.00,0.00,286095.00,2196461.00,15160.00,2153002.00,32852489.00,33151741.00,18972.00,13178678.00,6468930.00,5347072.00,1362676.00,3932278.00,3780228.00,152050.00,14404363.00,2338451.00,2938942.00,8059704.00,46878.00,121153.00,9680.00,889555.00,1617450.00,-299252.00
2007,445366.00,107311.00,338055.00,358536.00,307747.00,50789.00,26617.00,-47098.00,-64269.00,-47098.00,1959524.00,1752931.00,180669.00,25924.00,1976695.00,1668912.00,302302.00,269010.00,33292.00,5481.00,0.00,-64269.00,33527.00,10123.00,-107919.00,-107919.00,-107919.00,-107919.00,0.00,43104.00,150415.00,107311.00,-151023.00,-151023.00,3605568.00,153115.00,741389.00,-136991.00,123528.00,416091.00,140939.00,197822.00,1728918.00,919863.00,809055.00,904531.00,272772.00,317870.00,0.00,50797.00,263092.00,5290.00,72325.00,3627542.00,1921.00,1515629.00,905680.00,721355.00,-111406.00,561322.00,556644.00,4678.00,1368999.00,747309.00,225839.00,376098.00,9093.00,3991.00,3584.00,3085.00,179671.00,-21974.00,-16865.00,0.00,-145914.00,-129049.00,22412.00,20970.00,-124.00,1566.00,558369.00,532053.00,26316.00,115427.00,-378254.00,478606.00,15709.00,-634.00,0.00,465355.00,340571.00,37001479.00,943752.00,531240.00,345740.00,66772.00,36057727.00,780149.00,7380873.00,1106203.00,409658.00,2368241.00,1047948.00,2448823.00,14667691.00,5935045.00,8732646.00,11001738.00,7526721.00,652256.00,0.00,363208.00,2459553.00,20450.00,2206826.00,37001479.00,36960160.00,20893.00,14805116.00,7374610.00,6179236.00,1251270.00,4493600.00,4336872.00,156728.00,15885043.00,3085760.00,2786527.00,8914408.00,55971.00,140853.00,12630.00,888894.00,1755508.00,41319.00
2008,285942.00,114520.00,171422.00,358571.00,305252.00,53319.00,25753.00,-212902.00,-197715.00,-212902.00,1619294.00,1403756.00,187056.00,28482.00,1604107.00,1286743.00,312480.00,295740.00,16740.00,4884.00,0.00,-197715.00,13461.00,9057.00,-220233.00,-220233.00,-205333.00,-220233.00,-14900.00,17926.00,132446.00,114520.00,-223258.00,-223258.00,736872.00,169924.00,772663.00,-5558.00,678941.00,565715.00,-2635.00,-463800.00,-305647.00,-508749.00,203102.00,569656.00,53638.00,253570.00,0.00,37424.00,225024.00,-1161.00,-468563.00,1268083.00,-5397.00,454317.00,768741.00,-189003.00,-125421.00,-574851.00,-581630.00,6779.00,1537626.00,746477.00,676997.00,-58096.00,-4204.00,68588.00,11604.00,96260.00,-143612.00,-531211.00,-516880.00,-282.00,-208645.00,307953.00,36168.00,32262.00,3120.00,785.00,-3216531.00,-3224270.00,7739.00,-4635001.00,-1504428.00,-3067911.00,-49097.00,-13565.00,0.00,1454637.00,732425.00,34303418.00,993878.00,568661.00,350893.00,74324.00,33309540.00,985073.00,8031512.00,1102082.00,1101983.00,2966516.00,992103.00,1868828.00,14268707.00,5426295.00,8842412.00,8354863.00,4356089.00,905826.00,0.00,408371.00,2684577.00,19289.00,1650096.00,34303418.00,33529674.00,15496.00,15179634.00,8143351.00,5910434.00,1125849.00,3918749.00,3755242.00,163507.00,12787668.00,3832237.00,1959096.00,5788401.00,51767.00,160344.00,10669.00,985154.00,1628127.00,773744.00
2009,445028.00,116866.00,328162.00,283712.00,241763.00,41949.00,32655.00,11795.00,8503.00,11795.00,977529.00,807584.00,143490.00,26455.00,980821.00,701337.00,277062.00,208864.00,68198.00,2422.00,0.00,8503.00,16510.00,26184.00,-34190.00,-34190.00,64258.00,-34190.00,-98448.00,-10561.00,106305.00,116866.00,74819.00,74819.00,-1223072.00,109776.00,-813404.00,-379494.00,-112818.00,-517605.00,13557.00,182956.00,-515909.00,-664525.00,148616.00,-30253.00,164057.00,-153706.00,0.00,23518.00,-64122.00,2063.00,24655.00,-1340974.00,401.00,-945747.00,-60053.00,-437475.00,-448219.00,-751612.00,-763369.00,11757.00,134494.00,-516344.00,298352.00,533388.00,0.00,15569.00,561.00,-197032.00,221490.00,117902.00,484094.00,0.00,441011.00,-43083.00,-23718.00,-26052.00,2676.00,-342.00,1391771.00,1405721.00,-13950.00,1830790.00,363579.00,1474940.00,-10697.00,3572.00,-604.00,-462737.00,85615.00,35246949.00,953698.00,543042.00,328824.00,81832.00,34293251.00,1109317.00,7361957.00,722479.00,967063.00,2474520.00,1052881.00,2145014.00,13537202.00,4715959.00,8821243.00,10392554.00,5925867.00,752120.00,0.00,417939.00,3296628.00,21352.00,1870869.00,35246949.00,34387590.00,15897.00,14417564.00,8083298.00,5656636.00,677630.00,3237787.00,3062523.00,175264.00,15366941.00,3315893.00,2621027.00,7796729.00,51767.00,165216.00,14802.00,1401507.00,1349401.00,859359.00
2010,509865.00,116704.00,393162.00,302501.00,256713.00,45788.00,33068.00,57593.00,59287.00,57593.00,871936.00,673443.00,163329.00,35164.00,870242.00,590993.00,272445.00,191470.00,80975.00,6804.00,0.00,59287.00,23165.00,21230.00,14892.00,14892.00,56373.00,14892.00,-41481.00,-4847.00,111857.00,116704.00,61220.00,61220.00,-603533.00,-157852.00,10897.00,-86515.00,85419.00,-175450.00,-16844.00,204287.00,-63356.00,64035.00,-127391.00,-52617.00,135924.00,-148035.00,57.00,15441.00,-56004.00,3753.00,-344358.00,-615155.00,-1496.00,-610483.00,-39534.00,-488875.00,-82074.00,202263.00,201436.00,827.00,52490.00,-512379.00,199982.00,395869.00,-2746.00,26981.00,878.00,-56095.00,-257929.00,11622.00,75104.00,0.00,124702.00,49598.00,5696.00,921.00,4616.00,159.00,816126.00,804254.00,11872.00,1319228.00,461368.00,837251.00,22365.00,264.00,-2020.00,-497406.00,-365929.00,34612845.00,954933.00,539296.00,332521.00,83116.00,33657912.00,996581.00,6853787.00,640267.00,1053086.00,1849557.00,1027906.00,2282971.00,12853810.00,4447287.00,8406523.00,11156063.00,6866045.00,604085.00,57.00,445252.00,3240624.00,25105.00,1772566.00,34612845.00,34119415.00,14401.00,13054672.00,7581337.00,5010323.00,463012.00,3451966.00,3275875.00,176091.00,16701551.00,2803514.00,3282377.00,9029849.00,49021.00,214562.00,15944.00,1306284.00,896825.00,493430.00
