date,FA316902505.A,FA316300003.A,FA316902605.A,FA316025001.A,FA316020001.A,FA316401005.A,FA316402101.A,FA316140005.A,FA316402101.A,FA316240001.A,FA316402015.A,FA316150195.A,FA316130101.A,FA316121101.A,FA316112101.A,FA316130095.A,FA316140005.A,FA316220001.A,FA316601001.A,FA316404001.A,FA316403105.A,FA316403001.A,FA316012005.A,FA316901001.A,FA316006085.A,FA316006385.A,FA316006085.A,FA315440005.A,FA315050905.A,FA315019001.A,FA316300003.A,FA315420003.A,FA315000995.A,FA315000995.A,FA314090005.A,FA313011105.A,FA313011205.A,FA313011303.A,FA314000005.A,FA313011505.A,FA313011405.A,FA313020005.A,FA313030003.A,FA313091105.A,FA314022005.A,FA313061703.A,FA313063763.A,FA314023005.A,FA314041005.A,FA313066220.A,FA313069005.A,FA313065005.A,FA313081115.A,FA313064105.A,FA313092803.A,FA313092403.A,FA313094303.A,FA313096005.A,FA313070000.A,FA313078005.A,FA313093003.A,FA314190005.A,FA313111303.A,FA314100005.A,FA314122005.A,FA313161105.A,FA313161705.A,FA313165403.A,FA313152005.A,FA313140003.A,FA313195105.A,FA343073005.A,FA313196005.A,FA713014003.A,FA313170005.A,FA313193005.A,FA315000005.A,FV318090185.A,FV312010095.A,FV318090085.A,FU317005045.A,FR312010095.A,FR315014665.A,FR315013265.A,FR315013765.A,FR318080005.A,FR313011105.A,FR314000005.A,FR313064105.A,FR313094303.A,FR313111303.A,FR313111303.A,FR318200005.A,FC312090095.A,FL312000095.A,FL312010095.A,FL315014665.A,FL315013265.A,FL315013765.A,FL314090005.A,FL313011105.A,FL313011205.A,FL313011303.A,FL314000005.A,FL313011505.A,FL313011405.A,FL313020005.A,FL313030003.A,FL313091105.A,FL314022005.A,FL313061703.A,FL313063763.A,FL314023005.A,FL314041005.A,FL313066220.A,FL313069005.A,FL313065005.A,FL313081115.A,LM313064105.A,FL313092803.A,FL313092403.A,FL313094303.A,FL313096005.A,FL313070000.A,FL313078005.A,FL313093003.A,FL312000095.A,FL314190005.A,FL313111303.A,FL314100005.A,FL314122005.A,FL313161105.A,FL313161705.A,FL313165403.A,FL313152005.A,FL313140003.A,FL313195105.A,FL343073005.A,FL313196005.A,FL713014003.A,FL313170005.A,FL313193013.A,FL312090095.A
1960,44978.00,15138.00,29840.00,30536.00,24045.00,6491.00,-696.00,-1168.00,-696.00,13072.00,-1146.00,1480.00,1328.00,0.00,152.00,13878.00,-1168.00,63380.00,16017.00,20113.00,302.00,7283.00,51135.00,50949.00,186.00,-671.00,186.00,857.00,7205.00,21892.00,15138.00,451.00,-7876.00,-7876.00,924.00,-14.00,-14.00,0.00,1145.00,0.00,-403.00,1043.00,-23.00,528.00,35.00,35.00,0.00,996.00,801.00,0.00,801.00,195.00,165.00,0.00,154.00,11.00,0.00,-1403.00,68.00,-1471.00,0.00,9431.00,0.00,-140.00,-1513.00,-1252.00,-261.00,405.00,9994.00,76.00,0.00,9918.00,685.00,0.00,456.00,229.00,-8507.00,69.00,0.00,700.00,631.00,965.00,94.00,615.00,256.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,965.00,362.00,252183.00,205435.00,99774.00,78369.00,27292.00,46748.00,37.00,37.00,0.00,12012.00,0.00,1656.00,7154.00,262.00,2940.00,37.00,37.00,0.00,26678.00,20878.00,0.00,20878.00,5800.00,1194.00,0.00,824.00,370.00,0.00,6790.00,1790.00,5000.00,0.00,252183.00,384189.00,0.00,3530.00,248820.00,248132.00,688.00,1252.00,126911.00,6426.00,0.00,120485.00,3676.00,0.00,3359.00,317.00,-132006.00
1961,47034.00,16011.00,31023.00,31916.00,25070.00,6846.00,-893.00,-2055.00,-893.00,13161.00,-2014.00,1592.00,1413.00,0.00,179.00,13901.00,-2055.00,64297.00,16565.00,23383.00,357.00,7779.00,48002.00,52707.00,-4705.00,-5609.00,-4705.00,904.00,9129.00,24647.00,16011.00,493.00,-14738.00,-14738.00,2656.00,21.00,21.00,0.00,381.00,58.00,81.00,-41.00,22.00,261.00,-2.00,-2.00,0.00,1662.00,1213.00,0.00,1213.00,449.00,165.00,0.00,171.00,-6.00,0.00,429.00,-14.00,443.00,0.00,18920.00,0.00,-70.00,7882.00,7575.00,307.00,222.00,10663.00,93.00,0.00,10570.00,223.00,0.00,259.00,-36.00,-16264.00,-2293.00,0.00,-768.00,1526.00,2232.00,1560.00,472.00,201.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2232.00,-5670.00,265276.00,216278.00,103601.00,81987.00,30690.00,48998.00,58.00,58.00,0.00,12393.00,116.00,1737.00,7055.00,284.00,3201.00,35.00,35.00,0.00,28340.00,22091.00,0.00,22091.00,6249.00,1359.00,0.00,995.00,364.00,0.00,6813.00,1776.00,5037.00,0.00,265276.00,402952.00,0.00,3460.00,256702.00,255707.00,995.00,1474.00,137381.00,6519.00,0.00,130862.00,3935.00,0.00,3618.00,317.00,-137676.00
1962,50098.00,17148.00,32950.00,33851.00,26630.00,7221.00,-901.00,-2357.00,-901.00,14131.00,-2273.00,1793.00,1598.00,0.00,195.00,15107.00,-2357.00,69144.00,18626.00,23802.00,394.00,8357.00,53648.00,58990.00,-5342.00,-6355.00,-5342.00,1013.00,9948.00,26502.00,17148.00,594.00,-16303.00,-16303.00,3362.00,21.00,21.00,0.00,550.00,-9.00,-625.00,954.00,-15.00,245.00,-35.00,-35.00,0.00,1983.00,1911.00,0.00,1911.00,72.00,116.00,0.00,122.00,-6.00,0.00,727.00,229.00,498.00,0.00,19536.00,0.00,-99.00,7608.00,7065.00,543.00,260.00,11320.00,125.00,0.00,11195.00,447.00,0.00,433.00,14.00,-16174.00,-70.00,0.00,-199.00,-129.00,4720.00,1635.00,3088.00,-3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4720.00,-1705.00,282826.00,230340.00,107338.00,88649.00,34353.00,52486.00,79.00,79.00,0.00,12943.00,18.00,1112.00,8098.00,269.00,3446.00,0.00,0.00,0.00,30323.00,24002.00,0.00,24002.00,6321.00,1475.00,0.00,1117.00,358.00,0.00,7666.00,2005.00,5661.00,0.00,282826.00,422207.00,0.00,3361.00,264310.00,262772.00,1538.00,1734.00,148537.00,6644.00,0.00,141893.00,4265.00,0.00,4051.00,214.00,-139381.00
1963,53132.00,18316.00,34816.00,35532.00,27931.00,7601.00,-716.00,-2612.00,-716.00,14686.00,-2222.00,1894.00,1685.00,0.00,209.00,16254.00,-2612.00,73904.00,21106.00,24968.00,463.00,8848.00,59045.00,61164.00,-2119.00,-3464.00,-2119.00,1345.00,8879.00,26670.00,18316.00,525.00,-12343.00,-12343.00,3800.00,4.00,4.00,0.00,27.00,57.00,-25.00,-443.00,-9.00,447.00,29.00,29.00,0.00,1525.00,1924.00,0.00,1924.00,-399.00,7.00,0.00,62.00,-55.00,0.00,2208.00,485.00,1723.00,0.00,16841.00,0.00,-47.00,4902.00,5073.00,-171.00,62.00,11790.00,131.00,0.00,11659.00,134.00,0.00,330.00,-196.00,-13041.00,-1763.00,0.00,-1065.00,698.00,1383.00,1107.00,-43.00,319.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1383.00,-3844.00,295802.00,240050.00,110313.00,90205.00,39532.00,55752.00,83.00,83.00,0.00,12970.00,59.00,1087.00,7671.00,260.00,3893.00,29.00,29.00,0.00,31848.00,25926.00,0.00,25926.00,5922.00,1482.00,0.00,1179.00,303.00,0.00,9340.00,2490.00,6850.00,0.00,295802.00,439027.00,0.00,3314.00,269212.00,267845.00,1367.00,1796.00,160145.00,6775.00,0.00,153370.00,4560.00,0.00,4381.00,179.00,-143225.00
1964,56416.00,19174.00,37242.00,38004.00,29901.00,8103.00,-762.00,-3600.00,-762.00,15424.00,-2719.00,1948.00,1723.00,0.00,225.00,17491.00,-3600.00,72309.00,21782.00,25509.00,617.00,9353.00,56246.00,63108.00,-6862.00,-8359.00,-6862.00,1497.00,8567.00,27115.00,19174.00,626.00,-16926.00,-16926.00,3598.00,0.00,0.00,0.00,330.00,110.00,-273.00,462.00,12.00,19.00,-17.00,-17.00,0.00,2785.00,2834.00,0.00,2834.00,-49.00,47.00,0.00,112.00,-65.00,0.00,453.00,244.00,209.00,0.00,19543.00,0.00,-48.00,7271.00,6416.00,855.00,30.00,12463.00,104.00,0.00,12359.00,-173.00,0.00,95.00,-268.00,-15945.00,189.00,0.00,-792.00,-981.00,3119.00,2332.00,547.00,240.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3119.00,-5051.00,310303.00,251089.00,114313.00,91675.00,45101.00,59214.00,83.00,83.00,0.00,13300.00,137.00,814.00,8165.00,272.00,3912.00,12.00,12.00,0.00,34633.00,28760.00,0.00,28760.00,5873.00,1529.00,0.00,1291.00,238.00,0.00,9657.00,2734.00,6923.00,0.00,310303.00,458579.00,0.00,3266.00,276483.00,274261.00,2222.00,1826.00,172408.00,6879.00,0.00,165529.00,4596.00,0.00,4476.00,120.00,-148276.00
1965,59279.00,19970.00,39309.00,40185.00,31500.00,8685.00,-875.00,-5006.00,-875.00,15427.00,-2989.00,2023.00,1800.00,0.00,223.00,18592.00,-5006.00,80173.00,22742.00,27715.00,937.00,10149.00,60982.00,66451.00,-5469.00,-6689.00,-5469.00,1220.00,7199.00,26698.00,19970.00,471.00,-13888.00,-13888.00,3230.00,-11.00,-11.00,0.00,-1308.00,175.00,98.00,-1575.00,-22.00,16.00,33.00,33.00,0.00,2907.00,2926.00,0.00,2926.00,-19.00,-10.00,0.00,0.00,-10.00,0.00,1619.00,388.00,1231.00,0.00,17036.00,0.00,150.00,2924.00,2476.00,448.00,19.00,13347.00,134.00,0.00,13213.00,596.00,0.00,572.00,24.00,-13806.00,-1289.00,0.00,-1371.00,-82.00,4737.00,3045.00,1505.00,187.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4737.00,-3241.00,323833.00,262527.00,119022.00,92645.00,50860.00,61306.00,332.00,332.00,0.00,11992.00,152.00,912.00,6750.00,250.00,3928.00,45.00,45.00,0.00,37540.00,31686.00,0.00,31686.00,5854.00,1519.00,0.00,1291.00,228.00,0.00,9878.00,3122.00,6756.00,0.00,323833.00,475350.00,0.00,3416.00,279407.00,276737.00,2670.00,1845.00,185387.00,7013.00,0.00,178374.00,5295.00,0.00,5048.00,247.00,-151517.00
1966,65519.00,21018.00,44501.00,45696.00,35840.00,9856.00,-1195.00,-8699.00,-1195.00,14449.00,-3925.00,2236.00,1991.00,0.00,245.00,20264.00,-8699.00,90258.00,30620.00,30347.00,1019.00,13352.00,69500.00,76455.00,-6956.00,-8297.00,-6956.00,1341.00,9712.00,30088.00,21018.00,642.00,-18009.00,-18009.00,4653.00,3.00,3.00,0.00,-380.00,270.00,-529.00,-356.00,-30.00,265.00,1310.00,1310.00,0.00,3908.00,2871.00,0.00,2871.00,1037.00,-6.00,0.00,-100.00,94.00,0.00,-182.00,1249.00,-1431.00,0.00,20800.00,0.00,682.00,4911.00,3556.00,1355.00,-62.00,14630.00,107.00,0.00,14523.00,639.00,0.00,783.00,-144.00,-16147.00,-165.00,0.00,-2027.00,-1862.00,7022.00,4838.00,1916.00,268.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7022.00,-1440.00,343466.00,278607.00,125608.00,95462.00,57537.00,64859.00,76.00,76.00,0.00,11612.00,446.00,383.00,6370.00,220.00,4193.00,1355.00,1355.00,0.00,41448.00,34557.00,0.00,34557.00,6891.00,1513.00,0.00,1191.00,322.00,0.00,8855.00,4371.00,4484.00,0.00,343466.00,496423.00,0.00,4098.00,284318.00,280293.00,4025.00,1783.00,199737.00,7120.00,0.00,192617.00,6487.00,0.00,5831.00,656.00,-152957.00
1967,71258.00,22418.00,48840.00,50118.00,39112.00,11006.00,-1277.00,-9193.00,-1277.00,15164.00,-3785.00,2636.00,2334.00,0.00,302.00,21931.00,-9193.00,94660.00,34102.00,37075.00,968.00,14933.00,68529.00,88020.00,-19491.00,-20686.00,-19491.00,1195.00,9290.00,31939.00,22418.00,-231.00,-29976.00,-29976.00,1916.00,7.00,7.00,0.00,927.00,512.00,97.00,481.00,47.00,-210.00,-88.00,-88.00,0.00,4568.00,3642.00,0.00,3642.00,926.00,171.00,0.00,193.00,-22.00,0.00,-3669.00,1468.00,-5137.00,0.00,31443.00,0.00,573.00,14324.00,10169.00,4155.00,-63.00,15783.00,80.00,0.00,15703.00,826.00,0.00,652.00,174.00,-29527.00,6736.00,0.00,6287.00,-449.00,11077.00,7502.00,2675.00,900.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11077.00,-2873.00,371883.00,299173.00,134053.00,100329.00,64791.00,72710.00,83.00,83.00,0.00,12996.00,741.00,480.00,7525.00,267.00,3983.00,1267.00,1267.00,0.00,46016.00,38199.00,0.00,38199.00,7817.00,1684.00,0.00,1384.00,300.00,0.00,10664.00,5839.00,4825.00,0.00,371883.00,527713.00,0.00,4671.00,298642.00,290462.00,8180.00,1720.00,215178.00,7200.00,0.00,207978.00,7502.00,0.00,6483.00,1019.00,-155830.00
1968,78294.00,24113.00,54181.00,55210.00,43146.00,12064.00,-1029.00,-9784.00,-1029.00,16872.00,-4147.00,3072.00,2735.00,0.00,337.00,24552.00,-9784.00,112809.00,37897.00,42417.00,953.00,16384.00,83074.00,96811.00,-13737.00,-16602.00,-13737.00,2865.00,6079.00,31106.00,24113.00,-915.00,-22681.00,-22681.00,6157.00,442.00,442.00,0.00,-774.00,588.00,868.00,-2268.00,101.00,-63.00,134.00,134.00,0.00,5118.00,3674.00,0.00,3674.00,1444.00,-172.00,0.00,128.00,-300.00,0.00,1409.00,575.00,834.00,0.00,31961.00,0.00,416.00,13923.00,10763.00,3160.00,-66.00,16981.00,-14.00,0.00,16995.00,707.00,0.00,-16.00,723.00,-25804.00,-1657.00,0.00,1466.00,3123.00,12824.00,7927.00,2807.00,2091.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12824.00,-5435.00,397589.00,318961.00,142697.00,103210.00,73054.00,78628.00,525.00,525.00,0.00,12222.00,1467.00,1348.00,5119.00,368.00,3920.00,1401.00,1401.00,0.00,50834.00,41573.00,0.00,41573.00,9261.00,1512.00,0.00,1512.00,0.00,0.00,12134.00,6414.00,5720.00,0.00,397589.00,558854.00,0.00,5062.00,312565.00,301225.00,11340.00,1654.00,231891.00,7186.00,0.00,224705.00,7682.00,0.00,6467.00,1215.00,-161265.00
1969,83584.00,25776.00,57808.00,59071.00,46040.00,13031.00,-1263.00,-12608.00,-1263.00,17812.00,-4509.00,2816.00,2490.00,0.00,326.00,27464.00,-12608.00,128158.00,43314.00,46341.00,998.00,18206.00,95315.00,100423.00,-5108.00,-7405.00,-5108.00,2297.00,5051.00,30723.00,25776.00,104.00,-12456.00,-12456.00,3941.00,967.00,967.00,0.00,1934.00,-410.00,1037.00,1553.00,-157.00,-89.00,-1297.00,-1297.00,0.00,4436.00,3466.00,0.00,3466.00,970.00,184.00,0.00,184.00,0.00,0.00,-2283.00,919.00,-3202.00,0.00,17140.00,0.00,272.00,-1555.00,749.00,-2304.00,-81.00,18941.00,66.00,0.00,18875.00,-437.00,0.00,-78.00,-359.00,-13199.00,1136.00,0.00,1879.00,743.00,18363.00,10941.00,3724.00,3697.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18363.00,12093.00,425575.00,342270.00,154208.00,105614.00,82448.00,83305.00,1492.00,1492.00,0.00,14156.00,814.00,2385.00,6915.00,211.00,3831.00,104.00,104.00,0.00,55270.00,45039.00,0.00,45039.00,10231.00,1696.00,0.00,1696.00,0.00,0.00,10587.00,7333.00,3254.00,0.00,425575.00,574747.00,0.00,5334.00,311010.00,301974.00,9036.00,1573.00,249524.00,7252.00,0.00,242272.00,7306.00,0.00,6389.00,917.00,-149172.00
