date,FA206902505.A,FA206300003.A,FA206902605.A,FA206025001.A,FA206020001.A,FA206401005.A,FA206402101.A,FA206140005.A,FA206402101.A,FA206240001.A,FA206402015.A,FA206150195.A,FA206130101.A,FA206121101.A,FA206112101.A,FA206130095.A,FA206140005.A,FA206220005.A,FA206601001.A,FA206404001.A,FA206403105.A,FA206403001.A,FA206012005.A,FA206901001.A,FA206006095.A,FA206006395.A,FA206006095.A,FA205440005.A,FA205050905.A,FA205019001.A,FA206300003.A,FA205420003.A,FA205000995.A,FA205000995.A,FA214090005.A,FA214000005.A,FA213020005.A,FA213030005.A,FA214022005.A,FA213069103.A,FA213061105.A,FA213061703.A,FA213062003.A,FA213063003.A,FA214035005.A,FA212051003.A,FA213065005.A,FA213081005.A,FA213034003.A,FA213064103.A,FA213064203.A,FA213096005.A,FA213070003.A,FA213078005.A,FA213093003.A,FA214190005.A,FA213162005.A,FA213162400.A,FA213162200.A,FA213169203.A,FA223073045.A,FA213170003.A,FA215000005.A,FV218090185.A,FV212010095.A,FV218090085.A,FU217005045.A,FR212010095.A,FR215014665.A,FR215013265.A,FR215013765.A,FR213081005.A,FR218200005.A,FC212090095.A,FL212000095.A,FL212010095.A,FL215014665.A,FL215013265.A,FL215013765.A,FL214090005.A,FL214000005.A,FL213020005.A,FL213030005.A,FL214022005.A,FL213069103.A,FL213061105.A,FL213061703.A,FL213062003.A,FL213063003.A,FL214035005.A,FL212051003.A,FL213065005.A,FL213081005.A,FL213034003.A,LM213064103.A,LM213064203.A,FL213096005.A,FL213070003.A,FL213078005.A,FL213093003.A,FL212100005.A,FL214190005.A,FL213162005.A,FL213162400.A,FL213162200.A,FL213169203.A,FL223073045.A,FL213170003.A,FL212090095.A
1960,34146.00,4547.00,29599.00,28440.00,25137.00,3303.00,1160.00,30977.00,1160.00,31475.00,0.00,1323.00,1047.00,0.00,276.00,2980.00,30977.00,5479.00,461.00,4561.00,4290.00,0.00,36646.00,34076.00,2570.00,5576.00,2570.00,-3006.00,10424.00,14107.00,4547.00,865.00,-4848.00,-4848.00,2606.00,1343.00,-35.00,1378.00,1434.00,0.00,897.00,504.00,33.00,0.00,-560.00,-752.00,192.00,0.00,0.00,0.00,0.00,389.00,339.00,-1.00,51.00,8493.00,5310.00,284.00,5026.00,205.00,2058.00,920.00,-5887.00,-2737.00,0.00,-1698.00,1039.00,-96.00,-111.00,9.00,7.00,0.00,-96.00,2744.00,242510.00,205498.00,199598.00,5126.00,774.00,37012.00,12780.00,8223.00,4557.00,17536.00,0.00,13739.00,1050.00,2747.00,0.00,1406.00,-176.00,1582.00,0.00,0.00,0.00,0.00,5290.00,4214.00,553.00,523.00,242510.00,109124.00,70971.00,3457.00,67514.00,1240.00,29412.00,7501.00,133386.00
1961,37216.00,4814.00,32402.00,31175.00,27401.00,3774.00,1228.00,33183.00,1228.00,33807.00,0.00,1417.00,1061.00,0.00,356.00,3269.00,33183.00,5846.00,492.00,4982.00,4941.00,0.00,39480.00,37239.00,2242.00,5532.00,2242.00,-3290.00,11430.00,15252.00,4814.00,992.00,-5899.00,-5899.00,2365.00,846.00,-62.00,908.00,749.00,0.00,263.00,470.00,16.00,0.00,388.00,121.00,267.00,0.00,0.00,0.00,0.00,382.00,307.00,90.00,-15.00,8923.00,5378.00,236.00,5142.00,226.00,2324.00,995.00,-6558.00,-2049.00,0.00,-1390.00,659.00,1946.00,1946.00,-10.00,10.00,0.00,1946.00,5428.00,257259.00,217882.00,211537.00,5489.00,856.00,39377.00,13626.00,8161.00,5465.00,18285.00,0.00,14002.00,1520.00,2763.00,0.00,1794.00,-55.00,1849.00,0.00,0.00,0.00,0.00,5672.00,4521.00,643.00,508.00,257259.00,118445.00,76349.00,3693.00,72656.00,1466.00,32134.00,8496.00,138814.00
1962,39921.00,5161.00,34761.00,33481.00,29717.00,3764.00,1280.00,35564.00,1280.00,36251.00,0.00,1538.00,1113.00,0.00,425.00,3505.00,35564.00,6528.00,548.00,5340.00,5453.00,0.00,42753.00,39342.00,3411.00,6936.00,3411.00,-3525.00,11993.00,16097.00,5161.00,1057.00,-5057.00,-5057.00,3354.00,1047.00,62.00,985.00,1312.00,0.00,1155.00,347.00,-190.00,0.00,772.00,521.00,251.00,0.00,0.00,0.00,0.00,223.00,323.00,27.00,-127.00,9507.00,5451.00,-11.00,5462.00,504.00,2505.00,1047.00,-6153.00,7034.00,0.00,8129.00,1096.00,4463.00,4476.00,-20.00,7.00,0.00,4463.00,18432.00,276013.00,233282.00,226474.00,5861.00,947.00,42731.00,14673.00,8223.00,6450.00,19597.00,0.00,15157.00,1867.00,2573.00,0.00,2566.00,466.00,2100.00,0.00,0.00,0.00,0.00,5895.00,4844.00,670.00,381.00,276013.00,118767.00,81800.00,3682.00,78118.00,1970.00,25454.00,9543.00,157246.00
1963,43393.00,5528.00,37864.00,36349.00,32095.00,4254.00,1515.00,38021.00,1515.00,38700.00,-12.00,1637.00,1245.00,0.00,392.00,3819.00,38021.00,7067.00,629.00,5697.00,5973.00,0.00,45993.00,42276.00,3717.00,7859.00,3717.00,-4142.00,13392.00,17769.00,5528.00,1151.00,-5533.00,-5533.00,3501.00,2573.00,930.00,1643.00,1453.00,0.00,1157.00,535.00,-239.00,0.00,-1014.00,-1211.00,197.00,0.00,0.00,0.00,0.00,489.00,464.00,78.00,-53.00,9324.00,5240.00,446.00,4794.00,233.00,2709.00,1142.00,-5823.00,-553.00,0.00,-263.00,290.00,3160.00,3108.00,42.00,11.00,0.00,3160.00,10466.00,294916.00,248684.00,241217.00,6401.00,1066.00,46232.00,17246.00,9153.00,8093.00,21050.00,0.00,16314.00,2402.00,2334.00,0.00,1552.00,-745.00,2297.00,0.00,0.00,0.00,0.00,6384.00,5308.00,748.00,328.00,294916.00,127204.00,87040.00,4128.00,82912.00,2203.00,27276.00,10685.00,167712.00
1964,47107.00,5929.00,41178.00,39652.00,35024.00,4628.00,1525.00,41124.00,1525.00,41845.00,-10.00,1911.00,1485.00,0.00,426.00,4148.00,41124.00,7928.00,682.00,6154.00,6755.00,0.00,50335.00,46029.00,4306.00,9027.00,4306.00,-4721.00,14603.00,19274.00,5929.00,1258.00,-5576.00,-5576.00,4192.00,2983.00,1264.00,1719.00,1438.00,0.00,1019.00,530.00,-111.00,0.00,-786.00,-1013.00,227.00,0.00,0.00,0.00,0.00,557.00,532.00,44.00,-19.00,10312.00,6120.00,761.00,5359.00,261.00,2683.00,1248.00,-6120.00,-1317.00,0.00,-773.00,544.00,3386.00,3350.00,24.00,12.00,0.00,3386.00,11095.00,315839.00,265415.00,257188.00,7029.00,1198.00,50424.00,20229.00,10417.00,9812.00,22488.00,0.00,17333.00,2932.00,2223.00,0.00,766.00,-1758.00,2524.00,0.00,0.00,0.00,0.00,6941.00,5840.00,792.00,309.00,315839.00,137032.00,93160.00,4889.00,88271.00,2464.00,29475.00,11933.00,178807.00
1965,51560.00,6445.00,45115.00,43560.00,38410.00,5150.00,1555.00,44552.00,1555.00,45282.00,-18.00,2199.00,1752.00,0.00,447.00,4467.00,44552.00,8573.00,758.00,6651.00,7421.00,0.00,54653.00,50571.00,4082.00,8829.00,4082.00,-4747.00,16014.00,21165.00,6445.00,1294.00,-7185.00,-7185.00,6171.00,1791.00,-583.00,2374.00,2303.00,0.00,2191.00,168.00,-56.00,0.00,1239.00,1050.00,189.00,0.00,0.00,0.00,0.00,838.00,763.00,77.00,-2.00,12007.00,7237.00,618.00,6619.00,313.00,3076.00,1381.00,-5836.00,156.00,0.00,-1193.00,-1349.00,8739.00,8656.00,68.00,15.00,0.00,8739.00,17724.00,345470.00,288875.00,279810.00,7716.00,1349.00,56595.00,22020.00,9834.00,12186.00,24791.00,0.00,19524.00,3100.00,2167.00,0.00,2005.00,-708.00,2713.00,0.00,0.00,0.00,0.00,7779.00,6603.00,869.00,307.00,345470.00,148939.00,100397.00,5507.00,94890.00,2777.00,32451.00,13314.00,196531.00
1966,57200.00,7105.00,50096.00,48629.00,42549.00,6080.00,1467.00,47935.00,1467.00,48762.00,-24.00,2620.00,2093.00,0.00,527.00,4891.00,47935.00,10006.00,821.00,7621.00,10404.00,0.00,61545.00,56370.00,5174.00,10318.00,5174.00,-5144.00,17745.00,23479.00,7105.00,1371.00,-7427.00,-7427.00,4036.00,1765.00,489.00,1276.00,-208.00,0.00,573.00,-739.00,-42.00,0.00,1688.00,1513.00,175.00,0.00,0.00,0.00,0.00,791.00,641.00,5.00,145.00,11126.00,6236.00,661.00,5575.00,627.00,2728.00,1535.00,-7090.00,-2196.00,0.00,-2533.00,-337.00,13939.00,13707.00,211.00,21.00,0.00,13939.00,22062.00,379822.00,319191.00,309032.00,8621.00,1538.00,60631.00,23785.00,10323.00,13462.00,24583.00,0.00,20097.00,2361.00,2125.00,0.00,3693.00,805.00,2888.00,0.00,0.00,0.00,0.00,8570.00,7244.00,874.00,452.00,379822.00,161229.00,106633.00,6168.00,100465.00,3404.00,36343.00,14849.00,218593.00
1967,63128.00,7775.00,55353.00,53921.00,47371.00,6550.00,1432.00,51951.00,1432.00,52773.00,-26.00,3007.00,2371.00,0.00,636.00,5235.00,51951.00,11200.00,877.00,9232.00,12314.00,0.00,67110.00,62385.00,4726.00,9814.00,4726.00,-5088.00,19328.00,25722.00,7775.00,1381.00,-9514.00,-9514.00,3374.00,3070.00,801.00,2269.00,35.00,0.00,-355.00,390.00,0.00,0.00,-434.00,-549.00,115.00,0.00,0.00,0.00,0.00,703.00,578.00,125.00,0.00,12490.00,7151.00,1823.00,5328.00,175.00,3477.00,1687.00,-9116.00,1725.00,0.00,1327.00,-398.00,11677.00,11349.00,291.00,37.00,0.00,11677.00,23215.00,412823.00,348818.00,337466.00,9590.00,1762.00,64005.00,26855.00,11124.00,15731.00,24618.00,0.00,19742.00,2751.00,2125.00,0.00,3259.00,256.00,3003.00,0.00,0.00,0.00,0.00,9273.00,7822.00,999.00,452.00,412823.00,171015.00,113793.00,8000.00,105793.00,3579.00,37107.00,16536.00,241808.00
1968,71386.00,8609.00,62777.00,61444.00,53543.00,7901.00,1333.00,58297.00,1333.00,59535.00,-27.00,3482.00,2765.00,0.00,717.00,6027.00,58297.00,13862.00,942.00,11446.00,13319.00,0.00,74974.00,70713.00,4261.00,11102.00,4261.00,-6841.00,20933.00,28128.00,8609.00,1414.00,-9831.00,-9831.00,5760.00,2414.00,-735.00,3149.00,3636.00,0.00,184.00,3406.00,46.00,0.00,-1337.00,-1529.00,192.00,0.00,0.00,0.00,0.00,1047.00,947.00,185.00,-85.00,14980.00,8443.00,143.00,8300.00,310.00,4356.00,1871.00,-9220.00,-2898.00,0.00,-3510.00,-611.00,18938.00,18550.00,299.00,90.00,0.00,18938.00,27142.00,457043.00,387278.00,374660.00,10575.00,2043.00,69765.00,29269.00,10389.00,18880.00,28254.00,0.00,19926.00,6157.00,2171.00,0.00,1922.00,-1273.00,3195.00,0.00,0.00,0.00,0.00,10320.00,8769.00,1184.00,367.00,457043.00,188093.00,122132.00,8143.00,113989.00,3993.00,43561.00,18407.00,268950.00
1969,79840.00,9654.00,70186.00,68919.00,59560.00,9359.00,1268.00,65062.00,1268.00,66044.00,-25.00,4337.00,3570.00,0.00,767.00,6562.00,65062.00,16416.00,1026.00,13217.00,15257.00,0.00,84544.00,80438.00,4106.00,10949.00,4106.00,-6843.00,20145.00,28818.00,9654.00,981.00,-9196.00,-9196.00,6082.00,-3883.00,1947.00,-5830.00,4497.00,0.00,3081.00,1351.00,65.00,0.00,4329.00,3872.00,457.00,0.00,0.00,0.00,0.00,1139.00,1239.00,10.00,-110.00,19210.00,11386.00,2766.00,8620.00,746.00,5054.00,2024.00,-13128.00,-7340.00,0.00,-3408.00,3932.00,30954.00,30364.00,471.00,120.00,0.00,30954.00,34563.00,513253.00,437406.00,423220.00,11805.00,2381.00,75847.00,25386.00,12336.00,13050.00,32751.00,0.00,23007.00,7508.00,2236.00,0.00,6251.00,2599.00,3652.00,0.00,0.00,0.00,0.00,11459.00,10008.00,1194.00,257.00,513253.00,209740.00,133518.00,10909.00,122609.00,4739.00,51052.00,20431.00,303513.00
