date,FA266905095.A,FA266903001.A,FA266904195.A,FA266400101.A,FA266900095.A,FA266903011.A,FA266904095.A,FA266400201.A,FA266000095.A,FA266000095.A,FA265440005.A,FA265420095.A,FA265000905.A,FA265000905.A,FA264090005.A,FA263011005.A,FA263011205.A,FA313111303.A,FA264000005.A,FA263025003.A,FA263027003.A,FA263030005.A,FA264016005.A,FA264022005.A,FA263069103.A,FA263061105.A,FA263061705.A,FA263062003.A,FA263063005.A,FA264041005.A,FA262051003.A,FA263069500.A,FA263081005.A,FA263034003.A,FA263064105.A,FA263064203.A,FA263092001.A,FA263070003.A,FA264190005.A,FA313011303.A,FA264100005.A,FA263111503.A,FA263111403.A,FA263191005.A,FA313091105.A,FA264122005.A,FA263169105.A,FA263163005.A,FA264141005.A,FA262151003.A,FA263169005.A,FA263168005.A,FA713091103.A,FA263181105.A,FA263164103.A,FA313092803.A,FA263192005.A,FA263194735.A,FA263170003.A,FA265000005.A,FV268090185.A,FV268090085.A,FU267005005.A,FR264090005.A,FR263011005.A,FR264000005.A,FR264022005.A,FR263069103.A,FR263061105.A,FR263061705.A,FR263063005.A,FR263081005.A,FR263064105.A,FR263064203.A,FR263092001.A,FR263070003.A,FR264194005.A,FR313011303.A,FR264100005.A,FR263111503.A,FR263111403.A,FR263191005.A,FR263191103.A,FR263163005.A,FR263169205.A,FR263181105.A,FR263164103.A,FR263192005.A,FR263170003.A,FR265000005.A,FC262090095.A,FL264090005.A,FL313111303.A,FL264000005.A,FL263025003.A,FL263027003.A,FL263030005.A,FL264016005.A,FL264022005.A,LM263069103.A,LM263061105.A,LM263061705.A,FL263062003.A,LM263063005.A,FL264041005.A,FL262051003.A,FL263069500.A,FL263081005.A,FL263034003.A,LM263064105.A,LM263064203.A,FL263092001.A,FL263070003.A,FL262100005.A,FL264194005.A,FL313011303.A,FL264100005.A,FL263111503.A,FL263111403.A,FL263191005.A,FL313091105.A,FL264122005.A,FL263169105.A,LM263163005.A,FL264141005.A,FL262151003.A,FL263169005.A,FL263168005.A,FL713091103.A,FL263181105.A,LM263164103.A,FL313092803.A,FL263192005.A,FL263194735.A,FL263170003.A,FL262090095.A
1960,28761.00,22841.00,1775.00,4145.00,31933.00,27045.00,4888.00,0.00,-3172.00,-3172.00,0.00,0.00,-3172.00,-3172.00,4347.00,1703.00,1703.00,0.00,1094.00,0.00,-18.00,284.00,828.00,904.00,534.00,291.00,0.00,0.00,79.00,0.00,0.00,0.00,518.00,0.00,203.00,0.00,315.00,128.00,5809.00,0.00,89.00,0.00,-442.00,3.00,528.00,577.00,0.00,577.00,1202.00,0.00,1053.00,149.00,0.00,3180.00,86.00,154.00,2940.00,0.00,761.00,-1462.00,1710.00,0.00,-1710.00,-1961.00,-1703.00,0.00,0.00,0.00,0.00,0.00,0.00,-258.00,-264.00,0.00,6.00,0.00,-680.00,0.00,13.00,0.00,0.00,13.00,0.00,0.00,0.00,-693.00,209.00,-902.00,0.00,-1281.00,-2743.00,37677.00,0.00,7941.00,0.00,2122.00,2859.00,2960.00,12610.00,1291.00,10651.00,0.00,0.00,668.00,0.00,0.00,0.00,16227.00,0.00,9302.00,0.00,6925.00,899.00,37677.00,66226.00,0.00,4643.00,0.00,1555.00,148.00,2940.00,5784.00,0.00,5784.00,17401.00,0.00,14391.00,3010.00,0.00,36673.00,3984.00,824.00,31865.00,0.00,1725.00,-28549.00
1961,28695.00,22688.00,1788.00,4219.00,32909.00,27602.00,5307.00,0.00,-4214.00,-4214.00,0.00,-2.00,-4212.00,-4212.00,3386.00,857.00,857.00,0.00,1155.00,0.00,976.00,52.00,127.00,454.00,69.00,384.00,0.00,0.00,1.00,0.00,0.00,0.00,634.00,0.00,323.00,0.00,311.00,286.00,6087.00,0.00,600.00,116.00,135.00,88.00,261.00,437.00,0.00,437.00,1794.00,0.00,1074.00,720.00,0.00,3150.00,325.00,171.00,2654.00,0.00,106.00,-2701.00,1501.00,-10.00,-1511.00,1343.00,-857.00,0.00,0.00,0.00,0.00,0.00,0.00,2200.00,2183.00,0.00,17.00,0.00,791.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,791.00,593.00,198.00,0.00,552.00,-2159.00,42406.00,0.00,9096.00,0.00,3098.00,2911.00,3087.00,13064.00,1360.00,11035.00,0.00,0.00,669.00,0.00,0.00,0.00,19061.00,0.00,11808.00,0.00,7253.00,1185.00,42406.00,73114.00,0.00,5243.00,116.00,1690.00,236.00,3201.00,6221.00,0.00,6221.00,19205.00,0.00,15465.00,3740.00,0.00,40614.00,4902.00,995.00,34717.00,0.00,1831.00,-30708.00
1962,31207.00,24965.00,1847.00,4395.00,35006.00,29066.00,5940.00,0.00,-3799.00,-3799.00,0.00,1.00,-3800.00,-3800.00,3610.00,890.00,890.00,0.00,527.00,0.00,135.00,498.00,-106.00,1733.00,27.00,1344.00,337.00,0.00,25.00,0.00,0.00,0.00,455.00,0.00,109.00,0.00,346.00,5.00,4986.00,0.00,-523.00,-17.00,-626.00,-125.00,245.00,994.00,0.00,994.00,1094.00,0.00,681.00,413.00,0.00,2948.00,-25.00,122.00,2851.00,0.00,473.00,-1376.00,2424.00,0.00,-2424.00,-2515.00,-890.00,0.00,0.00,0.00,0.00,0.00,0.00,-1625.00,-1581.00,0.00,-44.00,0.00,224.00,0.00,679.00,0.00,0.00,679.00,0.00,0.00,0.00,-455.00,-163.00,-292.00,0.00,-2739.00,-4115.00,43501.00,0.00,9623.00,0.00,3233.00,3409.00,2981.00,14797.00,1387.00,12379.00,337.00,0.00,694.00,0.00,0.00,0.00,17891.00,0.00,10336.00,0.00,7555.00,1190.00,43501.00,78324.00,0.00,5399.00,99.00,1064.00,790.00,3446.00,7215.00,0.00,7215.00,20299.00,0.00,16146.00,4153.00,0.00,43107.00,4714.00,1117.00,37276.00,0.00,2304.00,-34823.00
1963,32658.00,26136.00,2053.00,4469.00,37604.00,31074.00,6530.00,0.00,-4946.00,-4946.00,0.00,1.00,-4947.00,-4947.00,3771.00,461.00,461.00,0.00,1369.00,0.00,266.00,851.00,252.00,1096.00,50.00,654.00,335.00,0.00,57.00,0.00,0.00,0.00,456.00,0.00,225.00,0.00,231.00,389.00,6846.00,0.00,322.00,113.00,-29.00,-209.00,447.00,993.00,0.00,993.00,2229.00,0.00,1626.00,603.00,0.00,3657.00,112.00,62.00,3483.00,0.00,-355.00,-3075.00,1843.00,-29.00,-1872.00,1512.00,-461.00,0.00,0.00,0.00,0.00,0.00,0.00,1973.00,1924.00,0.00,49.00,0.00,446.00,0.00,150.00,0.00,0.00,150.00,0.00,0.00,0.00,296.00,319.00,-23.00,0.00,1066.00,-2038.00,48784.00,0.00,10992.00,0.00,3499.00,4260.00,3233.00,15893.00,1437.00,13033.00,672.00,0.00,751.00,0.00,0.00,0.00,20320.00,0.00,12485.00,0.00,7835.00,1579.00,48784.00,85645.00,0.00,5871.00,212.00,1035.00,731.00,3893.00,8208.00,0.00,8208.00,22557.00,0.00,17772.00,4785.00,0.00,47060.00,5145.00,1179.00,40736.00,0.00,1949.00,-36861.00
1964,34791.00,28105.00,2319.00,4367.00,42258.00,35019.00,7239.00,0.00,-7467.00,-7467.00,0.00,1.00,-7468.00,-7468.00,4246.00,125.00,125.00,0.00,2698.00,0.00,959.00,1255.00,484.00,1015.00,183.00,288.00,336.00,0.00,208.00,0.00,0.00,0.00,30.00,0.00,-292.00,0.00,322.00,378.00,8808.00,0.00,76.00,220.00,-266.00,103.00,19.00,467.00,0.00,467.00,3436.00,0.00,1957.00,1479.00,0.00,4081.00,211.00,112.00,3758.00,0.00,748.00,-4562.00,6464.00,3558.00,-2906.00,1507.00,-125.00,0.00,0.00,0.00,0.00,0.00,0.00,1632.00,1642.00,0.00,-10.00,0.00,163.00,0.00,263.00,0.00,0.00,263.00,0.00,0.00,0.00,-100.00,-86.00,-14.00,0.00,1344.00,340.00,58332.00,0.00,17485.00,3795.00,4458.00,5515.00,3717.00,16908.00,1620.00,13321.00,1008.00,0.00,959.00,0.00,0.00,0.00,21982.00,0.00,13835.00,0.00,8147.00,1957.00,58332.00,94853.00,0.00,6210.00,432.00,769.00,1097.00,3912.00,8675.00,0.00,8675.00,26230.00,0.00,19718.00,6512.00,0.00,51041.00,5270.00,1291.00,44480.00,0.00,2697.00,-36521.00
1965,38870.00,31529.00,2602.00,4739.00,45027.00,37146.00,7881.00,0.00,-6158.00,-6158.00,0.00,0.00,-6158.00,-6158.00,3375.00,1666.00,1666.00,0.00,935.00,131.00,125.00,566.00,113.00,477.00,362.00,-265.00,336.00,0.00,44.00,0.00,0.00,0.00,14.00,0.00,-400.00,0.00,414.00,283.00,8000.00,0.00,147.00,349.00,94.00,-312.00,16.00,460.00,0.00,460.00,2111.00,0.00,1522.00,589.00,0.00,5310.00,299.00,0.00,5011.00,0.00,-28.00,-4625.00,1586.00,53.00,-1533.00,-531.00,-1666.00,0.00,0.00,0.00,0.00,0.00,0.00,1135.00,1164.00,0.00,-29.00,0.00,5394.00,0.00,-4.00,0.00,0.00,-4.00,0.00,0.00,0.00,5398.00,-521.00,5919.00,0.00,-5925.00,-10497.00,61176.00,0.00,18420.00,3926.00,4583.00,6081.00,3830.00,17385.00,1982.00,13056.00,1344.00,0.00,1003.00,0.00,0.00,0.00,23131.00,0.00,14599.00,0.00,8532.00,2240.00,61176.00,108194.00,0.00,6353.00,781.00,863.00,781.00,3928.00,9135.00,0.00,9135.00,28288.00,0.00,21187.00,7101.00,0.00,61749.00,5048.00,1291.00,55410.00,0.00,2669.00,-47018.00
1966,45183.00,37058.00,3001.00,5124.00,48991.00,40920.00,8071.00,0.00,-3809.00,-3809.00,0.00,-1.00,-3808.00,-3808.00,5082.00,571.00,571.00,0.00,3911.00,336.00,380.00,332.00,2863.00,-124.00,230.00,-1904.00,336.00,0.00,1214.00,0.00,0.00,0.00,121.00,0.00,-305.00,0.00,426.00,603.00,8030.00,0.00,372.00,540.00,-537.00,104.00,265.00,735.00,0.00,735.00,1278.00,0.00,1328.00,-50.00,0.00,5303.00,-15.00,-100.00,5418.00,0.00,342.00,-2948.00,770.00,-90.00,-860.00,-2233.00,-571.00,0.00,0.00,0.00,0.00,0.00,0.00,-1662.00,-1651.00,0.00,-11.00,0.00,-2495.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-2495.00,-709.00,-1786.00,0.00,262.00,-2776.00,64025.00,0.00,22331.00,4262.00,4963.00,6413.00,6693.00,17261.00,2212.00,11152.00,1680.00,0.00,2217.00,0.00,0.00,0.00,21590.00,0.00,12643.00,0.00,8947.00,2843.00,64025.00,113819.00,0.00,6725.00,1321.00,326.00,885.00,4193.00,9870.00,0.00,9870.00,29656.00,0.00,22605.00,7051.00,0.00,64557.00,4324.00,1191.00,59042.00,0.00,3011.00,-49794.00
1967,48666.00,39912.00,3289.00,5465.00,52149.00,43467.00,8682.00,0.00,-3483.00,-3483.00,0.00,1.00,-3484.00,-3484.00,8536.00,1170.00,1170.00,0.00,2394.00,235.00,327.00,1266.00,566.00,2776.00,35.00,2087.00,336.00,0.00,318.00,0.00,0.00,0.00,1396.00,0.00,698.00,0.00,698.00,800.00,10528.00,0.00,992.00,1024.00,94.00,84.00,-210.00,1216.00,0.00,1216.00,2544.00,0.00,2913.00,-369.00,0.00,5091.00,92.00,193.00,4806.00,0.00,685.00,-1992.00,1479.00,-13.00,-1492.00,11063.00,-1170.00,0.00,0.00,0.00,0.00,0.00,0.00,12233.00,12170.00,0.00,63.00,0.00,2670.00,0.00,86.00,0.00,0.00,86.00,0.00,0.00,0.00,2584.00,822.00,1762.00,0.00,8393.00,6388.00,83624.00,0.00,24725.00,4497.00,5290.00,7679.00,7259.00,20037.00,2247.00,13239.00,2016.00,0.00,2535.00,0.00,0.00,0.00,35219.00,0.00,25511.00,0.00,9708.00,3643.00,83624.00,127030.00,0.00,7803.00,2345.00,420.00,1055.00,3983.00,11086.00,0.00,11086.00,32213.00,0.00,25518.00,6695.00,0.00,72232.00,5238.00,1384.00,65610.00,0.00,3696.00,-43406.00
1968,56476.00,46557.00,4017.00,5902.00,58008.00,47906.00,10102.00,0.00,-1532.00,-1532.00,0.00,0.00,-1532.00,-1532.00,11154.00,1173.00,1173.00,0.00,2725.00,289.00,561.00,-270.00,2145.00,2569.00,579.00,-662.00,336.00,0.00,2316.00,0.00,0.00,0.00,2905.00,0.00,2097.00,0.00,808.00,1782.00,11765.00,0.00,2514.00,1175.00,870.00,532.00,-63.00,1084.00,0.00,1084.00,1651.00,0.00,2050.00,-399.00,0.00,5907.00,485.00,128.00,5294.00,0.00,609.00,-611.00,921.00,0.00,-921.00,688.00,-1173.00,0.00,0.00,0.00,0.00,0.00,0.00,1861.00,1909.00,0.00,-48.00,0.00,3502.00,0.00,8.00,8.00,0.00,0.00,0.00,0.00,0.00,3494.00,729.00,2765.00,0.00,-2814.00,-3425.00,95466.00,0.00,27450.00,4786.00,5851.00,7409.00,9404.00,22606.00,2826.00,12577.00,2352.00,0.00,4851.00,0.00,0.00,0.00,39985.00,0.00,29517.00,0.00,10468.00,5425.00,95466.00,142297.00,0.00,10325.00,3528.00,1290.00,1587.00,3920.00,12170.00,0.00,12170.00,33864.00,0.00,27568.00,6296.00,0.00,81633.00,6452.00,1512.00,73669.00,0.00,4305.00,-46831.00
1969,62097.00,50491.00,5664.00,5942.00,63701.00,51922.00,11779.00,0.00,-1604.00,-1604.00,-2.00,0.00,-1602.00,-1602.00,17725.00,-967.00,-967.00,0.00,14467.00,493.00,324.00,1380.00,12270.00,558.00,994.00,-2337.00,336.00,0.00,1565.00,0.00,0.00,0.00,2828.00,0.00,1565.00,0.00,1263.00,839.00,10151.00,0.00,-289.00,-820.00,1034.00,-414.00,-89.00,1028.00,0.00,1028.00,2157.00,0.00,2421.00,-264.00,0.00,6664.00,521.00,184.00,5959.00,0.00,591.00,7574.00,4349.00,-4827.00,-9176.00,-3401.00,967.00,0.00,0.00,0.00,0.00,0.00,0.00,-4368.00,-4321.00,0.00,-47.00,0.00,3498.00,0.00,73.00,73.00,0.00,0.00,0.00,0.00,0.00,3425.00,-20.00,3445.00,0.00,-6899.00,-4152.00,104960.00,0.00,37087.00,5279.00,6175.00,8789.00,16844.00,23164.00,3820.00,10240.00,2688.00,0.00,6416.00,0.00,0.00,0.00,38445.00,0.00,26761.00,0.00,11684.00,6264.00,104960.00,155943.00,0.00,10109.00,2781.00,2324.00,1173.00,3831.00,13198.00,0.00,13198.00,36018.00,0.00,29989.00,6029.00,0.00,91722.00,6953.00,1696.00,83073.00,0.00,4896.00,-50983.00
